Lipid,Class,DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cortex10x_01202023,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-cerebellum10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-cerebellum10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Cerebellum10x_01182023,M1FAD173-5xFAD-Cortex10x_01182023,M1FAD173-5xFAD-Diencephalon10x_01182023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Cerebellum10x_01192023,M2FAD173-5xFAD-Cortex10x_01192023,M2FAD173-5xFAD-Diencephalon10x_01192023,M2FAD173-5xFAD-Hippo10x_01192023,DOD100-M1-WT-cerebellum10x_01202023,DOD100-M1-WT-cortex10x_01202023,DOD100-M1-WT-diencephalon10x_01202023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-cerebellum10x_01202023,DOD99-M2-WT-cortex10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Cerebellum10x_01192023,M5FAD173-WT-Cortex10x_01192023,M5FAD173-WT-Diencephalon10x_01192023,M5FAD173-WT-Hippo10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,29398.342208862305,36692.462463378906,34723.00240325928,42416.12278747559,33126.942710876465,36657.50228881836,30153.32243347168,46202.78359985352,37616.98265457153,39095.64287948608,25673.94190979004,39305.7628326416,47163.46329879761,48923.5634727478,38013.282623291016,36187.02255249024,38684.44284820557,37555.88233184815,29481.562602996823,36516.56300354004,33323.14264297485,41078.122703552246,31600.96230316162,35957.26264572144,36546.822441101074,41187.70300292969,38293.78224563599,34225.282024383545,39283.802684783936,27728.001831054688,37147.423122406006,22294.401321411133,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/16:0),Cer,68731.26498031616,94097.04789352416,95524.1658706665,63292.42442703247,46299.72317123413,72723.06428146362,81261.78657150269,75554.60557937622,71634.02543640137,87146.86511993408,59303.04391098023,168528.36987304688,152652.411567688,155467.693359375,157176.4503211975,99853.7479057312,90605.04538345335,73221.06582641602,59104.12437057495,92730.02653503418,119585.8681526184,63072.24443435669,61262.46444320679,82360.3857345581,86770.38639831543,96314.38687133788,92696.36716842651,87016.90506744385,115558.20627593994,71027.58568572998,134329.46858596802,49086.90395736694,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/18:0),Cer,23379.941871643063,24564.40146255493,22350.52140426636,23518.86159515381,18910.121425628666,19638.42140197754,24620.981536865234,23674.221508026123,21907.801445007324,19103.36149597168,18542.74126815796,19387.24150085449,21279.241298675537,21265.18152618408,20872.98154449463,22414.021717071533,21167.64161300659,19184.941383361816,19351.66135406494,23910.721534729004,24480.881874084476,16931.921321868896,21668.40147781372,21830.84148788452,23461.22156906128,20784.1814994812,23203.34190750122,21737.88181304932,21810.941791534424,21460.881801605225,21004.281448364258,32565.38228225708,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/16:0),Cer,80859.80527496338,77182.18599319458,77170.1263885498,71531.56502151489,67606.82591247559,71760.08392715454,94600.40604019164,69276.28416442871,67614.68476867676,66176.30462646484,48290.72343444824,121797.58711624146,112079.00816345216,109173.28615570068,129686.40884780884,102118.72706985474,75406.60494613647,77536.20505905151,90206.18699645996,97478.24760437012,100954.5672607422,63247.98458099365,82006.22617340088,85335.76477050781,83571.66579055786,78392.94470977783,104129.10850906372,105676.1282157898,98255.28512954712,111197.36640167236,99503.34856796265,104272.36771011353,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/18:0),Cer,286598.67964172363,261576.97959136963,260292.91549301147,242689.6378440857,210867.73253631592,226606.41647338867,319763.26332473755,259933.4981918335,228328.8583450317,224349.4774131775,188144.5944366455,272286.04024124146,223601.6531028748,218882.65203475952,290259.72340393066,300706.4411582947,227696.1364517212,217872.79592895508,254315.69579315183,305559.53926086426,304801.284576416,157930.9115447998,280969.05976486206,284533.3180465698,276514.4203910828,228741.71733093265,300359.0815124512,315078.30672073364,285917.71657562256,339689.64263916016,259670.5165176392,544596.580368042,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,32220.22254562378,36027.762283325195,40271.942752838135,38312.82266235352,144073.01107406616,48901.74348449707,32873.5220451355,48475.983406066895,42948.363021850586,79985.14546966553,24691.961532592773,49439.16363525391,42736.36308288574,45007.06316757202,32300.02227020264,50599.06323242188,30331.58203125,38794.08239746094,30083.80215072632,50221.2636795044,38517.28271102905,40477.462688446045,29833.582180023197,97699.06726837158,40629.2631149292,47302.34348678589,35027.162464141846,35528.922370910645,37163.8623008728,36310.98204803467,34894.54271697998,28402.641986846924,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,52082.28335571289,84782.36605834961,88004.54573059082,61918.36474227905,42169.38264846802,67973.50408935547,70929.20533752441,64451.98418426514,66330.18539047241,83376.7452545166,51119.96410369873,151543.98889923096,144407.71041107178,147981.1301498413,132110.53005218506,89210.56663894653,81413.10648345947,69986.14563369751,46688.28359603882,77242.60544967651,104923.82834243774,70156.98491287231,54778.02419662476,81890.94709014893,79647.96742630005,90403.96683502196,81422.12617874146,73431.82516098022,97751.66666412354,53195.04327392578,112472.52647018433,19274.341342926025,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
1-O-myristoyl-Cer(d18:1/16:0),Cer,54386.303718566895,54183.54351043701,48533.30375289917,52282.40361404419,80557.88554382324,53109.183780670166,51031.74311065674,58228.62457275391,53711.363929748535,59416.14421081543,29999.60227203369,50704.183753967285,49155.66358947754,49433.40335083008,47704.26295471192,50433.8034324646,50361.16374969482,43722.223094940186,41838.42319107056,55769.94352340698,55029.08363342285,44181.50326156616,46942.16307449341,59503.92415237427,50479.26407623291,49011.963397979736,50195.963748931885,51984.18327713013,45911.8233833313,45070.7234954834,49277.52336502075,43334.30277252197,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
1-O-palmitoyl-Cer(d18:1/16:0),Cer,35647.702491760254,42159.56315231323,42280.12342071533,37671.40256881714,75182.80504226685,51340.90389251709,41503.562911987305,49120.04314041138,46103.00323486328,57042.14367675781,30627.382152557373,46163.84300994873,43331.863063812256,44925.50315475464,38626.942794799805,45528.64307785034,40639.18308258057,38691.3226890564,38395.3628578186,42922.682651519775,41975.34289932251,39518.76318740845,41863.74258804321,68184.54487991333,43672.76354598999,44456.16331863403,41158.282787323,40714.48252868652,43771.94339752197,41486.06307220459,40904.52328491211,50665.82361602783,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
1-O-stearoyl-Cer(d18:1/16:0),Cer,40163.10260391235,41978.90271377564,45861.98350524902,39907.92282104492,200401.791885376,60920.96372222901,41409.22291183472,58489.64445877075,47592.20374298096,108743.84694671632,24739.3617515564,65201.24501800537,53856.84366226196,58732.24412536621,39577.36284255981,57285.90365982056,37718.002490997314,43761.36296844482,37099.262493133545,61475.42427444458,44340.32306671143,51899.82354354858,34317.60231781006,137949.04893875122,49289.16366195679,56296.36441421509,35969.52249908447,43658.14338684082,44351.12351226807,42019.50308609009,40138.9030418396,32940.40257644653,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,31280.9020614624,47917.14291381836,42481.76253890991,46462.44305038452,36101.58243179321,46389.883586883545,36770.78251647949,44575.183376312256,44551.78361511231,47993.66288375855,26529.861740112305,82565.64527130127,79700.04627227783,85672.64553451538,74690.7049446106,42070.66318130493,46306.86296844482,45309.76321029663,34747.30205154419,43802.02247619629,45042.482692718506,42341.26301193237,36280.562450408936,44314.10312652588,47179.88382720947,47969.623191833496,43573.80286026001,45363.443408966064,49861.92351913452,34593.72241592407,47277.84367752075,21537.66153717041,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,10099.880729675291,11874.98077774048,9886.160655975342,12337.640785217283,10180.240703582764,11597.380840301514,10196.060813903809,11458.880809783936,11112.440662384031,10146.580741882324,9660.040676116943,12517.040855407717,11614.500896453856,12243.720832824709,10959.840721130371,10831.58073425293,10037.64073562622,8869.920574188232,10466.840755462646,11110.9609375,13229.820877075195,9018.440578460692,10864.320823669434,11287.780799865724,10774.420791625977,11086.620765686035,11811.08076095581,10400.820728302002,11459.260730743408,10810.2406539917,10880.9607963562,12759.900817871094,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",CAR,3269997.2236328125,4612804.606933594,4456442.3203125,5415979.774414063,4893907.564453125,4906805.72265625,3846312.868652344,4660732.620117188,5059683.297363281,4376553.2001953125,4968330.218261719,4206026.020996094,5089087.544433594,5851287.732910156,4577722.708984375,3740109.557617188,4672021.863769531,5240845.183105469,4138307.3325195312,4113421.935546875,3537992.9995117188,5983760.49609375,4530618.3974609375,4024964.0034179688,4869216.183105469,5044906.811035156,4468202.2490234375,4172629.2885742183,3993657.2543945312,2897261.4868164062,4224210.512207031,2428656.8916015625,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
12:0 Cholesteryl ester,CE,162075.57186889648,206443.9545135498,197889.75340271,200241.51499938965,185949.39279174805,192208.85467529297,196464.39416503903,190370.63200378415,187842.8329925537,196251.07221984863,191143.31437683103,52144.48365020752,54702.86418151856,46403.643058776855,48828.74309921265,51295.14357757568,53449.14390563965,45492.56311035156,50371.44329452515,194297.81564331052,184184.01274108887,169429.59413146973,186232.6936645508,206243.57360839844,194290.03338623047,191839.97328186035,183007.0717926025,53790.523944854736,57300.26417160034,48507.40311431885,49461.10324478149,158999.98956298828,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
12:0 Cholesteryl ester_2,CE,167308.3116760254,198899.3538360596,188985.39365386963,185237.65446472168,191733.1952819824,191529.11226654053,194796.03422546387,180831.0321426392,189600.5742797852,181537.25415039065,182998.59495544437,49434.48342514038,50913.96357727051,43779.26319885254,46823.28361511231,48283.80372619629,49618.86361312866,49127.3635559082,44904.20314788818,190207.0535888672,194223.2352294922,170046.1913909912,189840.2132263184,198169.4523773193,194121.27363967896,177208.31147766113,177894.63215637207,51690.70365142822,55628.72424697876,51444.80327987671,54207.28388977051,163044.15301513672,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
14:0 Cholesteryl ester,CE,202606.45343017575,107908.76762390137,107592.74710083008,105610.56730651855,94036.7070159912,111948.30752563477,107985.74781799316,116114.08819580078,103784.52690124512,95863.90637207033,168315.25177001953,39418.46291732788,43653.82319641113,37085.942611694336,36109.662437438965,37524.18278503418,49058.56335067749,34170.76250457764,35977.82231903076,151012.9727783203,174361.71353149414,99233.18690490724,104420.42792510986,95271.94723510742,103502.50770568848,90300.9059906006,109004.62704467772,54412.36402511597,44501.42287063599,40449.28260803223,49358.223373413086,85346.74568939209,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
14:1 Cholesteryl ester,CE,199691.31356811523,101516.40711975098,105616.70771789552,109536.30744934082,93316.4656982422,114755.32794189452,108556.44799804688,120425.56855773926,103069.94741821288,89815.82641601562,160008.3309020996,37575.38257598877,42685.24269104004,36128.2225151062,36776.74267196655,34715.18257904053,45816.14336395264,35097.92267227173,35528.5424118042,146649.31089782715,167934.35008239746,93945.5266494751,103682.6265411377,99486.52751159668,103306.90727233888,94580.62687683104,112287.36878967284,53858.74382400513,43761.02275466919,39776.48303985596,47979.98323059082,91728.62675476074,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,CE,247360.9578857422,289878.5213623047,344296.18408203125,306373.8005371094,266253.2185058594,322049.3430175781,299731.0216064453,280976.87927246094,287886.201171875,282733.9587402344,295858.30310058594,103361.62686157228,121756.2882385254,111289.70825195312,112840.5672302246,103570.74768066406,94190.34649658205,97976.74700927734,105376.86743164062,273822.9802246094,292253.8006591797,282307.5396728516,274064.7186279297,280063.2983398437,309868.7003173828,277162.119140625,268143.7779541016,99011.74743652344,101925.20712280272,107436.90838623048,100182.9266052246,268696.0985107422,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,CE,252850.63806152344,292477.3010253906,339298.6618652344,303455.8826904297,269787.4794921875,310006.2232055664,299659.14196777344,275199.18005371094,290238.6412353516,279367.6589355469,302988.9415283203,109722.42831420898,120988.00839233398,109775.18774414062,112044.8677368164,102070.20748901369,93845.26657104492,90888.4663696289,106071.48748779295,266944.2990722656,288007.4022216797,282309.6809082031,278048.1408691406,270783.4014892578,308109.24353027344,278571.67907714844,271687.5393066406,96553.88653564452,105516.18823242188,108698.96670532228,96428.72689819336,281328.5203857422,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
15:0 Cholesteryl ester,CE,229352.2568359375,259193.8380126953,266142.63873291016,266860.19885253906,249117.5584716797,262806.1593017578,267613.71813964844,268693.6774902344,259023.73706054688,247914.3380126953,272503.8608398437,105126.76776123048,110598.20782470705,100862.94711303712,114434.50775146484,107702.80712890624,99013.02743530272,93542.90643310548,111157.34732055664,241246.33728027344,253107.4787597656,257820.4782714844,258305.59765625,253455.57739257807,264173.32067871094,246816.4970703125,248950.81713867188,105602.46716308594,101124.08694458008,116445.74822998048,102162.18740844728,248100.27880859372,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,CE,260590.21728515625,296957.74169921875,325613.7829589844,297769.2003173828,268047.0192871094,314207.48400878906,290351.58154296875,298079.80126953125,290135.00103759766,285182.6004638672,308943.9620361328,111455.6879272461,120349.36853027344,111228.06823730467,124084.7282409668,115781.30844116212,108678.26788330078,104504.52752685548,119824.3484802246,278759.4783935547,278878.5386352539,295206.8620605469,286384.1994628906,273873.7996826172,308956.20349121094,267262.1589355469,276976.9796142578,111482.82788085938,115424.5080871582,126887.06896972656,111654.76879882812,282264.8193359375,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,CE,261740.3193359375,299675.64099121094,332167.2241210937,301401.74060058594,276397.84020996094,320285.1428222656,287615.060546875,290697.8009033203,298718.8214111328,290290.8615722656,309998.6005859375,112282.48760986328,121086.38803100586,109240.58813476562,119055.92895507812,111079.46835327148,111295.56848144533,110252.7873840332,120952.50833129884,272410.89880371094,286760.6004638672,280321.3400878906,293948.66052246094,280813.90087890625,295662.2412109375,274924.6597290039,278041.7590332031,110884.42791748048,118771.74865722656,121661.82904052734,112872.2681274414,287922.24072265625,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
15:1 Cholesteryl ester,CE,259498.01831054688,268055.0593261719,268890.8377685547,284971.76025390625,255651.8582763672,271941.5600585937,274811.8981933594,270325.19915771484,267581.09765625,254635.35803222656,285592.7198486328,111679.74743652344,112505.0086364746,99233.0864868164,114059.18821716309,103642.36712646484,97831.46688842772,98567.5069580078,115133.86862182616,260969.47998046875,279110.23876953125,268707.9381103516,261043.47790527344,254370.2586669922,272599.61767578125,249741.7177734375,247970.59814453125,106415.78732299805,109607.08767700195,113070.3878173828,107635.2876586914,255572.7781982422,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester,CE,104547.70739746094,482661.26905822754,599021.1501617432,351679.80712890625,125639.16746520996,364204.10803222656,393651.0072021485,145071.9510192871,230368.095413208,448713.8888244629,180673.55206298828,181893.13065719604,157669.31104660034,151944.7908821106,528545.7402648926,67114.82503509521,44475.38328170776,56299.90330123901,78532.20629882812,163176.71159362793,181109.19328308103,336776.8264312744,249489.0998535156,187992.35208892825,438289.16777038574,328525.7266998291,160506.25076293945,46379.60326766968,77134.06510925293,76195.66496658325,47949.46321105957,121273.30940246582,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,CE,108868.50756835938,457017.1744232178,609993.4200134277,337068.3601837158,129753.7692565918,360084.2857208252,390498.6081542969,137290.98944091797,232697.2156829834,463799.4299316406,178450.37184143066,186053.9358062744,162404.1529197693,156451.45086669922,527734.0662574768,68740.46430206299,42214.92322540283,55858.1439781189,75855.20571899414,160255.63095092773,187184.9127502441,347830.1068267822,240007.47801208496,202342.0154266357,443183.8342895508,326737.5634002685,151672.46923828125,50241.78372955322,79354.32606506348,75534.00523757935,50140.58383560181,125768.08905029295,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
16:2 Campesteryl ester,CE,98350.60737609863,468778.7299804688,625300.3235015869,337974.6212387085,120443.98805236816,333241.1462402344,383311.68368530273,131431.08966064453,229844.91590881348,437722.5107727051,173929.8528137207,185782.1937828064,165206.61423492432,152684.90951156616,523835.7752380371,66551.36469268799,43435.38317108154,56317.044551849365,71962.5654296875,157160.73239135742,167781.59133911133,342955.9080352783,239180.9777069092,191045.8516845703,418315.46867370605,310051.0410308838,147526.39030456543,48198.26329803467,74919.82628250122,69768.96461868286,45947.08301925659,117353.56846618652,Genotype: 5xFAD,Genotype: WT,Genotype: 5xFAD vs Genotype: WT,19,12,10xBlank_01202023
