Lipid,Class,AK0135,AK0140,AK0169,AK0154,AK0155,AK0168,AK0174,AK0175,Blank-1x,Title1,Title2,Title,length1,length2,Blank_name
1-O-cerotoyl-Cer(d18:1/16:0),Cer,13388.360912322998,4653.600318908691,7924.700550079346,4538.020324707031,5729.80041885376,6589.520477294922,8394.460628509521,8751.120597839355,3809.9602699279785,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
1-O-cerotoyl-Cer(d18:1/18:0),Cer,15794.281101226807,6038.360431671143,9653.100685119629,5092.980331420898,6426.820476531982,5984.720378875732,10750.760795593262,9342.600666046143,3463.6002349853516,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,6167.640422821045,3758.3402366638184,4327.160327911377,5231.980365753174,4478.94030380249,4291.060306549072,4322.100303649902,5289.9403648376465,6539.220417022705,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,5089.660343170166,3764.140251159668,4383.060298919678,4503.680328369141,3710.9802589416504,3715.9402656555176,4020.000270843506,3772.820266723633,3428.300247192383,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
1-O-myristoyl-Cer(d18:1/16:0),Cer,5962.720432281494,4067.5402603149414,5236.600372314453,5547.440368652344,3571.2802658081055,4095.9403076171875,4604.6203536987305,4845.1403465271,3470.2002601623535,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
1-O-palmitoyl-Cer(d18:1/16:0),Cer,9013.54067993164,5563.800373077393,5882.000411987305,6120.620475769043,6000.080413818359,5721.100395202637,4676.50036239624,6160.1803855896,6578.1604080200195,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
1-O-stearoyl-Cer(d18:1/16:0),Cer,6909.960479736328,3921.9202766418457,5179.940361022949,6000.68045425415,3930.9002838134766,4405.380332946777,4600.600368499756,4807.780326843262,3474.080253601074,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,4923.140335083008,3911.040256500244,4681.06033706665,4657.500274658203,3852.88028717041,3973.3402786254883,3936.3802757263184,4180.200305938721,3450.9802436828613,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,5707.6403884887695,3879.5202598571777,4672.860336303711,3862.220245361328,4343.600292205811,3994.320281982422,4166.780300140381,4440.880332946777,5073.480350494385,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",CAR,1773598.3264160156,1780104.4519042969,1668788.759399414,1363540.2586669922,1757777.8254394531,1667559.6105957031,1540232.3978271484,1754820.5119628906,327414.4421424866,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
12:0 Cholesteryl ester,CE,204735.6732559204,294505.3403015137,209022.50494384766,221471.68612670898,264631.21978759766,286597.27938842773,148017.68029403687,155068.82125854492,37555.72263145447,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
14:0 Cholesteryl ester,CE,183002.45364379883,268446.0394897461,207351.1742477417,215724.45770263672,242793.93817138672,250779.65802001953,115021.12748718262,144252.42919921875,33731.72247314453,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
14:1 Cholesteryl ester,CE,176190.29229736328,280941.0598754883,195130.0516357422,210948.05401611328,247640.47924804688,262053.49740600586,135030.92964935303,150148.43026733398,33754.40241241455,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,CE,821666.0647583008,1058248.3587646484,708605.2796325684,742016.0353393555,1173440.5676269531,1246317.3547363281,804388.2162704468,725593.9499816895,78650.26553726196,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
15:0 Cholesteryl ester,CE,479322.4362182617,798082.3576660156,490554.6734008789,635065.9443359375,800429.5791015625,801382.9323730469,312532.92054748535,417044.6669921875,89103.66654205322,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,CE,671833.5171203613,990472.720703125,644128.4916992188,754455.3714599609,1054239.2244873047,1037546.4890136719,504738.74810028076,598246.1745910645,98432.88682556152,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
15:1 Cholesteryl ester,CE,477932.2758178711,804409.1020507812,505754.9772949219,644670.1643066406,825408.7788085938,800593.87890625,306752.93940734863,423149.8651123047,82103.88539123535,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
16:0 Campesteryl ester | 17:0 Cholesteryl ester,CE,1184341.8838119507,1465771.3977355957,995053.5924377441,994827.9374084473,1742298.5976257324,2028606.7422180176,1307124.8234863281,1079846.6269073486,39962.69267845154,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
16:2 Campesteryl ester,CE,1024153.8960876465,1307736.837463379,918590.6849060059,917399.5659179688,1550846.7870483398,1797326.3282470703,1104001.699897766,876902.982208252,37548.18246459961,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
"16:2 Cholesteryl ester, zymosteryl palmitoleate",CE,539949.7182617188,891150.3662109375,560162.5383300781,699599.3725585938,901407.8879394531,897783.5258789062,389170.6880187988,474161.7130126953,93003.58645629883,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
16:3 Campesteryl ester,CE,1020041.3619384766,1272210.581665039,845048.805267334,903200.701171875,1555125.1788330078,1787545.073425293,1121081.583908081,912040.8722076416,36631.20252227783,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
16:3 Cholesteryl ester,CE,512074.33544921875,836573.03515625,542026.9217529297,665307.5700683594,875816.3291015625,852996.4790039062,360634.76766967773,471574.69232177734,103143.08738708496,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
16:3 Stigmasteryl ester,CE,1596471.5189819336,1871276.9307250977,1438264.2188720703,1267587.5789794922,2167118.485107422,2524116.097229004,1737976.481918335,1331746.8444519043,39270.862632751465,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",CE,904103.3812446594,1277186.8526611328,941782.7571868896,848062.6477661133,1339909.8387145996,1489937.2184143066,1015916.60105896,865869.1324005127,40001.622884750366,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",CE,1269224.113204956,1575253.7347106934,1150737.7462005615,1084446.7676086426,1797023.5684204102,2094825.8489379883,1278986.178062439,1097628.923713684,41981.02304840088,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
17:1 Cholesteryl ester; 16:1 Campesteryl ester,CE,1008699.0966491699,1328263.0100097656,931373.987701416,919561.9737243652,1574773.9153747559,1845969.9208374023,1166644.243675232,887253.8628616333,41338.52281188965,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",CE,1314545.3498153687,1400924.9716796875,1088911.4127426147,886461.2264099121,1511534.3697814941,1996301.4260559082,1089769.3492355347,1124650.8672714233,41639.50292015076,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
18:1 Campesteryl ester,CE,1406696.6515655518,1641756.6278686523,1219592.427734375,1003764.1147460938,1727128.3701782227,2229231.387939453,1552476.3158874512,1317252.875152588,44848.22304916382,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",CE,1412019.9285583496,1818041.7153930664,1340631.0358428955,1240609.3356323242,2102315.338623047,2459071.4896240234,1652844.0254058838,1433446.1220703125,40885.682929992676,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
18:3 Campesteryl ester,CE,1567910.2755889893,1641256.6345825195,1238930.4791870117,1019647.4429931641,1771869.3141479492,2251579.0364379883,1391218.4571380615,1236603.7670593262,43290.78319168091,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",CE,1487454.1528892517,1898086.6850891113,1401191.8338623047,1254822.8975219727,2176675.906677246,2551167.5423583984,1863376.6055603027,1437982.3947143555,40236.002784729004,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",CE,1631630.3058242798,2263891.352416992,1500715.9677276611,1330667.5771484375,2243867.964477539,2595196.169067383,1422278.934020996,1385092.6919555664,111372.25839805603,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",CAR,604128.2267456055,470222.51599121094,494369.294921875,414126.91052246094,534352.6359863281,563614.3217773438,556161.2179870605,514811.8537597656,114115.06772994995,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
20:0 Campesteryl ester,CE,1144727.5750579834,1786047.966796875,1136902.4174194336,1003576.6560058594,1640341.3056640625,1647538.0197753906,783134.548828125,921191.6957702637,117365.78839111328,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
20:1 Campesteryl ester,CE,1097204.6911010742,1778618.5598144531,1086778.356262207,998638.1130371094,1618198.5288085938,1677135.3952636719,955419.111907959,876076.1404266357,107014.40713882446,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",CE,1777556.1994018555,2263856.1713867188,1484218.9609985352,1369514.3940429688,2246168.469970703,2617951.7438964844,1299314.9774780273,1444733.7073364258,107587.86814498901,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",CE,1713379.1826782227,2307182.4860839844,1543084.2462768555,1345383.8601074219,2254503.8818359375,2605648.806640625,1252337.7398986816,1305868.1267700195,120097.84827804565,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
20:3 Campesteryl ester,CE,1150791.1851959229,1799453.6943359375,1197734.9252319336,1022976.5676269531,1613130.35546875,1647135.1171875,825778.3897399902,922979.9344787598,103799.04703521729,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",CE,1730694.3919067383,2174637.423095703,1371043.2727661133,1305969.5480957031,2183792.5356445312,2529511.2424316406,1302011.4176940918,1401716.863067627,112794.78823852539,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",CE,1413656.8290100098,1763978.19140625,1197864.3660583496,1078183.7280273438,1796485.77734375,2182291.1877441406,1120680.7828674316,1184422.8305511475,80782.82581329346,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
20:5 Cholesteryl ester,CE,1180285.7119293213,1487157.0840759277,1191717.0359039307,897559.1615600586,1505449.939666748,1951889.8427734375,1094727.9840240479,1158173.7094726562,40848.142879486084,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
22:0 Campesteryl ester,CE,1275047.7465286255,1048767.0503692627,1677171.4291915894,687555.9910125732,1282984.633026123,1663311.605178833,1843595.0082626343,1259787.6028251648,26874.302040100098,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",CE,486254.7740020752,702086.1449584961,516514.8937988281,368524.5285949707,628082.7442321777,764209.8600921631,409340.06436157227,414245.8681945801,27702.32187271118,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
22:0 Sitosteryl ester,CE,1351542.3395996094,1232788.2369384766,1931277.8307495117,796966.4442138672,1461057.6843261719,1912028.1974487305,2001691.2339324951,1378686.5291137695,77169.50589370728,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
22:1 Campesteryl ester,CE,1188570.3987731934,1006637.9633789062,1647700.3428497314,669055.4186859131,1274972.821472168,1586775.7944641113,1760836.3568496704,1186487.747138977,26758.601810455322,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",CE,493171.57263183594,689834.5113220215,523501.0126800537,367638.9302062988,612491.9246826172,737246.294921875,436006.1957092285,419666.2893066406,28412.241912841797,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",CE,1374862.726989746,1245174.4312515259,1845982.4770088196,796306.5762023926,1460860.897556305,1885257.8938903809,2027459.1523361206,1369158.2368087769,59661.04486465454,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
22:2 Campesteryl ester,CE,1059263.1563110352,911167.4394226074,1261040.6495361328,558243.8416595459,1051890.8771972656,1320605.3899230957,1386780.177696228,939149.0082626343,28828.601886749268,Sex: M | Genotype: cKO | time point: 28d ISCI,Sex: M | Genotype: WT | time point: healthy 28d ISCI,Sex: M__Genotype: cKO__time point: 28d ISCI vs Sex: M__Genotype: WT__time point: healthy 28d ISCI,3,5,Blank-1x
