Lipid,Class,AK0135,AK0139,AK0140,AK0142,AK0157,AK0161,AK0169,AK0170,AK0200,AK0202,AK0204,AK0141,AK0144,AK0145,AK0147,AK0154,AK0155,AK0164,AK0166,AK0168,AK0174,AK0175,Blank-1x,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,5852.4604415893555,5428.220371246338,4118.460285186768,4033.060287475586,3878.980266571045,3938.7002754211426,5075.18034362793,4248.760307312012,4174.160293579102,5481.920394897461,4148.680309295654,4484.820323944092,4544.720314025879,5703.600429534912,3847.680278778076,5098.460361480713,4085.260284423828,4355.2003173828125,3895.6602783203125,3839.480270385742,3850.560276031494,4372.38032913208,3583.220245361328,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
1-O-carboceroyl-Cer(d18:1/16:0),Cer,5216.740371704102,4441.940341949463,3582.860237121582,4081.8003158569336,3601.680244445801,3718.3802642822266,4236.8803062438965,3969.8202781677246,3614.9802589416504,5576.680419921875,4055.0402908325195,4270.400283813477,4074.4802780151367,5085.420352935791,3604.5002479553223,4713.260307312012,3759.620258331299,3836.640239715576,3713.360263824463,3989.080280303955,4237.000282287598,4758.760353088379,4646.720367431641,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
1-O-carboceroyl-Cer(d18:1/18:0),Cer,8720.900714874268,8781.880512237549,5660.100425720215,4481.360313415527,4417.620300292969,7115.460487365723,6960.540477752686,7192.140544891357,6553.460472106934,9145.040660858154,6529.280418395996,7776.520538330078,5170.960353851318,10447.660861968994,4386.000316619873,4087.080265045166,5734.580436706543,6016.460430145264,4719.100315093994,4548.860317230225,6091.820507049561,6554.140449523926,5040.740333557129,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
1-O-cerotoyl-Cer(d18:1/16:0),Cer,13388.360912322998,7282.660499572754,4653.600318908691,5178.580360412598,4500.920333862305,7886.500576019287,7924.700550079346,8310.960536956787,6413.280429840088,13825.741111755371,7550.240520477295,5822.840404510498,7008.30041885376,10870.080791473389,4465.6003341674805,4538.020324707031,5729.80041885376,5406.520370483398,5366.040374755859,6589.520477294922,8394.460628509521,8751.120597839355,3809.9602699279785,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
1-O-cerotoyl-Cer(d18:1/18:0),Cer,15794.281101226807,12557.66093826294,6038.360431671143,6661.160549163818,5982.820430755615,9755.960605621338,9653.100685119629,11369.340805053711,6788.320453643799,18681.461498260498,10655.400787353516,7811.040546417236,7670.940490722656,14279.840965270996,4956.40034866333,5092.980331420898,6426.820476531982,7214.7205810546875,5952.080425262451,5984.720378875732,10750.760795593262,9342.600666046143,3463.6002349853516,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,6167.640422821045,5131.020397186279,3758.3402366638184,4268.620307922363,3823.8002700805664,4800.280372619629,4327.160327911377,4450.040294647217,4905.880352020264,5853.100387573242,3852.0602951049805,4681.560306549072,4501.780342102051,7359.920520782471,3860.800262451172,5231.980365753174,4478.94030380249,4873.900314331055,4164.360324859619,4291.060306549072,4322.100303649902,5289.9403648376465,6539.220417022705,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,5089.660343170166,4048.4403076171875,3764.140251159668,3621.5602645874023,3531.78023147583,4089.5603065490723,4383.060298919678,3639.1402626037598,4162.040302276611,4686.000328063965,4047.5402908325195,4296.420307159424,3881.680290222168,5020.460350036621,3477.2602500915527,4503.680328369141,3710.9802589416504,3765.0002784729004,3641.540294647217,3715.9402656555176,4020.000270843506,3772.820266723633,3428.300247192383,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
1-O-myristoyl-Cer(d18:1/16:0),Cer,5962.720432281494,5036.300392150879,4067.5402603149414,4023.940299987793,3897.800266265869,5093.560356140137,5236.600372314453,4900.880352020264,4447.700313568115,7014.3204917907715,4389.240291595459,4815.420322418213,4786.7603187561035,5587.720401763916,4100.400287628174,5547.440368652344,3571.2802658081055,4566.740303039551,4217.980293273926,4095.9403076171875,4604.6203536987305,4845.1403465271,3470.2002601623535,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
1-O-palmitoyl-Cer(d18:1/16:0),Cer,9013.54067993164,5919.900444030762,5563.800373077393,5365.540367126465,4733.880352020264,4777.000354766846,5882.000411987305,4846.0003662109375,5167.520366668701,7208.8204917907715,4643.700305938721,4830.9203453063965,5631.440368652344,6407.380443572998,3930.26025390625,6120.620475769043,6000.080413818359,5189.2403564453125,4370.340328216553,5721.100395202637,4676.50036239624,6160.1803855896,6578.1604080200195,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
1-O-stearoyl-Cer(d18:1/16:0),Cer,6909.960479736328,5179.200378417969,3921.9202766418457,3975.2202911376953,3785.3402709960938,4733.940368652344,5179.940361022949,4175.380310058594,4884.260334014893,6096.280429840088,4892.620365142822,4695.420333862305,4115.500293731689,6351.960472106934,3772.340259552002,6000.68045425415,3930.9002838134766,4237.5002784729,4547.640350341797,4405.380332946777,4600.600368499756,4807.780326843262,3474.080253601074,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,4923.140335083008,4674.660354614258,3911.040256500244,3995.740306854248,3865.660255432129,3747.100273132324,4681.06033706665,3998.4402770996094,3961.74027633667,5636.340427398682,4099.060287475586,4487.660305023193,3799.940258026123,4586.880325317383,3639.6802406311035,4657.500274658203,3852.88028717041,3911.7002754211426,3854.100273132324,3973.3402786254883,3936.3802757263184,4180.200305938721,3450.9802436828613,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,5707.6403884887695,5767.840435028076,3879.5202598571777,4342.560329437256,3834.3002548217773,4322.880317687988,4672.860336303711,4530.180316925049,3721.3802642822266,5268.840389251709,4539.620319366455,4772.9203453063965,4387.940299987793,5468.500392913818,3926.7002868652344,3862.220245361328,4343.600292205811,4604.360305786133,3940.3202896118164,3994.320281982422,4166.780300140381,4440.880332946777,5073.480350494385,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",CAR,1773598.3264160156,1908898.2258300781,1780104.4519042969,1550610.1850585938,1607952.223022461,1574604.4770507812,1668788.759399414,1667023.7607421875,1676924.242553711,1899879.3990478516,3586422.091796875,1577006.3580322266,1612063.1870117188,1500475.087890625,1717306.8571777344,1363540.2586669922,1757777.8254394531,1676762.3806152344,1624814.6600341797,1667559.6105957031,1540232.3978271484,1754820.5119628906,327414.4421424866,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
12:0 Cholesteryl ester,CE,197343.87269592285,471268.27630615234,298812.02044677734,268495.21838378906,242585.5782470703,465737.71697998047,209393.3148803711,389253.7262573242,441917.8123779297,194175.07411956787,407434.0056152344,598244.0633544922,227487.03588867188,398535.74908447266,229821.15802001953,223862.7173461914,269168.78033447266,455271.31329345703,236617.29663085938,295166.44024658203,148931.1300354004,168155.63229370117,39510.122787475586,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
12:0 Cholesteryl ester_2,CE,212127.47381591797,458960.1551513672,290198.66015625,255727.59649658203,243992.07678222656,449034.6315917969,208651.69500732422,376567.6844482422,420603.6680908203,179248.3526916504,389112.5859375,591483.5,220903.7758178711,385664.7283935547,224316.63671875,219080.65490722656,260093.65924072266,456787.8705444336,233148.5767211914,278028.11853027344,147104.23055267334,141982.01022338867,35601.32247543335,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
14:0 Cholesteryl ester,CE,183002.45364379883,408192.8278808594,268446.0394897461,246201.1987915039,230769.0149230957,378208.78729248047,207351.1742477417,331379.9051513672,374032.8856201172,157515.33116149902,348061.6057739258,483184.1337585449,216050.85403442383,352738.62506103516,199976.6728515625,215724.45770263672,242793.93817138672,402353.0107421875,215567.55737304688,250779.65802001953,115021.12748718262,144252.42919921875,33731.72247314453,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
14:1 Cholesteryl ester,CE,176190.29229736328,425408.9488220215,280941.0598754883,254350.15838623047,233648.6573791504,390806.02716064453,195130.0516357422,346504.4039916992,385376.1858520508,154538.83144378662,357291.26708984375,514558.01794433594,212410.25262451172,366456.5667114258,202104.05450439453,210948.05401611328,247640.47924804688,413623.6901245117,230008.0352783203,262053.49740600586,135030.92964935303,150148.43026733398,33754.40241241455,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,CE,789697.7373046875,2066060.1552734375,1044348.4392089844,981364.4655761719,1085904.9997558594,2288244.3125,711964.9705810547,2131322.0258789062,2176563.486328125,888156.2966918945,2696200.427001953,2238449.411376953,1079219.368774414,1898855.3000488281,951385.7141113281,740755.8956298828,1179149.8685302734,1986375.2338867188,1008463.2319335938,1246865.2530517578,797935.5003662109,704290.8534545898,82824.66579437256,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,CE,853634.3922119141,2037224.7944335938,1072148.2783203125,1006286.2724609375,1076666.1655273438,2290665.289794922,705245.588684082,2097052.1955566406,2198090.9572753906,819131.1392211914,2698124.3142089844,2232529.3186035156,1085620.9357910156,1885534.8500976562,937100.1420898438,743276.1750488281,1167731.2667236328,2002967.8527832031,1032479.0349121094,1245769.4564208984,810840.9321746826,746897.0465087891,74475.86528015137,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
15:0 Cholesteryl ester,CE,479322.4362182617,1055011.5732421875,798082.3576660156,750341.5529785156,781783.0134277344,1068373.348022461,490554.6734008789,984740.0437011719,1039988.71484375,459047.3137817383,1155100.2397460938,1178369.2763671875,743461.3332519531,960665.4267578125,711950.0932617188,635065.9443359375,800429.5791015625,1045205.1755371094,772022.0708007812,801382.9323730469,312532.92054748535,417044.6669921875,89103.66654205322,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,CE,663684.3700561523,1542870.7221679688,986132.2075195312,924308.8635253906,1000389.56640625,1550921.1469726562,638353.2435302734,1482237.6633300781,1527319.0380859375,736405.7332763672,1717050.1225585938,1712369.3581542969,970073.2102050781,1362550.8513183594,886919.1489257812,747123.0681152344,1048058.6755371094,1545880.4645996094,961839.7341308594,1025624.2321777344,496332.3787384033,585429.0845947266,105928.06745910645,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,CE,679982.6641845703,1534466.7041015625,994813.2338867188,939169.9470214844,1000696.126953125,1552640.9921875,649903.7398681641,1503473.9255371094,1559132.8061523438,746775.7130737305,1744490.0302734375,1713514.0598144531,997033.8459472656,1374413.7163085938,903807.3818359375,761787.6748046875,1060419.7734375,1545144.7319335938,963493.0700683594,1049468.7458496094,513145.1174621582,611063.2645874023,90937.7061920166,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
15:1 Cholesteryl ester,CE,477932.2758178711,1054155.5134277344,804409.1020507812,743346.9748535156,784644.4033203125,1034874.5734863281,505754.9772949219,1001628.103515625,1042590.439453125,523393.09393310547,1164540.2397460938,1199737.0004882812,736011.0537109375,952810.02734375,721170.7348632812,644670.1643066406,825408.7788085938,1045489.8735351562,777016.0197753906,800593.87890625,306752.93940734863,423149.8651123047,82103.88539123535,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
16:0 Campesteryl ester | 17:0 Cholesteryl ester,CE,1192520.7055206299,3317541.8442382812,1462364.0208129883,1511052.6965332031,1660164.1915893555,3862249.523864746,1053020.7135620117,3496115.8087158203,3798682.0137939453,1336091.0246276855,5003746.9607543945,3792445.016357422,1700960.0823364258,3209998.538269043,1342018.7610473633,992041.3086547852,1734192.47265625,3124272.61517334,1580912.7755737305,2024702.9037475586,1351385.968345642,1082542.8786010742,42455.54280471802,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,CE,1176163.0621032715,3319410.4982910156,1469178.7746582031,1518491.7903442383,1644389.422241211,3887920.9923706055,937086.4713134766,3513842.349975586,3810893.7852783203,1329058.0193481445,4999381.965209961,3785830.6469726562,1719226.9919433594,3213956.2883911133,1334065.033203125,997614.5661621094,1750404.7225952148,3090413.958984375,1549424.3465576172,2032510.5806884766,1262863.6786270142,1077150.375213623,37469.84255218506,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
16:2 Campesteryl ester,CE,1024153.8960876465,2881798.134765625,1307736.837463379,1334771.5510864258,1435602.710144043,3417545.9243164062,918590.6849060059,3071638.707397461,3307019.251953125,1178049.5912780762,4564289.039428711,3246463.505126953,1508454.9771118164,2853732.693359375,1174604.151550293,917399.5659179688,1550846.7870483398,2611230.1533813477,1360124.0970458984,1797326.3282470703,1104001.699897766,876902.982208252,37548.18246459961,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
"16:2 Cholesteryl ester, zymosteryl palmitoleate",CE,539949.7182617188,1263222.1179199219,891150.3662109375,832757.7119140625,889896.3603515625,1241483.5310058594,560162.5383300781,1206008.5622558594,1263038.6306152344,604268.1017456055,1390025.2941894531,1441165.1945800781,839465.0791015625,1134029.0310058594,798569.537109375,699599.3725585938,901407.8879394531,1267904.8039550781,851822.6799316406,897783.5258789062,389170.6880187988,474161.7130126953,93003.58645629883,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
16:3 Campesteryl ester,CE,1020041.3619384766,2809078.3034057617,1272210.581665039,1307131.5270385742,1416996.383178711,3370828.850830078,845048.805267334,3015819.7756347656,3274823.365753174,1153624.7742919922,4504572.306091309,3193075.5076293945,1489378.978515625,2799905.918334961,1159438.148071289,903200.701171875,1555125.1788330078,2577784.221862793,1328931.5989379883,1787545.073425293,1121081.583908081,912040.8722076416,36631.20252227783,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
16:3 Cholesteryl ester,CE,512074.33544921875,1165534.2019042969,836573.03515625,788950.3098144531,834721.3200683594,1174910.9125976562,542026.9217529297,1096579.2644042969,1182799.1965332031,540857.696472168,1277360.2670898438,1305368.5871582031,797526.4951171875,1046914.4780273438,763953.9541015625,665307.5700683594,875816.3291015625,1150298.9602050781,813374.4765625,852996.4790039062,360634.76766967773,471574.69232177734,103143.08738708496,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
16:3 Stigmasteryl ester,CE,1596471.5189819336,4722541.474975586,1871276.9307250977,1975534.305053711,2136728.206665039,5191223.557739258,1438264.2188720703,4720311.004638672,5171141.995483398,1801859.5259094238,6217856.19934082,5264164.096069336,2258827.65423584,4274017.391723633,1707096.0693969727,1267587.5789794922,2167118.485107422,4371415.269836426,2056865.3665161133,2524116.097229004,1737976.481918335,1331746.8444519043,39270.862632751465,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",CE,916322.8885879517,2827588.4938964844,1283384.6698608398,1359008.1305541992,1448095.138244629,2836454.0443115234,989100.5520782471,2569347.3151245117,2974549.9127197266,1081618.6657104492,2929759.022216797,3274551.2358398438,1474892.891052246,2292816.494567871,1122569.8369140625,853393.1558837891,1347063.8173828125,2791366.5291748047,1337516.513305664,1487391.1522216797,938510.9572601318,827868.0527648926,40736.10290145874,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",CE,891883.8739013672,2818004.659301758,1270989.0354614258,1360180.2727355957,1443960.8600463867,2841565.8818969727,894464.9622955322,2578812.216369629,2984571.0864257812,1109499.515838623,2912879.460876465,3302149.573364258,1458227.1588745117,2308137.3458251953,1084542.6743164062,842732.1396484375,1332755.8600463867,2784091.3170776367,1339580.5136108398,1492483.2846069336,1093322.244857788,903870.2120361328,39267.14286804199,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",CE,1306623.1169433594,3709307.35546875,1576792.7321166992,1665923.2409667969,1783628.925354004,4125866.0313720703,1102702.8532104492,3659234.2077026367,4170613.143676758,1463308.7431030273,4943435.3025512695,4290614.834838867,1870115.3682250977,3357984.4942626953,1426422.680053711,1086536.4192504883,1792775.2736206055,3531801.342590332,1721552.627380371,2091963.6798706055,1298646.615524292,1089313.1320495605,41545.86302566528,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",CE,1231825.1094665527,3727246.2607421875,1573714.7373046875,1668883.4506835938,1797327.679321289,4115511.9108276367,1198772.6391906738,3701962.5955200195,4198412.090942383,1501868.7221374512,4971357.477966309,4286165.4921875,1865257.9146118164,3395848.878540039,1418861.4724731445,1082357.1159667969,1801271.8632202148,3519171.297973633,1696331.5722045898,2097688.018005371,1259325.740600586,1105944.7153778076,42416.183071136475,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
17:1 Cholesteryl ester; 16:1 Campesteryl ester,CE,1077207.5690307617,2955804.091003418,1351199.2150878906,1364113.827758789,1494797.3311157227,3508278.694885254,957277.5562744141,3141642.1345214844,3407906.3225097656,1177801.4160461426,4644663.73059082,3369636.378540039,1553421.479309082,2921888.522644043,1230164.9396972656,932672.7487182617,1601600.6546020508,2714110.3923339844,1378690.2376708984,1869869.0641479492,1235861.4857940674,926364.4599914551,46294.68310546875,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,CE,940190.6242675781,2880691.788635254,1305326.8049316406,1305489.9631347656,1477233.7508544922,3399653.3653564453,905470.419128418,3071671.4596557617,3304714.7344970703,1146936.4387512207,4518410.383361816,3251779.5842285156,1490997.037109375,2852859.505065918,1182085.4595336914,906451.1987304688,1547947.176147461,2666117.371398926,1335308.7937011719,1822070.7775268555,1097427.0015563965,848143.2657318115,36382.36251831055,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",CE,1256352.5386199951,3325030.56060791,1413090.9733276367,1455954.714477539,1495422.8462524414,3967283.6395874023,1117535.2634277344,3089492.121520996,3672599.276123047,1351368.2366027832,3231594.5084228516,3721898.8076171875,1527299.0944213867,2706980.1061401367,1182434.3723144531,895001.3775024414,1497192.546081543,3085711.058959961,1419893.73828125,1991106.8967895508,1076433.2709655762,1131244.3202667236,39621.242710113525,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",CE,1372738.1610107422,3305293.1350097656,1388758.9700317383,1439751.3153076172,1478946.155456543,3949305.086364746,1060287.5620574951,3111396.023864746,3649054.770629883,1356532.7410430908,3225093.7380371094,3700601.955932617,1473545.8504638672,2667169.887573242,1198794.437133789,877921.0753173828,1525876.1934814453,3095907.1751098633,1425471.5220947266,2001495.9553222656,1103105.4275054932,1118057.414276123,43657.76313018799,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
18:1 Campesteryl ester,CE,1406696.6515655518,4002003.9439697266,1641756.6278686523,1707497.1040039062,1712748.7578735352,4477974.755187988,1219592.427734375,3672621.907043457,4339608.172363281,1518235.576385498,3820909.7244262695,4457279.874633789,1789755.3739624023,3204196.6900634766,1402191.4959106445,1003764.1147460938,1727128.3701782227,3735554.5223999023,1691380.4220581055,2229231.387939453,1552476.3158874512,1317252.875152588,44848.22304916382,Genotype: cKO,Genotype: WT,Genotype: cKO vs Genotype: WTExtra Name,11,11,Blank-1x
