Lipid,Class,AK0142,AK0170,AK0200,AK0202,AK0144,AK0145,AK0147,AK0164,AK0166,Blank-1x,Title1,Title2,Title,length1,length2,Blank_name
1-O-cerotoyl-Cer(d18:1/18:0),CER,6661.160549163818,11369.340805053711,6788.320453643799,18681.461498260498,7670.940490722656,14279.840965270996,4956.40034866333,7214.7205810546875,5952.080425262451,3463.6002349853516,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
1-O-eicosanoyl-Cer(d18:1/16:0),CER,4268.620307922363,4450.040294647217,4905.880352020264,5853.100387573242,4501.780342102051,7359.920520782471,3860.800262451172,4873.900314331055,4164.360324859619,6539.220417022705,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
1-O-lignoceroyl-Cer(d18:1/16:0),CER,3621.5602645874023,3639.1402626037598,4162.040302276611,4686.000328063965,3881.680290222168,5020.460350036621,3477.2602500915527,3765.0002784729004,3641.540294647217,3428.300247192383,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
1-O-myristoyl-Cer(d18:1/16:0),CER,4023.940299987793,4900.880352020264,4447.700313568115,7014.3204917907715,4786.7603187561035,5587.720401763916,4100.400287628174,4566.740303039551,4217.980293273926,3470.2002601623535,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
1-O-palmitoyl-Cer(d18:1/16:0),CER,5365.540367126465,4846.0003662109375,5167.520366668701,7208.8204917907715,5631.440368652344,6407.380443572998,3930.26025390625,5189.2403564453125,4370.340328216553,6578.1604080200195,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
1-O-stearoyl-Cer(d18:1/16:0),CER,3975.2202911376953,4175.380310058594,4884.260334014893,6096.280429840088,4115.500293731689,6351.960472106934,3772.340259552002,4237.5002784729,4547.640350341797,3474.080253601074,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
1-O-tricosanoyl-Cer(d18:1/16:0),CER,3995.740306854248,3998.4402770996094,3961.74027633667,5636.340427398682,3799.940258026123,4586.880325317383,3639.6802406311035,3911.7002754211426,3854.100273132324,3450.9802436828613,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
1-O-tricosanoyl-Cer(d18:1/18:0),CER,4342.560329437256,4530.180316925049,3721.3802642822266,5268.840389251709,4387.940299987793,5468.500392913818,3926.7002868652344,4604.360305786133,3940.3202896118164,5073.480350494385,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",AC,1550610.1850585938,1667023.7607421875,1676924.242553711,1899879.3990478516,1612063.1870117188,1500475.087890625,1717306.8571777344,1676762.3806152344,1624814.6600341797,327414.4421424866,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
12:0 Cholesteryl ester,CE,262111.40744018555,382910.7053527832,431260.740234375,186711.71340560913,224195.40585327148,392100.2387390137,227068.89736938477,456029.5919189453,234882.9366760254,37555.72263145447,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
14:0 Cholesteryl ester,CE,246201.1987915039,331379.9051513672,374032.8856201172,157515.33116149902,216050.85403442383,352738.62506103516,199976.6728515625,402353.0107421875,215567.55737304688,33731.72247314453,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
14:1 Cholesteryl ester,CE,254350.15838623047,346504.4039916992,385376.1858520508,154538.83144378662,212410.25262451172,366456.5667114258,202104.05450439453,413623.6901245117,230008.0352783203,33754.40241241455,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,CE | CE,993825.3690185547,2114187.1107177734,2187327.221801758,853643.717956543,1082420.1522827148,1892195.0750732422,944242.9281005859,1994671.543334961,1020471.1334228516,78650.26553726196,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
15:0 Cholesteryl ester,CE,750341.5529785156,984740.0437011719,1039988.71484375,459047.3137817383,743461.3332519531,960665.4267578125,711950.0932617188,1045205.1755371094,772022.0708007812,89103.66654205322,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,CE | CE,931739.4052734375,1492855.7944335938,1543225.9221191406,741590.7231750488,983553.5280761719,1368482.2838134766,895363.2653808594,1545512.5982666016,962666.4020996094,98432.88682556152,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
15:1 Cholesteryl ester,CE,743346.9748535156,1001628.103515625,1042590.439453125,523393.09393310547,736011.0537109375,952810.02734375,721170.7348632812,1045489.8735351562,777016.0197753906,82103.88539123535,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
16:0 Campesteryl ester | 17:0 Cholesteryl ester,CE | CE,1514772.2434387207,3504979.079345703,3804787.899536133,1332574.521987915,1710093.5371398926,3211977.413330078,1338041.8971252441,3107343.2870788574,1565168.5610656738,39962.69267845154,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
16:2 Campesteryl ester,CE,1334771.5510864258,3071638.707397461,3307019.251953125,1178049.5912780762,1508454.9771118164,2853732.693359375,1174604.151550293,2611230.1533813477,1360124.0970458984,37548.18246459961,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"16:2 Cholesteryl ester, zymosteryl palmitoleate",CE,832757.7119140625,1206008.5622558594,1263038.6306152344,604268.1017456055,839465.0791015625,1134029.0310058594,798569.537109375,1267904.8039550781,851822.6799316406,93003.58645629883,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
16:3 Campesteryl ester,CE,1307131.5270385742,3015819.7756347656,3274823.365753174,1153624.7742919922,1489378.978515625,2799905.918334961,1159438.148071289,2577784.221862793,1328931.5989379883,36631.20252227783,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
16:3 Cholesteryl ester,CE,788950.3098144531,1096579.2644042969,1182799.1965332031,540857.696472168,797526.4951171875,1046914.4780273438,763953.9541015625,1150298.9602050781,813374.4765625,103143.08738708496,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
16:3 Stigmasteryl ester,CE,1975534.305053711,4720311.004638672,5171141.995483398,1801859.5259094238,2258827.65423584,4274017.391723633,1707096.0693969727,4371415.269836426,2056865.3665161133,39270.862632751465,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",CE | CE,1359594.2016448975,2574079.7657470703,2979560.499572754,1095559.0907745361,1466560.024963379,2300476.920196533,1103556.2556152344,2787728.9231262207,1338548.513458252,40001.622884750366,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",CE | CE,1667403.3458251953,3680598.401611328,4184512.6173095703,1482588.7326202393,1867686.641418457,3376916.686401367,1422642.0762634277,3525486.3202819824,1708942.0997924805,41981.02304840088,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
17:1 Cholesteryl ester; 16:1 Campesteryl ester,CE,1334801.8954467773,3106656.797088623,3356310.528503418,1162368.9273986816,1522209.2582092285,2887374.0138549805,1206125.1996154785,2690113.881866455,1356999.5156860352,41338.52281188965,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",CE | CE,1447853.0148925781,3100444.072692871,3660827.023376465,1353950.488822937,1500422.472442627,2687074.9968566895,1190614.404724121,3090809.117034912,1422682.6301879883,41639.50292015076,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
18:1 Campesteryl ester,CE,1707497.1040039062,3672621.907043457,4339608.172363281,1518235.576385498,1789755.3739624023,3204196.6900634766,1402191.4959106445,3735554.5223999023,1691380.4220581055,44848.22304916382,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",CE,1913767.1786499023,4495567.135131836,5061750.217041016,1706795.0891113281,2177446.016845703,4095343.4825439453,1623692.8201904297,4150944.659851074,1979133.4765625,40885.682929992676,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
18:3 Campesteryl ester,CE,1707117.0549316406,3777282.47265625,4373657.011108398,1635778.7589111328,1830285.6535644531,3280187.0474853516,1426572.030090332,3888413.5653686523,1720888.4177246094,43290.78319168091,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",CE,1974806.771911621,4683383.762390137,5225475.064697266,1783487.885131836,2260762.9064941406,4273291.343078613,1706679.6537780762,4389020.909790039,2060603.0645141602,40236.002784729004,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",CE | CE,2126745.5697021484,3496396.205078125,3900011.8770751953,1568005.33102417,2014721.9537353516,2960267.2912597656,1768917.5540771484,3701249.0037841797,2029562.3850097656,111372.25839805603,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",AC,478508.69592285156,581810.5565185547,673715.7709960938,504305.37561035156,440532.09045410156,535128.9973754883,517384.09729003906,533576.4212646484,531947.4597167969,114115.06772994995,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
20:0 Campesteryl ester,CE,1579443.7087402344,2290627.869873047,2371062.5517578125,1090242.490814209,1453715.0483398438,1934160.1706542969,1301071.357421875,2756263.453857422,1485507.4794921875,117365.78839111328,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
20:1 Campesteryl ester,CE,1619703.5004882812,2325912.2016601562,2429942.8693847656,1107220.6676330566,1482835.119140625,1934451.71484375,1326422.3837890625,2746248.224609375,1499049.9282226562,107014.40713882446,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",CE,2156904.759765625,3558858.6623535156,3976487.776123047,1626150.655822754,2056882.3227539062,3014448.8520507812,1799126.8276367188,3763806.333984375,2080992.4514160156,107587.86814498901,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",CE,2143628.2973632812,3554552.2036132812,3945552.9360351562,1744661.2466125488,2024772.1220703125,3040737.1506347656,1784997.0583496094,3734481.5161132812,2043700.0700683594,120097.84827804565,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
20:3 Campesteryl ester,CE,1627509.4765625,2416128.0581054688,2507091.5747070312,1070385.4758911133,1483640.6147460938,2000263.3784179688,1346810.8771972656,2770194.724609375,1481498.9370117188,103799.04703521729,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",CE,2054823.9826660156,3437651.1291503906,3823854.6860351562,1603876.9877319336,1981349.9130859375,2919510.557861328,1725590.8715820312,3615039.737060547,1967054.7839355469,112794.78823852539,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",CE,1695153.7299804688,3028089.3374023438,3430672.854248047,1174486.8546295166,1649878.07421875,2600619.6948242188,1433671.0905761719,3109039.83203125,1605611.1293945312,80782.82581329346,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
20:5 Cholesteryl ester,CE,1472513.1021118164,3172285.7553710938,3439907.0416259766,1372025.7718658447,1529384.1152038574,2643668.9346313477,1224831.609375,2979094.144592285,1432792.6403808594,40848.142879486084,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
22:0 Campesteryl ester,CE,1622608.917816162,1693196.5922546387,2998802.556945801,1114970.1255950928,1154048.6613769531,2021629.8032836914,978836.5494384766,2019985.7680664062,1373684.2727355957,26874.302040100098,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",CE,680975.2891235352,1139922.3409423828,1269536.9176635742,452921.41033935547,584278.6501464844,960882.7532348633,515870.91384887695,1376826.1256713867,608116.9859619141,27702.32187271118,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
22:0 Sitosteryl ester,CE,1822921.273071289,2052731.3544311523,3368838.2041015625,1201522.3281555176,1359160.7946166992,2305809.6557006836,1147383.8492126465,2363449.1513061523,1568061.2435913086,77169.50589370728,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
22:1 Campesteryl ester,CE,1542582.1212768555,1659973.7903747559,2829398.5095825195,1046323.8808441162,1133079.822479248,1919642.534362793,941533.9098892212,1956467.0634765625,1317949.0085449219,26758.601810455322,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",CE,654653.2816467285,1121099.4163208008,1251449.3586425781,451082.5294647217,572486.2168579102,948963.9513549805,484636.1116027832,1373943.5310058594,601720.5035552979,28412.241912841797,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",CE,1817500.9332580566,2143438.368488312,3483556.3550338745,1182742.1558151245,1344112.746334076,2369999.6730041504,1126148.2764968872,2432624.3164367676,1518842.6642227173,59661.04486465454,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
22:2 Campesteryl ester,CE,1213761.7136535645,1467633.4023132324,2213065.8686828613,907571.1602172852,945730.0710449219,1548088.1864624023,799829.2206573486,1727326.5692596436,1055262.1890563965,28828.601886749268,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",CE,1755265.5286865234,2133095.015319824,3454421.276412964,1198484.371307373,1305782.0749511719,2387638.347885132,1098289.6187973022,2431595.019012451,1504585.3003845215,31807.14225769043,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
22:3 Campesteryl ester,CE,624531.4252319336,1010147.7665710449,1157966.298675537,418789.3702850342,553368.0776672363,890991.3828125,488965.3962402344,1215960.052581787,572196.2226257324,25816.88180923462,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
22:3 Stigmasteryl ester,CE,1715850.0451660156,1914662.7027130127,3263354.667663574,1201693.105064392,1229888.0190124512,2219341.1036376953,1037721.9331054688,2234915.5794677734,1452883.9295959473,29448.982093811035,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",CE,1504908.6469726562,2088645.1794433594,2153481.6518554688,1019667.185760498,1398906.6594238281,1732583.7451171875,1256184.6625976562,2463806.828857422,1429277.7192382812,118993.82879257202,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
22:5 Cholesteryl ester,CE,1587880.7717285156,2248224.8471679688,2353680.63671875,1025343.2522583008,1446577.9990234375,1908633.1130371094,1327634.8317871094,2647383.7080078125,1488166.5490722656,114990.62853240967,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
22:6 Cholesteryl ester,CE,1612392.189453125,2308341.8029785156,2411009.2202148438,1083897.462677002,1466869.2517089844,1907218.3432617188,1331848.4821777344,2743999.8203125,1467189.5034179688,116655.20830154419,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",CE,1841161.4660339355,2085391.799823761,3415279.208557129,1193728.8836364746,1382787.722038269,2329438.053543091,1145748.8530960083,2413426.921432495,1572557.3089447021,75213.30527496338,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
3-hydroxyarachidonoylcarnitine,AC,950045.8879394531,1263232.9755859375,1577737.2863769531,1192835.4344482422,1038095.4111328125,1226450.5554199219,1104591.8566894531,1258064.9012451172,1122235.658569336,247831.9576034546,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",AC,745915.1159667969,944104.3129882812,1132979.3279418945,955502.7790527344,824888.4753417969,974609.2042236328,812935.3562927246,1013067.4606323242,832807.3798217773,140317.9097480774,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"3-hydroxylinoleoylcarnitine,",AC,3560631.7172851562,4365227.45300293,4478813.756469727,5424324.594116211,3857879.0826416016,3755488.9732666016,4306940.206542969,5201880.256713867,3597242.659423828,259128.27826309204,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",AC,2841273.5791015625,2658867.3598632812,2975819.9208984375,3437448.0068359375,3062052.8403320312,2565661.3549804688,3153356.01953125,3068166.078125,2805499.6357421875,638254.4590263367,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",AC,1205774.0397949219,1334843.5915527344,1574963.1228027344,1305729.0169677734,1266553.0290527344,1218282.7453613281,1292452.126586914,1247825.5977783203,1364969.7358398438,292378.04011917114,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
C12:0,FFA,467081.8546142578,767002.9313354492,637220.1625366211,619134.9823608398,433260.6104736328,764340.4943847656,505396.1551513672,480588.01330566406,362474.8061828613,192937.8125,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
C12:1,FFA,429770.22955322266,605230.8247070312,511127.43408203125,513446.6744995117,369004.205078125,602155.9632568359,424920.8080444336,372567.2653198242,329751.7640991211,177952.53317260742,Sex: F | Genotype: cKO,Sex: F | Genotype: WT,Sex: F__Genotype: cKO vs Sex: F__Genotype: WT,4,5,Blank-1x
