lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M1-WT-cerebellum10x_01202023,DOD99-M2-WT-cerebellum10x_01202023,M5FAD173-WT-Cerebellum10x_01192023,DOD100-M1-WT-cortex10x_01202023,DOD99-M2-WT-cortex10x_01202023,M5FAD173-WT-Cortex10x_01192023,10xBlank_01202023
(9Z)-3-hydroxyoctadecenoylcarnitine,-0.08942441425926627,14.55607718436989,0.019771051405672868,0.8881783869425357,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CAR,14309309.020996094,14130034.278320312,13802748.841796877,11026079.612304688,19093728.143554688,15453683.57763672,2395006.220703125
1-O-behenoyl-Cer(d18:1/16:0),-0.03377063199338978,6.021243130767747,0.002819790561662927,0.957650876820879,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,Cer,36516.56300354004,35957.262645721436,34225.282024383545,33323.14264297485,36546.822441101074,39283.802684783936,22294.401321411133
1-O-carboceroyl-Cer(d18:1/16:0),-0.31034823678984397,7.440289136981964,0.2377035760396211,0.6258696551893895,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,Cer,92730.02653503418,82360.3857345581,87016.90506744385,119585.8681526184,86770.38639831543,115558.20627593994,49086.90395736694
1-O-carboceroyl-Cer(d18:1/18:0),-0.056436501258788324,5.569279070626935,0.007874420509551783,0.9292901863518263,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,Cer,23910.721534729004,21830.84148788452,21737.881813049316,24480.881874084473,23461.22156906128,21810.941791534424,32565.38228225708
1-O-cerotoyl-Cer(d18:1/16:0),0.02406513457462323,7.554718356791161,0.0014320034424599726,0.9698137996277909,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,Cer,97478.24760437012,85335.76477050781,105676.1282157898,100954.5672607422,83571.66579055786,98255.28512954712,104272.36771011353
1-O-cerotoyl-Cer(d18:1/18:0),0.05386299736661383,9.3525029962573,0.007173618345404975,0.9325021095737047,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,Cer,305559.53926086426,284533.3180465698,315078.30672073364,304801.284576416,276514.42039108276,285917.71657562256,544596.580368042
1-O-eicosanoyl-Cer(d18:1/16:0),0.5857182385534047,6.44910973505679,0.8425108900478337,0.3586796410772207,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,Cer,50221.263679504395,97699.06726837158,35528.922370910645,38517.28271102905,40629.2631149292,37163.8623008728,28402.641986846924
1-O-lignoceroyl-Cer(d18:1/16:0),-0.3059148116469181,7.177564649748025,0.2309722973412533,0.6308038200294092,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,Cer,77242.60544967651,81890.94709014893,73431.82516098022,104923.82834243774,79647.96742630005,97751.66666412354,19274.341342926025
1-O-myristoyl-Cer(d18:1/16:0),0.12032559026497558,6.636994400475083,0.03578911905606219,0.8499516456660976,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,Cer,55769.94352340698,59503.92415237427,51984.18327713013,55029.08363342285,50479.26407623291,45911.8233833313,43334.30277252197
1-O-palmitoyl-Cer(d18:1/16:0),0.18626338851788862,6.503062221777869,0.08572566692077999,0.7696830863581741,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,Cer,42922.682651519775,68184.54487991333,40714.48252868652,41975.34289932251,43672.76354598999,43771.94339752197,50665.82361602783
1-O-stearoyl-Cer(d18:1/16:0),0.7358466249376996,6.772216179681493,1.324605063286526,0.24976725512777354,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,Cer,61475.42427444458,137949.04893875122,43658.14338684082,44340.323066711426,49289.16366195679,44351.12351226807,32940.40257644653
1-O-tricosanoyl-Cer(d18:1/16:0),-0.09398930558101151,6.335732273989655,0.021839207342679856,0.8825156488602459,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,Cer,43802.02247619629,44314.10312652588,45363.443408966064,45042.482692718506,47179.88382720947,49861.92351913452,21537.66153717041
1-O-tricosanoyl-Cer(d18:1/18:0),-0.13565796028299815,4.4924900894678075,0.04547733604246673,0.8311287274309718,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,Cer,11110.9609375,11287.780799865724,10400.820728302002,13229.820877075195,10774.420791625977,11459.260730743408,12759.900817871094
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",-0.0015481900685959443,12.850040008933195,5.9270505144704e-6,0.9980575093064467,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CAR,4113421.935546875,4024964.0034179688,4172629.288574219,3537992.9995117188,4869216.183105469,3993657.2543945312,2428656.8916015625
12:0 Cholesteryl ester,0.0024408824186908876,8.177463957312577,1.4732286217622459e-5,0.996937514303527,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,194297.81564331055,206243.57360839844,53790.523944854736,184184.01274108887,194290.03338623047,57300.26417160034,158999.98956298828
12:0 Cholesteryl ester_2,-0.07333883778963758,8.178887026002146,0.013298387122631539,0.9081925698706144,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,190207.0535888672,198169.45237731937,51690.70365142822,194223.2352294922,194121.27363967896,55628.72424697876,163044.15301513672
14:0 Cholesteryl ester,-0.14786434523492173,7.6380292122464555,0.05403941438999027,0.8161778070938744,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,151012.9727783203,95271.94723510742,54412.36402511597,174361.71353149414,103502.50770568848,44501.422870635986,85346.74568939209
14:1 Cholesteryl ester,-0.120913803994888,7.633557532244882,0.036140838645223994,0.8492249403250393,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,146649.31089782715,99486.52751159668,53858.74382400513,167934.35008239746,103306.90727233888,43761.02275466919,91728.62675476074
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,-0.157814869698373,8.816571380902715,0.06155458691864624,0.8040555123581458,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,273822.9802246094,280063.29833984375,99011.74743652344,292253.8006591797,309868.7003173828,101925.20712280272,268696.0985107422
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,-0.19264918021418326,8.811626058497255,0.09170495785110688,0.7620207421353079,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,266944.2990722656,270783.4014892578,96553.88653564452,288007.4022216797,308109.24353027344,105516.18823242188,281328.5203857422
15:0 Cholesteryl ester,-0.09001658451669514,8.668721075358459,0.02003341173985973,0.8874438087537208,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,241246.33728027344,253455.57739257812,105602.46716308594,253107.4787597656,264173.32067871094,101124.08694458008,248100.27880859375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,-0.12162852975069727,8.839040143206514,0.036569867021171376,0.8483434462989858,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,278759.4783935547,273873.7996826172,111482.82788085938,278878.5386352539,308956.20349121094,115424.5080871582,282264.8193359375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,-0.12521400166966276,8.843228393018261,0.03875703599260305,0.8439307830847003,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,272410.89880371094,280813.90087890625,110884.42791748048,286760.6004638672,295662.2412109375,118771.74865722656,287922.24072265625
15:1 Cholesteryl ester,-0.13487738607573482,8.740802397813328,0.044967715074221815,0.8320634049089966,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,260969.47998046875,254370.2586669922,106415.78732299805,279110.23876953125,272599.61767578125,109607.08767700195,255572.7781982422
16:0 Campesteryl ester | 17:0 Cholesteryl ester,-0.8225756846387271,8.350474084166358,1.6509509888121556,0.1988295458490478,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,163176.71159362793,187992.35208892825,46379.60326766968,181109.19328308103,438289.16777038574,77134.06510925293,121273.30940246582
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,-0.8033212021443177,8.38782673129768,1.5755261436261216,0.2094062951375431,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,160255.63095092773,202342.01542663577,50241.78372955322,187184.91275024417,443183.8342895508,79354.32606506348,125768.08905029295
16:2 Campesteryl ester,-0.7531666989521079,8.299105825707747,1.3870432009275637,0.23890506748354656,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,157160.73239135742,191045.8516845703,48198.26329803467,167781.59133911133,418315.46867370605,74919.82628250122,117353.56846618652
"16:2 Cholesteryl ester, zymosteryl palmitoleate",-0.16403482933949476,8.815077536571122,0.06649963717063656,0.7965031976949645,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,269839.3192138672,260879.01892089844,113157.4481201172,292551.71875,297439.0616455078,110140.7073059082,274790.7999267578
16:3 Campesteryl ester,-0.8124850737407228,8.29964780555757,1.6112106726086495,0.2043217023290788,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,154318.75048446655,185146.27444458008,47734.20327758789,170507.59172058103,427672.8699798584,75315.50601577759,114802.70822143556
16:3 Cholesteryl ester,-0.11879822396462907,8.750897944741768,0.03488814443335286,0.8518302404268708,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,254891.2978515625,267854.7390136719,103272.96737670898,270792.63830566406,275931.4796142578,110097.02749633788,268572.4782714844
16:3 Stigmasteryl ester,-0.7066976713700707,8.700676505333162,1.2227937628358632,0.2688130709799511,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,209177.1556091309,238084.13414001465,74735.34531402588,238233.19439697263,491452.9175415039,112134.6275253296,174687.61349487305
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",-0.6046225245009496,8.925673347492975,0.8974236799858772,0.343473457780101,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,263683.299118042,306007.86514282227,72935.00525665283,269417.33947753906,589933.1188049316,103941.22734069824,197711.39486694336
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",-0.6216685773123489,8.917414776824806,0.9483483340104604,0.33014007128199013,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,264936.3984527588,297442.67919921875,70505.20509338379,275774.5595397949,578218.7215881348,105990.80756378174,197452.61389160156
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",-0.6328731872247548,8.911421991604621,0.9825694719411331,0.32156526719223016,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,262366.89752197266,291198.4189758301,70637.344970703125,272276.99826049805,578229.0800170898,104960.36757659912,201944.25617980957
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",-0.6121731651793244,8.941246132750678,0.919811646935841,0.33752443248823677,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,270283.1389465332,304620.8027038574,71781.18487167358,282595.2204284668,584872.5077514648,106163.54775619508,199674.9553833008
17:1 Cholesteryl ester; 16:1 Campesteryl ester,-0.7750761995434593,8.34816393786614,1.4679558996181186,0.22566848380349405,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,159780.23112487793,195049.07516479492,50700.763595581055,172803.25178527832,436325.72637939453,77847.66497421265,122837.10720825195
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,-0.8205753189216088,8.269800074030496,1.6430343557694878,0.1999096503448386,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,141740.25134277344,189485.9930114746,45853.58361053467,165014.77180480957,415234.27352905273,75341.58574676514,119584.48794555664
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",-0.2254912597745546,8.517810127868751,0.1256022194356774,0.723036111686161,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,219805.51568603516,230061.63494873047,61646.12407684326,238098.99700927737,265711.5782318115,72586.16502380371,232670.8377380371
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",-0.253693014593234,8.511927834600064,0.1589416035094473,0.6901328316177883,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,218252.77764892575,222260.49298095703,57490.724044799805,234472.71701049805,270909.55950927734,68150.66487884521,241449.8783721924
18:1 Campesteryl ester,-0.20011567800730642,8.483940681385198,0.09894495254411595,0.7530994244915391,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,224761.61779785156,221406.51528930664,57654.62384033203,233450.53912353516,261731.28118896484,63951.22497558594,225617.7167816162
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",-0.5697866072693205,8.984767724642285,0.7976343807667945,0.37180159323916195,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,280304.0225830078,318279.0209350586,71046.00440979004,289138.4790649414,585151.3779449463,102739.50680541992,224405.7758178711
18:3 Campesteryl ester,-0.21012624572326452,8.360890861208773,0.10908267439845076,0.7411909244110677,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,204601.67504882812,201746.27587890625,59464.94415283203,213127.35446166992,242607.49642944336,66174.2045288086,197820.75631713867
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",-0.5548377615572339,9.06796909626815,0.7565816189016914,0.3844004179294356,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,303762.46228027344,323355.76055908203,75469.04551696777,315847.1044616699,595870.3013763428,103495.5284690857,254542.46154785156
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",-0.1715388460909768,9.25845790898088,0.07271968878922053,0.7874173093845277,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,394841.6081542969,361790.4643554687,141033.05004882812,419422.98986816406,415310.3869628906,146106.55047607422,328716.4434814453
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",-0.2352819608091094,9.267218234531397,0.13673487355117686,0.7115488111642746,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,389983.6870117187,350235.70349121094,141314.990234375,427756.94885253906,430666.9284667969,150386.73071289062,329537.4803466797
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",0.03105556357711303,11.364924113314979,0.002384824547334574,0.96105105610528,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CAR,1239495.3037109375,1246068.608642578,1313484.6853027344,1218044.2957763672,1240025.518798828,1244585.4881591797,1930786.4631347656
20:0 Campesteryl ester,-0.6863321690406465,9.952580064694537,1.1539839813412982,0.28271671313099933,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,585695.0806884766,473914.73474121094,214888.3358154297,944354.227294922,799106.8182373047,242206.25750732425,317584.8635253906
20:1 Campesteryl ester,-0.6459324900274189,9.92136581330298,1.0232087536642211,0.31175909107863925,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,591302.220703125,470726.4147949219,206285.61291503903,922340.90771484375,768436.0723876953,229859.89709472656,310572.0031738281
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",-0.16155295678330303,9.280501942225762,0.06450387598488305,0.7995139970019995,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,399111.8679199219,371012.6671142578,143911.17016601562,420065.7504882813,422728.80859375,149125.32971191406,336350.2844238281
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",-0.15199934647285454,9.274831087070986,0.057103856578578416,0.8111333952678086,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,397876.28942871094,374258.9852294922,143833.49053955078,420005.08837890625,413933.3474121094,152263.0704345703,332064.9237060547
20:3 Campesteryl ester,-0.17794561026045502,10.082719130131197,0.0782499603228648,0.7796831687751853,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,718330.4713134766,585737.4237060547,297018.6400756836,831691.5396728516,630418.0675048828,291385.0417480469,532591.3153076172
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",-0.16960867528638204,9.043737915671556,0.07109322004544083,0.7897516533557936,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,331318.5635986328,305953.5029296875,136850.70935058594,340624.28259277344,362469.4854736328,146808.49047851562,281844.6805419922
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",-0.1391709377409066,9.23628398695778,0.04787525595202169,0.8268026141608955,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,353973.44651794434,347179.2874908447,132554.4094543457,348037.0646057129,402231.26961517334,144343.5308227539,433173.92571258545
20:5 Cholesteryl ester,-0.09795115509212636,10.264219495427346,0.023720317563856952,0.8775986831488679,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,744792.4973754883,726792.67041015625,239452.2180480957,719790.7917480469,810821.262512207,246523.35818481445,911030.2897338868
22:0 Campesteryl ester,-0.5439771976359747,8.954197668158065,0.7274238159334345,0.3937195066454864,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,328048.70728302,321248.46086883545,65602.16407394409,526033.4529647827,384554.50311279297,71315.94483184814,105651.5481300354
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",-1.2261474938744121,9.050165848384665,3.6108615620614737,0.05740337407921474,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,273860.9999847412,198562.29412078857,90103.56624221802,636603.4621429443,524705.1521759033,114199.28704071043,79871.64535522461
22:0 Sitosteryl ester,-0.46366614166894377,9.191439516625197,0.5293380908115068,0.4668852728221677,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,361571.613319397,384457.0058746338,74688.44552993774,561003.0242385864,421927.34729003906,79683.76554870605,228572.99380493164
22:1 Campesteryl ester,-0.6736563085761068,8.84488216726455,1.1121207135001896,0.29162141670037317,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,276676.6441421509,289324.78229522705,61668.54472351074,479712.1131286621,395492.0505371094,70321.82493591309,102455.64757919312
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",-1.2056696664544313,9.032229020080264,3.4945281042328133,0.061571953811036764,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,276648.3995361328,193528.11378479004,89969.3465385437,631755.8412628174,508749.61309814453,112743.7882270813,78654.8657836914
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",-0.49945693271126934,9.17794538059886,0.6137928248863318,0.43336330806853796,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,368723.5038909912,365224.468170166,74251.82576751709,568701.699710846,423679.4720993042,84803.34576416016,206498.9136428833
22:2 Campesteryl ester,-1.395347355767722,8.242934112714297,4.6376881540345485,0.03127710924407288,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,107182.94714355467,130781.98825073242,53468.66411590576,289210.3822784424,381027.0474014282,70477.46474456787,80835.36569976807
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",-0.5399036431300217,9.095170146007987,0.7166331199987326,0.3972505324202171,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,350452.42657470703,345563.46530914307,71689.82487487793,558193.1280670166,415441.63109588623,78620.56488800049,160474.38968276978
22:3 Campesteryl ester,-1.626482765926108,8.39117288098759,6.22186247124773,0.012618230798032483,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,119099.86869812012,140469.92993164062,32036.042041778564,353298.22665405273,449166.67167663574,60358.8840713501,78485.72638702393
22:3 Stigmasteryl ester,-0.5079872798691207,8.975558123294297,0.6348294905164948,0.42558933909229246,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,327154.7291030884,340397.6675796509,71032.12460327148,511923.66984558105,404606.42864990234,73503.32471084595,107463.74801254272
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",-0.6823819130651825,10.062018372911039,1.1408598791022087,0.285470704052729,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,635157.966796875,495490.35778808594,231045.13665771484,1016566.2236328124,848434.1008300781,253103.3198852539,370215.2233886719
22:5 Cholesteryl ester,-0.7031878578812699,9.992393542483176,1.210805702226935,0.2711726133178071,0.9999970637257838,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ cortex,CE,602304.2216796875,474177.8748779297,214552.43481445312,964189.7916259766,834771.65625,240096.01763916016,343852.4637451172
