lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M2-5xFAD-cortex10x_01202023,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-cerebellum10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-cerebellum10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Cerebellum10x_01182023,M1FAD173-5xFAD-Cortex10x_01182023,M1FAD173-5xFAD-Diencephalon10x_01182023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Cerebellum10x_01192023,M2FAD173-5xFAD-Cortex10x_01192023,M2FAD173-5xFAD-Diencephalon10x_01192023,M2FAD173-5xFAD-Hippo10x_01192023,DOD100-M1-WT-cerebellum10x_01202023,DOD100-M1-WT-cortex10x_01202023,DOD100-M1-WT-diencephalon10x_01202023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-cerebellum10x_01202023,DOD99-M2-WT-cortex10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Cerebellum10x_01192023,M5FAD173-WT-Cortex10x_01192023,M5FAD173-WT-Diencephalon10x_01192023,M5FAD173-WT-Hippo10x_01192023,10xBlank_01202023
PE (18:4),0.8786032498381935,8.939187872235467,10.199697989866763,0.0014046365575542273,0.19115826605987984,19,12,Genotype_ 5xFAD,Genotype_ WT,PE,80714.68505859375,106586.30676269533,90255.46691894533,88363.60675048828,65658.66418457031,74922.22467041016,80230.005859375,53452.60394287109,56710.06466674805,232366.83721923828,30112.48207092285,61294.06396484375,53976.02392578125,41379.38258361816,42175.1432800293,5058780.06439209,289116.10205078125,163642.49169921875,57911.06384277344,74175.2445678711,82343.326416015625,75838.524658203125,69796.78509521484,1346482.1478881836,201368.0524902344,128224.16918945312,70810.50482177734,78917.62585449219,90063.30700683594,94541.1865234375,90006.40637207031,71615.00396728516
Lyso_PS(20:2) | PS (20:2)_2,-0.7612270188682764,8.2353378664897825,8.356433089558323,0.0038432423839391172,0.4794444873964049,19,12,Genotype_ 5xFAD,Genotype_ WT,PS,36238.223011016846,33538.96241760254,46689.10316467285,72959.36642456055,56705.384017944336,179667.1521911621,59690.78469467163,62294.88401412964,50328.404483795166,37053.30271530152,26182.561798095703,108560.86581420898,221433.0333251953,112781.94929504396,136363.07112121582,188595.15321350095,343622.186126709,648257.723526001,185034.85359191892,31775.56214904785,73165.14535522461,162181.99141311646,48791.58422470093,66992.96417236328,89653.12752914429,1324859.714050293,78494.06533813477,164607.43182373047,270398.1398925781,366582.3260498047,180147.79452514648,80939.62471008301
Lyso_PS(20:2) | PS (20:2),-0.7433400402775044,8.224371999399418,7.965069772128118,0.004768865282781102,0.5491531791017931,19,12,Genotype_ 5xFAD,Genotype_ WT,PS,35956.58232498169,35755.76300048828,42399.16296386719,71110.86404418945,62626.42433929443,180643.97396850583,53112.50434112549,49289.90411758423,50276.98205566406,38200.62283706665,31440.92218017578,102011.44709777832,222367.57165527344,115447.36895751952,137524.0294342041,190468.65353393555,341049.82904052734,654891.6980895996,184743.6107788086,32369.82244873047,71950.42471313477,53945.304470062256,70398.02376556396,81246.446533203125,92326.08652114868,1309739.403869629,83133.02516174316,172152.21444702148,272683.3405761719,406250.045715332,181936.49060058597,78611.82608032227
20:0 Campesteryl ester,0.751726946242859,10.355453391553736,7.541539450783603,0.006029250669711444,0.5714219085816763,19,12,Genotype_ 5xFAD,Genotype_ WT,CE,679605.6884765625,1051954.5400390625,4539166.369384766,726330.0109863281,570926.6004638672,2738800.2377929688,579660.4241943359,540973.541015625,802405.31298828125,1488004.1958007812,684587.46630859375,174167.41290283203,404391.10778808594,631150.6455078125,186229.012878418,173933.0126953125,333963.88360595703,367630.4270629883,183809.9330444336,585695.0806884766,944354.227294922,792573.4987792969,469695.3544921875,473914.7347412109,799106.8182373047,704186.2043457031,501893.65234375,214888.3358154297,242206.25750732425,251567.6792602539,197502.67498779297,317584.8635253906
20:1 Campesteryl ester,0.734498983687733,10.316885942880358,7.20934000798934,0.007252515873782131,0.5714219085816763,19,12,Genotype_ 5xFAD,Genotype_ WT,CE,676347.58544921875,1035268.6345214844,4235422.83215332,711627.2513427734,688799.9445800781,2598765.4096679688,574620.6032714844,533536.2581787109,770815.9124755859,1407519.564819336,681386.88427734375,168958.17156982422,390393.90771484375,627173.1862182617,190459.41339111328,165176.45068359375,324425.34533691406,362508.36560058594,188184.5531616211,591302.220703125,922340.90771484375,774650.533203125,461297.6511230469,470726.4147949219,768436.0723876953,688702.3489990234,503761.7349853516,206285.61291503903,229859.89709472656,246157.97802734372,199627.7740478516,310572.0031738281
22:5 Cholesteryl ester,0.734541810780639,10.379547366549707,7.210158915426291,0.007249207553138715,0.5714219085816763,19,12,Genotype_ 5xFAD,Genotype_ WT,CE,681358.92822265625,1072980.8911132812,4551026.404541016,732844.8115234375,574075.40087890625,2730467.060913086,586350.77685546875,548872.98046875,829280.7783203125,1502246.861694336,696990.0095214844,182482.6729736328,412156.6676635742,666926.9046630859,195039.9539489746,182210.3336181641,328844.22247314453,385240.2494506836,201413.274597168,602304.2216796875,964189.7916259766,781182.6794433594,490647.8161621094,474177.8748779297,834771.65625,727029.6968994141,528387.7165527344,214552.43481445312,240096.01763916016,266388.83935546875,207113.65533447263,343852.4637451172
22:6 Cholesteryl ester,0.7381720086564916,10.359785579715439,7.279581096034235,0.006974279819014159,0.5714219085816763,19,12,Genotype_ 5xFAD,Genotype_ WT,CE,689877.57080078125,1064576.5604248047,4458070.431640625,724647.8146972656,583864.720703125,2715212.2209472656,589545.1394042969,548383.4206542969,808378.1989746094,1491101.0864257812,698972.4873046875,173364.03149414062,398871.7492675781,645550.1623535156,192804.07348632807,170276.5321044922,318702.20233154297,377736.9682617188,194199.51263427731,590267.56396484375,964544.3095703124,792286.6184082031,477660.0895996094,471349.9522705078,816056.55078125,704965.5673828125,511284.4758300781,207493.234375,238869.7992553711,258944.73635864255,203145.3345336914,318345.9444580078
Cer(d18:2/14:0),-0.7092235655567247,10.381001743717613,7.244906633117353,0.007110241154779072,0.5714219085816763,19,12,Genotype_ 5xFAD,Genotype_ WT,Cer,3884935.4225616455,184679.39221954343,191693.1530609131,269953.9761657715,161394.81140899658,273356.99394226074,341031.68334198,1033011.22555542,320432.4026184082,212708.6515045166,631264.4131202698,216766.83670806885,169115.53117370603,288417.4379119873,223841.4004974365,195495.1930770874,1229022.122581482,270776.73208618164,217743.45613861084,2201829.37607956,3416852.9455070496,174427.89269256592,224569.1407394409,159849.03102111816,269664.724155426,152164.46856689453,734661.9940185547,1778216.844497681,694974.3241043091,190887.815322876,1252961.2428741455,40619.60283660889
Cholesteryl nitrolinoleate,0.7527508409407132,10.343133328061976,7.561501635470449,0.005962828745140812,0.5714219085816763,19,12,Genotype_ 5xFAD,Genotype_ WT,CE,676317.4758300781,1035345.849609375,4343857.308349609,706709.7972412109,688197.0075683594,2643083.231811523,587135.15966796875,549666.6363525391,787725.51953125,1497477.1091308594,709355.73291015625,168850.0728149414,392853.3888854981,648281.0699462891,189059.81372070312,164718.53118896484,329565.4995727539,371760.6458129883,186714.4732666016,594039.0979003906,916999.603881836,763013.3603515625,484774.7937011719,471232.4727783203,793275.0352783203,696839.2486572266,499352.9739990234,207450.61462402344,235085.15655517575,257479.65899658203,200191.75354003903,321258.66369628906
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",0.7080887102671095,10.423544358794391,6.713676772946201,0.009567625569953659,0.7161367739110313,19,12,Genotype_ 5xFAD,Genotype_ WT,CE,717614.01171875,1093322.7568359375,4550953.7470703125,761836.2901611328,602161.724609375,2741932.9650878906,625923.0830078125,566763.3215332031,861990.7429199219,1526239.79296875,729867.6760253906,203169.11529541016,423409.3279418945,680709.7716064453,213621.0160522461,193636.29321289065,346047.02673339844,397991.8699951172,221255.75579833984,635157.966796875,1016566.2236328124,825638.33642578125,505492.7348632813,495490.35778808594,848434.1008300781,752051.27490234375,542394.1608886719,231045.13665771484,253103.3198852539,282835.4387817383,215199.37567138672,370215.2233886719
Lyso_PG(20:2) | PG (20:2)_2,-0.6545260754060075,8.82638339055735,6.161765901264744,0.013054082073233683,0.9305695649348011,19,12,Genotype_ 5xFAD,Genotype_ WT,PG,239636.17864990237,659222.90087890625,235590.97631835935,81918.46466064453,185327.2699584961,184173.3126220703,271632.52432250977,178072.7731628418,207679.8167724609,196787.53359985352,20788.201583862305,105171.92741394044,204273.7769165039,119170.2678527832,135710.6885986328,155551.30838012695,261288.9019126892,501887.3933105469,141949.5510559082,227378.0750732422,410978.7850952149,394050.2710266113,203089.376159668,269779.5201416016,277433.16342163086,1116083.1503601074,271758.5769958496,136886.58926391602,229102.47442626956,338614.0032043457,161408.87243652344,79736.98617553711
C16:0,-0.6420337203153609,13.4608889674416,5.926882970348231,0.014911595202891313,0.9395364642273143,19,12,Genotype_ 5xFAD,Genotype_ WT,FA,476165.0105895996,619029.5606384277,660947.4272155762,624800.8621520996,282093.0023803711,333656.00215148926,669805.5308074951,699194.2758483887,687835.7874755859,657447.0054016113,654285.5855407715,1572147.9837036133,1406338.4676513672,1526596.5797729492,1482021.9129638672,24236272.677246097,21696978.556396484,20384292.18188477,23766001.09558105,492442.299697876,520237.87005615234,529921.47509765625,575914.718963623,722177.9931945801,682099.9892883301,620287.5859985352,671411.6846313477,24710067.015625,23354211.7565918,24158374.688964844,23273896.87438965,774104.8880310059
C24:1,0.6632865507828478,4.636399103161758,5.909118322935516,0.015062708845327684,0.9395364642273143,19,12,Genotype_ 5xFAD,Genotype_ WT,FA,10371.480716705322,12050.7808303833,11746.800834655762,11679.200820922852,9577.94065475464,11010.84075164795,11487.940799713137,11683.420806884766,10972.920818328856,12209.96086883545,10398.340724945068,40447.20280456543,44909.34334564209,35551.122413635254,39565.38287353516,7623.360511779785,7631.160537719727,7644.420555114746,7632.48051071167,9778.740676879885,11565.220832824709,11309.860774993896,11738.680828094482,11193.28080368042,11653.540878295898,12344.300842285156,11354.360801696776,7639.500553131103,7644.080593109131,7645.220573425293,7633.980541229248,12003.96082687378
Lyso_PG(20:2) | PG (20:2),-0.6455526862446728,8.841117619274753,5.992519570156219,0.014366667504173081,0.9395364642273143,19,12,Genotype_ 5xFAD,Genotype_ WT,PG,240705.9771118164,679506.0567626953,251033.76165771484,90622.92725372314,183546.7528381348,187083.8726196289,285411.64248657227,176597.39389038086,202158.79595947263,198479.8549194336,20144.241317749023,101175.9282836914,200675.33438110352,120691.60653686523,126349.82759094238,158364.3914527893,269932.67991256714,514399.9313392639,135591.2717819214,234534.21588134769,409278.7787475586,386361.72970581055,208107.29663085935,278466.1998901367,288855.0391845703,1110743.507446289,283014.3035888672,144314.99029541016,231983.4186706543,335348.6989135742,157858.75057983398,75848.12626647949
"(11Z,14Z)-eicosadienoylcarnitine",0.02101622446455078,11.368864003848154,0.006183051173138665,0.9373250318105203,0.9998892208220957,19,12,Genotype_ 5xFAD,Genotype_ WT,CAR,1262933.6362304688,1429124.1762695312,1490627.2612304688,1322329.38671875,1288290.3208007812,1620460.4702148438,1437470.2348632812,1349906.3383789062,1350856.4809570312,1434255.701171875,1481437.8369140625,1447970.6625976562,1431788.9677734375,1426995.7827148438,1510009.1274414062,1569963.0502929688,1357653.3920898438,1442118.8286132812,1611557.333984375,1408351.625,1464825.83203125,1332756.2084960938,1450859.4833984375,1448199.4814453125,1445031.9301757812,1313436.7885742188,1382104.2397460938,1567602.6728515625,1422254.4301757812,1536662.2856445312,1351883.9409179688,1833013.6752929688
(11Z)-eicoseneoylcarnitine,0.03312366862842406,11.385647682840144,0.015349376033555018,0.9014003131135866,0.9998892208220957,19,12,Genotype_ 5xFAD,Genotype_ WT,CAR,1256930.4736328125,1461574.3852539062,1498962.5366210938,1324620.29296875,1313193.267578125,1640511.7080078125,1469218.4106445312,1370506.4516601562,1395572.740234375,1468215.3647460938,1479341.6264648438,1476902.5249023438,1457662.7182617188,1455302.6083984375,1496397.3359375,1624465.5419921875,1408961.5532226562,1517652.2963867188,1650848.89453125,1410061.365234375,1450974.412109375,1300758.2841796875,1456478.2348632812,1453789.9145507812,1446175.0439453125,1356376.1943359375,1413134.9760742188,1548320.9340820312,1469500.5795898438,1553075.8388671875,1427365.9682617188,1770335.1005859375
"(13Z,16Z)-docosadienoylcarnitine",-0.017754773243862272,11.380728634861523,0.004421843057798469,0.9469821936754698,0.9998892208220957,19,12,Genotype_ 5xFAD,Genotype_ WT,CAR,1200177.8431396484,1420361.1004638672,1468592.0839233398,1265010.6803588867,1229167.669921875,1801727.1483154297,1427897.3614501953,1293432.1517333984,1281745.7750854492,1494908.485961914,1472655.911315918,1486547.2768554688,1508125.2795410156,1415503.9500732422,1561466.8793945312,1530059.8298339844,1349872.0334472656,1514023.7989501953,1541192.444946289,1334500.4373779297,1547859.026428223,1284612.1057128906,1468483.6235961914,1392547.188293457,1384342.3704833984,1277668.0494384766,1328693.3626708984,2235124.575866699,1401085.4095458984,1509455.984741211,1344775.7668457031,1846519.2565917969
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",0.03254795981210119,12.044191798199037,0.014820922191233876,0.9031039751638124,0.9998892208220957,19,12,Genotype_ 5xFAD,Genotype_ WT,CAR,1939767.9885253904,2184246.087890625,2392796.6845703125,2194784.690185547,2430496.0634765625,2414485.858154297,2492220.4825439453,2140645.078491211,2205746.576171875,2782494.2834472656,2412503.1643066406,2665311.731689453,2470854.001464844,2515677.2600097656,2579735.21484375,2279392.241455078,2018780.2897949216,2177589.061767578,2093678.0153808596,2215148.1447753906,2341072.076904297,3004035.1204833984,2338786.489624023,2234323.5102539062,2281951.5776367188,2011026.9294433596,2207064.514526367,2256080.6622314453,2132253.7890625,2188599.0122070312,2303434.271972656,2077579.7651367188
"(5Z,8Z)-tetradecadienoylcarnitine",0.02695651570114885,16.486695936132335,0.010169135280875707,0.9196757819922624,0.9998892208220957,19,12,Genotype_ 5xFAD,Genotype_ WT,CAR,154140949.5595703,29948597.337890625,24583201.19921875,30582186.538085938,92351915.6875,20847168.3828125,28337082.12988281,63344919.2109375,26648913.84375,28155528.892578125,139608184.45239258,16220704.654785156,16632944.549316406,22671427.51611328,26376597.729492188,24353723.305664062,65346110.588378906,34723637.06933594,25367756.57104492,97017264.0888672,75825428.853515625,15439015.444335938,26782130.58300781,62660995.83984375,29749622.64453125,37982357.49316406,71101793.19970703,69671289.73339844,40969587.21484375,18655737.47460937,66282272.07910156,1785924.2541503906
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",0.022969879603104006,11.181128223924128,0.007385258272734063,0.931516080879759,0.9998892208220957,19,12,Genotype_ 5xFAD,Genotype_ WT,CAR,1049124.5791015625,1260946.1431884766,1291661.7513427734,1110796.737915039,1070540.3215332031,1585961.4837646484,1253343.1610107422,1140392.4146728516,1137990.1825561523,1354965.4031982422,1276397.7185058594,1251955.5372314453,1271184.7647705078,1177180.6912841797,1314163.553955078,1374031.0412597656,1143505.6591796875,1447871.6550292969,1433375.403076172,1186263.4771728516,1355693.1580810547,1148186.4895019531,1245549.2482910156,1201712.4168701172,1244091.2459716797,1091271.1774902344,1155280.1492919922,1592147.222290039,1216621.2817382812,1370722.953857422,1153606.4608154297,1684194.2908935547
"(7Z,10Z)-hexadecadienoylcarnitine",-0.00611591007397061,11.705729699211474,5.243633349891752e-4,0.981730853155413,0.9998892208220957,19,12,Genotype_ 5xFAD,Genotype_ WT,CAR,1559599.7697753906,1770713.409423828,1929676.493652344,1606353.2426757812,1588900.268798828,1850445.7600097656,1873921.4216308596,1693150.3903808594,1717515.307861328,1793115.135986328,1902876.1496582031,1906106.0573730469,1811327.671875,1852051.1657714844,2005393.249267578,1901348.182861328,1667394.3842773438,1707312.4143066406,1818268.425048828,1807297.3984375,1808904.2744140625,1685194.9013671875,1825433.856201172,1819888.0288085935,1820135.4990234373,1660596.78125,1740083.2781982422,2113105.662841797,1873401.7072753904,1881966.8132324216,1721781.189453125,2578376.07409668
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",0.1789040811981134,14.829622378900728,0.44412988030362044,0.5051358439619654,0.9998892208220957,19,12,Genotype_ 5xFAD,Genotype_ WT,CAR,10354077.518066406,16470506.173828123,15425044.841796877,22132601.1640625,18743120.12353516,17616816.35986328,12139073.696289062,17230450.004882812,19040901.25390625,15560660.842773438,18102972.64501953,14976742.081542969,19527801.96728516,23578611.47607422,15758916.81298828,12457421.822753906,19669121.095703125,23004359.768066406,14440797.770507812,13681185.669433594,10508922.293945312,24808766.91748047,16027996.416015623,13360938.161621094,17918375.471679688,19723779.49658203,16234431.17919922,13065989.963378906,14634731.657226562,7436995.044921875,16859631.28076172,2155070.9477539062
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",0.17392151038580608,13.56355392069851,0.4198581367953347,0.5170078397274807,0.9998892208220957,19,12,Genotype_ 5xFAD,Genotype_ WT,CAR,4548090.254638672,6556788.756103516,6473824.611083984,8245887.214111328,7191994.978515625,7022553.862060547,5412256.6162109375,7154281.061279297,7579394.700439453,6461878.519042969,7534727.410644531,6230783.154052734,7847061.452392578,9142425.646728516,6695696.98828125,5983506.459472656,7985043.280273437,9132833.381347656,6682941.868164063,5710127.011474609,4689957.828857422,8561014.840332031,6432831.161865234,5824302.932617188,7210002.552490234,7636011.399658203,6656555.244384766,5732824.095458984,6411734.287353516,4199385.319580078,6981670.763916016,2817110.0759277344
(9Z)-3-hydroxyoctadecenoylcarnitine,0.1843875938831165,14.9094085733782,0.4716210097675404,0.4922423720121305,0.9998892208220957,19,12,Genotype_ 5xFAD,Genotype_ WT,CAR,10822962.869628906,17311510.770996094,16167813.693847656,23314671.77001953,19673378.95703125,18424387.296875,12741658.96826172,18254947.068847656,20298427.10791016,16605329.997558594,19088064.09716797,15744826.903320312,20722991.56201172,25047980.522460938,16634745.890625,13176578.10888672,21033323.51171875,24543649.78955078,15611679.19482422,14309309.020996094,11026079.612304688,25626555.60546875,16846448.53515625,14130034.278320312,19093728.143554688,21029996.70898437,17096836.13671875,13802748.841796877,15453683.57763672,8047711.172851562,17868681.639160156,2395006.220703125
