,Lipid,Retention_Time,OzESI_Intensity,group_by_ion,group_by_lipid,Sample_ID,Transition,Sample,Parent_Ion,Product_Ion,Species,Class,STD,STD_RT_OFF,Peak_Height,FWHM,Peak_Width,Peak_Area,Filter_Column,Isomer
10,FA(18:2),7.563166666666667,1625683.0,36,26,FAME_off,447.4 -> 183.0,FAME,447.4,183.0,18:2,FA,FAME,8.169266666666667,1625683.0,0.09333786836292977,0.07870000000000044,127941.25210000071,group_by_lipid,1
11,FA(18:3),6.776616666666667,2320712.0,35,27,FAME_off,445.4 -> 183.0,FAME,445.4,183.0,18:3,FA,FAME,8.169266666666667,2320712.0,0.09778605052789617,0.07869999999999955,182640.03439999896,group_by_lipid,2
12,FA(18:3),6.593,1362001.0,35,27,FAME_off,445.4 -> 183.0,FAME,445.4,183.0,18:3,FA,FAME,8.169266666666667,1362001.0,0.07425642001907787,0.07870000000000044,107189.47870000059,group_by_lipid,1
13,FA(20:1),10.629233333333334,1023483.0,43,30,FAME_off,477.4 -> 183.0,FAME,477.4,183.0,20:1,FA,FAME,8.169266666666667,1023483.0,0.1441580129642283,0.1573999999999991,161096.22419999907,group_by_lipid,2
14,FA(20:1),9.317583333333333,24235.0,43,30,FAME_off,477.4 -> 183.0,FAME,477.4,183.0,20:1,FA,FAME,8.169266666666667,24235.0,0.10902556345685652,0.10493333333333332,2543.059333333333,group_by_lipid,1
15,FA(20:2),9.318033333333334,1269626.0,42,31,FAME_off,475.4 -> 183.0,FAME,475.4,183.0,20:2,FA,FAME,8.169266666666667,1269626.0,0.10774311994468458,0.10493333333333332,133226.08826666666,group_by_lipid,2
16,FA(20:2),8.268716666666666,49208.0,42,31,FAME_off,475.4 -> 183.0,FAME,475.4,183.0,20:2,FA,FAME,8.169266666666667,49208.0,0.124610010745006,0.1311666666666671,6454.449333333355,group_by_lipid,1
17,FA(20:3),8.269166666666667,2384459.0,41,32,FAME_off,473.4 -> 183.0,FAME,473.4,183.0,20:3,FA,FAME,8.169266666666667,2384459.0,0.13088641318983996,0.13116666666666532,312761.53883333015,group_by_lipid,2
18,FA(20:3),7.6133500000000005,42560.0,41,32,FAME_off,473.4 -> 183.0,FAME,473.4,183.0,20:3,FA,FAME,8.169266666666667,42560.0,0.09778306622422622,0.07868333333333322,3348.7626666666615,group_by_lipid,1
19,FA(20:4),7.6138,2003592.0,40,33,FAME_off,471.4 -> 183.0,FAME,471.4,183.0,20:4,FA,FAME,8.169266666666667,2003592.0,0.10036470146789069,0.07870000000000044,157682.69040000087,group_by_lipid,2
20,FA(20:4),6.6694,33394.0,40,33,FAME_off,471.4 -> 183.0,FAME,471.4,183.0,20:4,FA,FAME,8.169266666666667,33394.0,0.08936417870226414,0.07868333333333322,2627.5512333333295,group_by_lipid,1
21,FA(20:5),6.669866666666667,1621650.0,39,34,FAME_off,469.4 -> 183.0,FAME,469.4,183.0,20:5,FA,FAME,8.169266666666667,1621650.0,0.09000899871256826,0.07870000000000044,127623.85500000071,group_by_lipid,1
22,FA(20:5),7.61425,2052.0,39,34,FAME_off,469.4 -> 183.0,FAME,469.4,183.0,20:5,FA,FAME,8.169266666666667,2052.0,0.0766862181411353,0.07870000000000044,161.49240000000088,group_by_lipid,2
23,FA(22:1),12.541983333333334,274078.0,48,37,FAME_off,505.4 -> 183.0,FAME,505.4,183.0,22:1,FA,FAME,8.169266666666667,274078.0,0.2125111568446981,0.20986666666666842,57519.836266667146,group_by_lipid,2
24,FA(22:1),11.177850000000001,10160.0,48,37,FAME_off,505.4 -> 183.0,FAME,505.4,183.0,22:1,FA,FAME,8.169266666666667,10160.0,0.1390651494174174,0.1311666666666671,1332.6533333333377,group_by_lipid,1
25,FA(22:2),11.178316666666667,436034.0,47,38,FAME_off,503.4 -> 183.0,FAME,503.4,183.0,22:2,FA,FAME,8.169266666666667,436034.0,0.1589305754119939,0.15740000000000087,68631.75160000038,group_by_lipid,1
26,FA(22:2),12.385033333333334,1549.0,47,38,FAME_off,503.4 -> 183.0,FAME,503.4,183.0,22:2,FA,FAME,8.169266666666667,1549.0,0.06998996281730809,0.05246666666666755,81.27086666666804,group_by_lipid,2
27,FA(22:6),7.558583333333334,2139168.0,46,39,FAME_off,495.4 -> 183.0,FAME,495.4,183.0,22:6,FA,FAME,8.169266666666667,2139168.0,0.09145831917744586,0.07869999999999955,168352.52159999905,group_by_lipid,1
28,FA(22:6),8.87025,1472.0,46,39,FAME_off,495.4 -> 183.0,FAME,495.4,183.0,22:6,FA,FAME,8.169266666666667,1472.0,0.0945179310430483,0.07869999999999955,115.84639999999933,group_by_lipid,2
29,FA(24:1),14.534316666666667,55694.0,51,42,FAME_off,533.4 -> 183.0,FAME,533.4,183.0,24:1,FA,FAME,8.169266666666667,55694.0,0.28133244108296757,0.2623333333333342,14610.392666666714,group_by_lipid,1
30,FA(24:1),16.003383333333336,1622.0,51,42,FAME_off,533.4 -> 183.0,FAME,533.4,183.0,24:1,FA,FAME,8.169266666666667,1622.0,0.0765406322744558,0.07869999999999777,127.65139999999639,group_by_lipid,2
