Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Match_Group,Purity,FAC,TG,Group,Max_Intensity,Cluster_RT,Cluster_Ground_Truth_Dif,Area,Area_DDT,Area_DDT_Ratio,Mouse,SLBG_group
[TG(54:2)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-7,822.7,605.6,19.95,1345.0,67,Degummed,FA18:1,"TG(54:2), TG(55:9)",58,1345.0,19.950300000000002,0.05969999999999942,267.0,275.0,3.7,O3on_150gN3,29
[TG(54:2)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,794.6,605.6,19.92,5166.0,43,Degummed,FA18:1,"TG(54:2), TG(55:9)",61,5166.0,19.921433333333333,0.08856666666666868,993.0,1017.0,3.7,O3on_150gN3,29
[TG(54:3)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-7,820.7,603.6,17.9,10785.0,64,Degummed,FA18:1,"TG(54:3), TG(55:10)",46,10785.0,17.895983333333334,0.09401666666666486,1638.0,1552.0,4.82,O3on_150gN3,23
[TG(54:3)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,792.6,603.6,17.88,61998.0,37,Degummed,FA18:1,"TG(54:3), TG(55:10)",49,61998.0,17.883866666666666,0.1061333333333323,7614.0,7477.0,4.82,O3on_150gN3,23
[TG(54:4)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-7,818.7,601.6,15.96,3479.0,61,Degummed,FA18:1,"TG(54:4), TG(55:11)",52,3479.0,15.9558,0.14420000000000144,519.0,534.0,3.31,O3on_150gN3,26
[TG(54:4)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,790.6,601.6,15.98,14145.0,31,Degummed,FA18:1,"TG(54:4), TG(55:11)",55,14145.0,15.976766666666668,0.1232333333333333,1780.0,1765.0,3.31,O3on_150gN3,26
[TG(54:5)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-7,816.7,599.6,14.21,1061.0,58,Degummed,FA18:1,TG(54:5),28,1061.0,14.211316666666667,0.08868333333333389,259.0,219.0,3.25,O3on_150gN3,14
[TG(54:5)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,788.6,599.6,14.2,4061.0,28,Degummed,FA18:1,TG(54:5),31,4061.0,14.199683333333335,0.10031666666666617,781.0,711.0,3.25,O3on_150gN3,14
[TG(52:2)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-7,794.7,577.6,18.06,2689.0,47,RBD,FA18:1,"TG(52:2), TG(53:9)",23,2689.0,18.061833333333333,0.02183333333333337,609.0,537.0,3.24,O3on_150gN3,12
[TG(52:2)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,766.7,577.6,18.07,12642.0,11,RBD,FA18:1,"TG(52:2), TG(53:9)",26,12642.0,18.067416666666666,0.02741666666666731,1892.0,1741.0,3.24,O3on_150gN3,12
[TG(52:3)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-7,792.7,575.6,16.07,1009.0,41,RBD,FA18:1,"TG(52:3), TG(53:10)",17,1009.0,16.0732,0.04680000000000106,282.0,228.0,2.64,O3on_150gN3,9
[TG(52:3)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,764.6,575.6,16.16,3097.0,8,RBD,FA18:1,"TG(52:3), TG(53:10)",20,3097.0,16.159850000000002,0.03985000000000127,653.0,603.0,2.64,O3on_150gN3,9
[TG(52:4)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-7,790.7,573.6,14.31,492.0,35,RBD,FA18:1,TG(52:4),2,492.0,14.312883333333334,0.00711666666666666,179.0,102.0,2.4,O3on_150gN3,2
[TG(52:4)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,762.6,573.6,14.35,1317.0,5,RBD,FA18:1,TG(52:4),5,1317.0,14.350133333333334,0.030133333333333567,319.0,245.0,2.4,O3on_150gN3,2
[TG(54:2)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-7,822.7,605.6,19.98,1725.0,68,RBD,FA18:1,"TG(54:2), TG(55:9)",59,1725.0,19.9829,0.02710000000000079,310.0,310.0,3.64,O3on_150gN3,30
[TG(54:2)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,794.6,605.6,20.04,7721.0,44,RBD,FA18:1,"TG(54:2), TG(55:9)",62,7721.0,20.035566666666668,0.025566666666666293,1216.0,1127.0,3.64,O3on_150gN3,30
[TG(54:3)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-7,820.7,603.6,18.01,11771.0,65,RBD,FA18:1,"TG(54:3), TG(55:10)",47,11771.0,18.01011666666667,0.020116666666670113,1849.0,1757.0,4.45,O3on_150gN3,24
[TG(54:3)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,792.6,603.6,18.01,63686.0,38,RBD,FA18:1,"TG(54:3), TG(55:10)",50,63686.0,18.014316666666666,0.02431666666666743,7922.0,7824.0,4.45,O3on_150gN3,24
[TG(54:4)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-7,818.7,601.6,16.1,3560.0,62,RBD,FA18:1,"TG(54:4), TG(55:11)",53,3560.0,16.10255,0.002549999999999386,624.0,580.0,3.84,O3on_150gN3,27
[TG(54:4)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,790.6,601.6,16.12,17709.0,32,RBD,FA18:1,"TG(54:4), TG(55:11)",56,17709.0,16.123533333333334,0.023533333333332962,2234.0,2225.0,3.84,O3on_150gN3,27
[TG(54:5)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-7,816.7,599.6,14.28,891.0,59,RBD,FA18:1,TG(54:5),29,891.0,14.276533333333335,0.02346666666666586,298.0,276.0,2.35,O3on_150gN3,15
[TG(54:5)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,788.6,599.6,14.33,3415.0,29,RBD,FA18:1,TG(54:5),32,3415.0,14.330116666666667,0.030116666666666347,738.0,649.0,2.35,O3on_150gN3,15
