Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Position,Name,Type,Sex,experiment,method_type,Blank Subtraction,subclasses,chain_length,saturation,between_parenthese,FA_Chain
CAR(5:0)_QUAL,246.2,60.1,1868.100112915039,246.2 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(5:0),None
CAR(5:0),246.2,85.1,7615.000579833984,246.2 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(5:0),None
CAR(6:1)_QUAL,258.2,60.1,4855.040306091309,258.2 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,1,(6:1),None
CAR(6:1),258.2,85.1,17376.281272888184,258.2 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,1,(6:1),None
CAR(6:0)_QUAL,260.2,60.1,3132.6002235412598,260.2 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(6:0),None
CAR(6:0),260.2,85.1,5583.1604080200195,260.2 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(6:0),None
CAR(7:0)_QUAL,274.2,60.1,3669.4202575683594,274.2 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(7:0),None
CAR(7:0),274.2,85.1,5580.160404205322,274.2 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(7:0),None
CAR(8:1)_QUAL,286.2,60.1,6877.800483703613,286.2 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,1,(8:1),None
CAR(8:1),286.2,85.1,5277.780342102051,286.2 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,1,(8:1),None
CAR(8:0)_QUAL,288.2,60.1,3078.620185852051,288.2 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(8:0),None
CAR(8:0),288.2,85.1,5171.540340423584,288.2 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(8:0),None
CAR(9:0)_QUAL,302.2,60.1,4914.3603439331055,302.2 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(9:0),None
CAR(9:0),302.2,85.1,3386.9002265930176,302.2 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(9:0),None
CAR(10:3)_QUAL,310.2,60.1,9963.06069946289,310.2 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,3,(10:3),None
CAR(10:3),310.2,85.1,9761.660720825195,310.2 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,3,(10:3),None
CAR(10:2)_QUAL,312.2,60.1,32151.52230834961,312.2 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,2,(10:2),None
CAR(10:2),312.2,85.1,6771.000469207764,312.2 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,2,(10:2),None
CAR(10:1)_QUAL,314.2,60.1,4806.960353851318,314.2 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,1,(10:1),None
CAR(10:1),314.2,85.1,6174.940448760986,314.2 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,1,(10:1),None
CAR(10:0)_QUAL,316.2,60.1,19356.50132751465,316.2 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(10:0),None
CAR(10:0),316.2,85.1,3689.7602729797363,316.2 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(10:0),None
CAR(11:0)_QUAL,330.3,60.1,5877.420421600342,330.3 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(11:0),None
CAR(11:0),330.3,85.1,4856.380348205566,330.3 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(11:0),None
CAR(12:0)_QUAL,344.3,60.1,6072.34049987793,344.3 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(12:0),None
CAR(12:0),344.3,85.1,3984.22029876709,344.3 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(12:0),None
CAR(14:2)_QUAL,368.3,60.1,80536.3257446289,368.3 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,2,(14:2),None
CAR(14:2),368.3,85.1,9306.600570678711,368.3 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,2,(14:2),None
CAR(14:1)_QUAL,370.3,60.1,9287.540687561035,370.3 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,1,(14:1),None
CAR(14:1),370.3,85.1,8637.660598754883,370.3 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,1,(14:1),None
CAR(14:0)_QUAL,372.3,60.1,10098.500709533691,372.3 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(14:0),None
CAR(14:0),372.3,85.1,3739.8202896118164,372.3 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(14:0),None
CAR(16:2)_QUAL,396.3,60.1,5021.320365905762,396.3 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,2,(16:2),None
CAR(16:2),396.3,85.1,6465.920524597168,396.3 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,2,(16:2),None
CAR(16:1)_QUAL,398.3,60.1,11013.300758361816,398.3 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,1,(16:1),None
CAR(16:1),398.3,85.1,5797.720478057861,398.3 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,1,(16:1),None
CAR(16:0)_QUAL,400.3,60.1,10733.06078338623,400.3 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(16:0),None
CAR(16:0),400.3,85.1,4314.000267028809,400.3 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(16:0),None
CAR(17:0)_QUAL,414.4,60.1,15632.661148071289,414.4 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(17:0),None
CAR(17:0),414.4,85.1,19686.281394958496,414.4 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(17:0),None
CAR(18:4)_QUAL,420.3,60.1,11509.580810546875,420.3 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,4,(18:4),None
CAR(18:4),420.3,85.1,8512.540561676025,420.3 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,4,(18:4),None
CAR(18:3)_QUAL,422.3,60.1,10625.70080947876,422.3 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,3,(18:3),None
CAR(18:3),422.3,85.1,6574.480445861816,422.3 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,3,(18:3),None
CAR(18:2)_QUAL,424.3,60.1,7260.000568389893,424.3 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,2,(18:2),None
CAR(18:2),424.3,85.1,15570.361053466797,424.3 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,2,(18:2),None
CAR(18:1)_QUAL,426.4,60.1,13669.480964660645,426.4 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,1,(18:1),None
CAR(18:1),426.4,85.1,6257.400451660156,426.4 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,1,(18:1),None
CAR(18:0)_QUAL,428.4,60.1,14055.081008911133,428.4 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(18:0),None
CAR(18:0),428.4,85.1,8575.28059387207,428.4 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(18:0),None
CAR(20:4)_QUAL,448.3,60.1,8200.92056274414,448.3 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,4,(20:4),None
CAR(20:4),448.3,85.1,4425.940315246582,448.3 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,4,(20:4),None
CAR(20:2)_QUAL,452.4,60.1,6046.840408325195,452.4 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,2,(20:2),None
CAR(20:2),452.4,85.1,11362.280754089355,452.4 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,2,(20:2),None
CAR(20:1)_QUAL,454.4,60.1,6994.920455932617,454.4 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,1,(20:1),None
CAR(20:1),454.4,85.1,10238.260486602783,454.4 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,1,(20:1),None
CAR(20:0)_QUAL,456.4,60.1,10983.14079284668,456.4 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(20:0),None
CAR(20:0),456.4,85.1,4040.3802795410156,456.4 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(20:0),None
CAR(22:6)_QUAL,472.4,60.1,14327.981048583984,472.4 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,6,(22:6),None
CAR(22:6),472.4,85.1,10166.90071105957,472.4 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,6,(22:6),None
CAR(22:5)_QUAL,474.4,60.1,20664.5414352417,474.4 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,5,(22:5),None
CAR(22:5),474.4,85.1,4361.300304412842,474.4 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,5,(22:5),None
CAR(22:4)_QUAL,476.4,60.1,9533.180648803711,476.4 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,4,(22:4),None
CAR(22:4),476.4,85.1,4460.2802810668945,476.4 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,4,(22:4),None
CAR(22:2)_QUAL,480.4,60.1,11603.960777282715,480.4 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,2,(22:2),None
CAR(22:2),480.4,85.1,5427.660346984863,480.4 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,2,(22:2),None
CAR(22:0)_QUAL,484.4,60.1,6993.86051940918,484.4 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(22:0),None
CAR(22:0),484.4,85.1,7062.320465087891,484.4 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(22:0),None
CAR(26:0)_QUAL,540.5,60.1,4934.44030380249,540.5 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(26:0),None
CAR(26:0),540.5,85.1,11135.580696105957,540.5 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(26:0),None
CAR_QUAL,162.2,60.1,3218.0202255249023,162.2 -> 60.1,CAR,AC_BlankLiver_NA_N1_daneman_lab_11_21_23,BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank,AC,445.8400230407715,CAR,CAR,0,None,None
CAR,162.2,85.1,3161.8202018737793,162.2 -> 85.1,CAR,AC_BlankLiver_NA_N1_daneman_lab_11_21_23,BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank,AC,573.1000366210938,CAR,CAR,0,None,None
CAR(2:0)_QUAL,204.1,60.1,3393.880256652832,204.1 -> 60.1,CAR,AC_BlankLiver_NA_N1_daneman_lab_11_21_23,BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank,AC,475.54003143310547,CAR,CAR,0,(2:0),None
CAR(2:0),204.1,85.1,236473.25830078125,204.1 -> 85.1,CAR,AC_BlankLiver_NA_N1_daneman_lab_11_21_23,BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank,AC,8440.300720214844,CAR,CAR,0,(2:0),None
CAR(3:1)_QUAL,216.1,60.1,2589.040168762207,216.1 -> 60.1,CAR,AC_BlankLiver_NA_N1_daneman_lab_11_21_23,BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank,AC,59.57998275756836,CAR,CAR,1,(3:1),None
CAR(3:1),216.1,85.1,21820.98162841797,216.1 -> 85.1,CAR,AC_BlankLiver_NA_N1_daneman_lab_11_21_23,BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank,AC,1375.760238647461,CAR,CAR,1,(3:1),None
CAR(3:0)_QUAL,218.1,60.1,2653.3602027893066,218.1 -> 60.1,CAR,AC_BlankLiver_NA_N1_daneman_lab_11_21_23,BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank,AC,138.9800148010254,CAR,CAR,0,(3:0),None
CAR(3:0),218.1,85.1,8764.340591430664,218.1 -> 85.1,CAR,AC_BlankLiver_NA_N1_daneman_lab_11_21_23,BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank,AC,0.0,CAR,CAR,0,(3:0),None
CAR(4:1)_QUAL,230.1,60.1,3004.580219268799,230.1 -> 60.1,CAR,AC_BlankLiver_NA_N1_daneman_lab_11_21_23,BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank,AC,85.92004013061523,CAR,CAR,1,(4:1),None
CAR(4:1),230.1,85.1,25132.34171295166,230.1 -> 85.1,CAR,AC_BlankLiver_NA_N1_daneman_lab_11_21_23,BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank,AC,541.6398010253906,CAR,CAR,1,(4:1),None
CAR(4:0)_QUAL,232.2,60.1,2055.0001373291016,232.2 -> 60.1,CAR,AC_BlankLiver_NA_N1_daneman_lab_11_21_23,BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank,AC,0.0,CAR,CAR,0,(4:0),None
CAR(4:0),232.2,85.1,18839.841430664062,232.2 -> 85.1,CAR,AC_BlankLiver_NA_N1_daneman_lab_11_21_23,BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank,AC,0.0,CAR,CAR,0,(4:0),None
CAR(5:1)_QUAL,244.2,60.1,4104.500282287598,244.2 -> 60.1,CAR,AC_BlankLiver_NA_N1_daneman_lab_11_21_23,BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank,AC,0.0,CAR,CAR,1,(5:1),None
CAR(5:1),244.2,85.1,33689.742248535156,244.2 -> 85.1,CAR,AC_BlankLiver_NA_N1_daneman_lab_11_21_23,BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank,AC,0.0,CAR,CAR,1,(5:1),None
CAR(5:0)_QUAL,246.2,60.1,2363.2201614379883,246.2 -> 60.1,CAR,AC_BlankLiver_NA_N1_daneman_lab_11_21_23,BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank,AC,495.1200485229492,CAR,CAR,0,(5:0),None
CAR(5:0),246.2,85.1,8222.640560150146,246.2 -> 85.1,CAR,AC_BlankLiver_NA_N1_daneman_lab_11_21_23,BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank,AC,607.6399803161621,CAR,CAR,0,(5:0),None
CAR(6:1)_QUAL,258.2,60.1,6169.840408325195,258.2 -> 60.1,CAR,AC_BlankLiver_NA_N1_daneman_lab_11_21_23,BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank,AC,1314.8001022338867,CAR,CAR,1,(6:1),None
CAR(6:1),258.2,85.1,18985.721420288086,258.2 -> 85.1,CAR,AC_BlankLiver_NA_N1_daneman_lab_11_21_23,BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank,AC,1609.4401473999023,CAR,CAR,1,(6:1),None
CAR(6:0)_QUAL,260.2,60.1,3193.620216369629,260.2 -> 60.1,CAR,AC_BlankLiver_NA_N1_daneman_lab_11_21_23,BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank,AC,61.01999282836914,CAR,CAR,0,(6:0),None
CAR(6:0),260.2,85.1,5923.94038772583,260.2 -> 85.1,CAR,AC_BlankLiver_NA_N1_daneman_lab_11_21_23,BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank,AC,340.77997970581055,CAR,CAR,0,(6:0),None
CAR(7:0)_QUAL,274.2,60.1,3482.4002380371094,274.2 -> 60.1,CAR,AC_BlankLiver_NA_N1_daneman_lab_11_21_23,BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank,AC,0.0,CAR,CAR,0,(7:0),None
CAR(7:0),274.2,85.1,5361.980350494385,274.2 -> 85.1,CAR,AC_BlankLiver_NA_N1_daneman_lab_11_21_23,BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank,AC,0.0,CAR,CAR,0,(7:0),None
CAR(8:1)_QUAL,286.2,60.1,5445.560386657715,286.2 -> 60.1,CAR,AC_BlankLiver_NA_N1_daneman_lab_11_21_23,BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank,AC,0.0,CAR,CAR,1,(8:1),None
CAR(8:1),286.2,85.1,5682.060375213623,286.2 -> 85.1,CAR,AC_BlankLiver_NA_N1_daneman_lab_11_21_23,BlankLiver_NA,P1-B6,Blank,Liver,_NA,blank,AC,404.28003311157227,CAR,CAR,1,(8:1),None
