,Class,Transition,Lipid
428,PE,478.3 -> 336.3,Lyso_PE(18:2)
430,PE,480.3 -> 338.3,Lyso_PE(18:1)
432,PE,482.3 -> 340.3,Lyso_PE(18:0)
433,PE,482.3 -> 341.3,PE (18:0)
434,PE,494.3 -> 352.3,Lyso_PE(19:1)
436,PE,496.3 -> 354.3,Lyso_PE(19:0)
438,PE,500.3 -> 358.3,Lyso_PE(20:5)
440,PE,502.3 -> 360.3,Lyso_PE(20:4)
442,PE,504.3 -> 362.3,Lyso_PE(20:3)
444,PE,506.3 -> 364.3,Lyso_PE(20:2)
446,PE,508.3 -> 366.3,Lyso_PE(20:1)
448,PE,510.3 -> 368.3,Lyso_PE(20:0)
451,PE,524.4 -> 382.4,Lyso_PE(21:0)
452,PE,526.3 -> 384.3,Lyso_PE(22:6)
454,PE,528.3 -> 386.3,Lyso_PE(22:5)
455,PE,530.3 -> 388.3,Lyso_PE(22:4)
457,PE,534.3 -> 392.3,Lyso_PE(22:2)
459,PE,536.4 -> 394.4,Lyso_PE(22:1)
461,PE,538.4 -> 396.4,Lyso_PE(22:0)
463,PE,554.3 -> 412.3,Lyso_PE(24:6)
464,PE,564.4 -> 422.4,Lyso_PE(24:1)
465,PE,566.4 -> 424.4,Lyso_PE(24:0)
472,PE,634.4 -> 493.4,PE (28:1)
535,PE,776.6 -> 635.6,PE (38:0)
536,PE,776.6 -> 635.6,PE (38:0)
544,PE,788.5 -> 647.5,PE (40:8)
545,PE,790.5 -> 649.5,PE (40:7)
551,PE,802.6 -> 661.6,PE (40:1)
552,PE,804.6 -> 663.6,PE (40:0) | PEp (42:6)
553,PE,804.6 -> 663.6,PE (40:0) | PEp (42:6)
558,PE,812.5 -> 671.5,PE (42:10)
559,PE,814.5 -> 673.5,PE (42:9)
562,PE,818.6 -> 677.6,PE (42:7)
573,PE,844.6 -> 703.6,PE (44:8)
574,PE,846.6 -> 705.6,PE (44:7)
584,PG,446.2 -> 257.2,Lyso_PG(12:0)
585,PG,460.2 -> 271.2,Lyso_PG(13:0) | PG (12:0)
586,PG,460.2 -> 271.2,Lyso_PG(13:0) | PG (12:0)
587,PG,472.2 -> 283.2,Lyso_PG(14:1) | PG (14:1)
588,PG,472.2 -> 283.2,Lyso_PG(14:1) | PG (14:1)
589,PG,474.2 -> 285.2,Lyso_PG(14:0)
590,PG,474.3 -> 285.3,PG (14:0)
591,PG,486.2 -> 297.2,Lyso_PG(15:1)
592,PG,486.3 -> 297.3,PGp (16:0)
593,PG,488.3 -> 299.3,Lyso_PG(15:0) | PGo (16:0)
594,PG,488.3 -> 299.3,Lyso_PG(15:0) | PGo (16:0)
595,PG,500.3 -> 311.3,Lyso_PG(16:1) | PG (16:1)
596,PG,500.3 -> 311.3,Lyso_PG(16:1) | PG (16:1)
597,PG,502.3 -> 313.3,Lyso_PG(16:0)
598,PG,512.3 -> 323.3,Lyso_PG(17:2)
599,PG,514.3 -> 325.3,Lyso_PG(17:1) | PGp (18:0)
600,PG,514.3 -> 325.3,Lyso_PG(17:1) | PGp (18:0)
601,PG,516.3 -> 327.3,Lyso_PG(17:0) | PG (16:0) | PGo (18:0)
602,PG,516.3 -> 327.3,Lyso_PG(17:0) | PG (16:0) | PGo (18:0)
603,PG,516.3 -> 327.3,Lyso_PG(17:0) | PG (16:0) | PGo (18:0)
604,PG,522.2 -> 333.2,Lyso_PG(18:4)
605,PG,522.3 -> 333.3,PG (18:4)
606,PG,524.3 -> 335.3,Lyso_PG(18:3) | PG (18:3)
607,PG,524.3 -> 335.3,Lyso_PG(18:3) | PG (18:3)
608,PG,526.3 -> 337.3,Lyso_PG(18:2) | PG (18:2)
609,PG,526.3 -> 337.3,Lyso_PG(18:2) | PG (18:2)
610,PG,528.3 -> 339.3,Lyso_PG(18:1) | PG (18:1)
611,PG,528.3 -> 339.3,Lyso_PG(18:1) | PG (18:1)
612,PG,530.3 -> 341.3,Lyso_PG(18:0) | PG (18:0)
613,PG,530.3 -> 341.3,Lyso_PG(18:0) | PG (18:0)
614,PG,542.3 -> 353.3,Lyso_PG(19:1)
615,PG,542.4 -> 353.4,PGp (20:0)
616,PG,544.3 -> 355.3,Lyso_PG(19:0)
617,PG,544.4 -> 355.4,PGo (20:0)
618,PG,548.3 -> 359.3,Lyso_PG(20:5) | PG (20:5)
619,PG,548.3 -> 359.3,Lyso_PG(20:5) | PG (20:5)
620,PG,550.3 -> 361.3,Lyso_PG(20:4) | PG (20:4)
621,PG,550.3 -> 361.3,Lyso_PG(20:4) | PG (20:4)
622,PG,552.3 -> 363.3,Lyso_PG(20:3) | PG (20:3)
623,PG,552.3 -> 363.3,Lyso_PG(20:3) | PG (20:3)
624,PG,554.3 -> 365.3,Lyso_PG(20:2) | PG (20:2)
625,PG,554.3 -> 365.3,Lyso_PG(20:2) | PG (20:2)
626,PG,556.3 -> 367.3,Lyso_PG(20:1) | PG (20:1)
627,PG,556.3 -> 367.3,Lyso_PG(20:1) | PG (20:1)
628,PG,558.3 -> 369.3,Lyso_PG(20:0)
629,PG,572.3 -> 383.3,PG (20:0)
630,PG,572.4 -> 383.4,Lyso_PG(21:0)
631,PG,574.3 -> 385.3,Lyso_PG(22:6) | PG (22:6)
632,PG,574.3 -> 385.3,Lyso_PG(22:6) | PG (22:6)
633,PG,578.3 -> 389.3,Lyso_PG(22:4) | PG (22:4)
634,PG,578.3 -> 389.3,Lyso_PG(22:4) | PG (22:4)
635,PG,582.3 -> 393.3,Lyso_PG(22:2)
636,PG,582.4 -> 393.3,PG (22:2)
637,PG,584.4 -> 395.4,Lyso_PG(22:1) | PG (22:1)
638,PG,584.4 -> 395.4,Lyso_PG(22:1) | PG (22:1)
639,PG,586.4 -> 397.4,Lyso_PG(22:0) | PG (22:0)
640,PG,586.4 -> 397.4,Lyso_PG(22:0) | PG (22:0)
641,PG,628.4 -> 439.4,PG (24:0)
642,PG,654.4 -> 465.4,PG (24:1)
643,PG,656.4 -> 467.4,PG (26:0)
644,PG,668.5 -> 479.5,PGp (28:0)
645,PG,670.5 -> 481.5,PGo (28:0)
646,PG,680.4 -> 491.4,PG (28:2)
647,PG,682.4 -> 493.4,PG (28:1)
648,PG,684.5 -> 495.5,PG (28:0)
649,PG,694.5 -> 505.5,PGp (30:1)
650,PG,696.5 -> 507.5,PGo (30:1)
651,PG,698.5 -> 509.5,PGo (30:0)
652,PG,704.4 -> 515.4,PG (30:4)
653,PG,706.4 -> 517.4,PG (30:3)
654,PG,708.5 -> 519.5,PG (30:2)
655,PG,710.5 -> 521.5,PG (30:1)
656,PG,712.5 -> 523.5,PG (30:0)
657,PG,724.5 -> 535.5,PGo (32:1)
658,PG,726.5 -> 537.5,PGo (32:0)
659,PG,730.4 -> 541.4,PG (32:5)
660,PG,732.5 -> 543.5,PG (32:4)
661,PG,734.5 -> 545.5,PG (32:3)
662,PG,736.5 -> 547.5,PG (32:2)
663,PG,738.5 -> 549.5,PG (32:1)
664,PG,740.5 -> 551.5,PG (32:0)
665,PG,744.5 -> 555.5,PGp (34:4)
666,PG,746.5 -> 557.5,PGo (34:4)
667,PG,748.5 -> 559.5,PGo (34:3)
668,PG,750.5 -> 561.5,PGo (34:2)
669,PG,754.6 -> 565.6,PGo (34:0)
670,PG,756.5 -> 567.5,PG (34:6)
671,PG,758.5 -> 569.5,PG (34:5)
672,PG,758.5 -> 569.5,PG (34:5)
673,PG,760.5 -> 571.5,PG (34:4)
674,PG,762.5 -> 573.5,PG (34:3)
675,PG,764.5 -> 575.5,PG (34:2)
676,PG,766.5 -> 577.5,PG (34:1)
677,PG,768.5 -> 579.5,PG (34:0)
678,PG,770.5 -> 581.5,PGp (36:5)
679,PG,772.5 -> 583.5,PGo (36:5)
680,PG,774.5 -> 585.5,PGo (36:4)
681,PG,778.6 -> 589.6,PGo (36:2)
682,PG,780.5 -> 591.5,PG (36:8)
683,PG,780.6 -> 591.6,PGo (36:1)
684,PG,782.5 -> 593.5,PG (36:7)
685,PG,782.6 -> 593.6,PGo (36:0)
686,PG,784.5 -> 595.5,PG (36:6)
687,PG,786.5 -> 597.5,PG (36:5)
688,PG,788.5 -> 599.5,PG (36:4)
689,PG,790.5 -> 601.5,PG (36:3)
690,PG,792.5 -> 603.5,PG (36:2)
691,PG,794.6 -> 605.6,PG (36:1)
692,PG,796.5 -> 607.5,PGp (38:6)
693,PG,796.6 -> 607.6,PG (36:0)
694,PG,798.5 -> 609.5,PGo (38:6)
695,PG,802.6 -> 613.6,PGo (38:4)
696,PG,804.6 -> 615.6,PGo (38:3)
697,PG,806.5 -> 617.5,PG (38:9)
698,PG,806.6 -> 617.6,PGo (38:2)
699,PG,808.5 -> 619.5,PG (38:8)
700,PG,808.6 -> 619.6,PGo (38:1)
701,PG,810.5 -> 621.5,PG (38:7)
702,PG,810.6 -> 621.6,PGo (38:0)
703,PG,812.5 -> 623.5,PG (38:6)
704,PG,814.5 -> 625.5,PG (38:5)
705,PG,816.5 -> 627.5,PG (38:4)
706,PG,818.6 -> 629.6,PG (38:3)
707,PG,820.6 -> 631.6,PG (38:2)
708,PG,822.6 -> 633.6,PG (38:1)
709,PG,824.6 -> 635.6,PG (38:0) | PGp (40:6)
710,PG,826.6 -> 637.6,PGo (40:6)
711,PG,828.6 -> 639.6,PGo (40:5)
712,PG,830.6 -> 641.6,PGo (40:4)
713,PG,832.5 -> 643.5,PG (40:10)
714,PG,832.6 -> 643.6,PGo (40:9)
715,PG,834.5 -> 645.5,PG (40:9)
716,PG,834.6 -> 645.6,PGo (40:2)
717,PG,836.5 -> 647.5,PG (40:8)
718,PG,836.6 -> 647.6,PGo (40:1)
719,PG,838.5 -> 649.5,PG (40:7)
720,PG,838.7 -> 649.7,PGo (40:0)
721,PG,840.5 -> 651.5,PG (40:6)
722,PG,842.6 -> 653.6,PG (40:5)
723,PG,844.6 -> 655.6,PG (40:4)
724,PG,846.6 -> 657.6,PG (40:3)
725,PG,848.6 -> 659.6,PG (40:2)
726,PG,850.6 -> 661.6,PG (40:1)
727,PG,852.6 -> 663.6,PG (40:0) | PGp (42:6)
728,PG,852.6 -> 663.6,PG (40:0) | PGp (42:6)
729,PG,854.6 -> 665.6,PGo (42:6)
730,PG,856.6 -> 667.6,PGp (42:4)
731,PG,858.5 -> 669.5,PG (42:11)
732,PG,858.6 -> 669.6,PGo (42:4)
733,PG,860.5 -> 671.5,PG (42:10)
734,PG,860.6 -> 671.6,PGp (42:2)
735,PG,862.5 -> 673.5,PG (42:9)
736,PG,862.7 -> 673.7,PGo (42:2)
737,PG,864.5 -> 675.5,PG (42:8)
738,PG,864.7 -> 675.7,PGo (42:1)
739,PG,866.6 -> 677.6,PG (42:7)
740,PG,866.7 -> 677.7,PGo (42:0)
741,PG,868.6 -> 679.6,PG (42:6)
742,PG,870.6 -> 681.6,PG (42:5)
743,PG,872.6 -> 683.6,PG (42:4)
744,PG,874.6 -> 685.6,PG (42:3)
745,PG,876.6 -> 687.6,PG (42:2)
746,PG,878.7 -> 689.7,PG (42:1)
747,PG,880.7 -> 691.7,PG (42:0)
748,PG,884.5 -> 695.5,PG (44:12)
749,PG,888.5 -> 699.5,PG (44:10)
750,PG,892.6 -> 703.6,PG (44:8)
751,PG,894.6 -> 705.6,PG (44:7)
752,PG,896.6 -> 707.6,PG (44:6)
753,PG,898.6 -> 709.6,PG (44:5)
754,PG,900.6 -> 711.6,PG (44:4)
755,PG,902.7 -> 713.7,PG (44:3)
756,PG,904.7 -> 715.7,PG (44:2)
757,PG,906.7 -> 717.7,PG (44:1)
758,PG,908.7 -> 719.7,PG (44:0)
764,PI,560.3 -> 283.3,PI (14:1)
830,PI,794.5 -> 517.5,PI (30:3)
837,PI,818.5 -> 541.5,PI (32:5)
888,PI,912.6 -> 635.6,PI (38:0) | PIp (40:6)
889,PI,912.6 -> 635.6,PI (38:0) | PIp (40:6)
897,PI,924.5 -> 647.5,PI (40:8)
899,PI,926.5 -> 649.5,PI (40:7)
906,PI,938.6 -> 661.6,PI (40:1)
907,PI,940.6 -> 663.6,PIp (42:6)
913,PI,948.5 -> 671.5,PI (42:10)
915,PI,950.5 -> 673.5,PI (42:9)
917,PI,952.6 -> 675.6,PI (42:8)
919,PI,954.6 -> 677.6,PI (42:7)
929,PI,980.6 -> 703.6,PI (44:8)
930,PI,982.6 -> 705.6,PI (44:7)
933,PI,988.7 -> 711.7,PI (44:4)
944,PS,470.2 -> 285.2,Lyso_PS(14:0)
945,PS,482.2 -> 297.2,Lyso_PS(15:1)
951,PS,498.3 -> 313.3,Lyso_PS(16:0) | PS (16:0)
952,PS,498.3 -> 313.3,Lyso_PS(16:0) | PS (16:0)
959,PS,518.2 -> 333.2,Lyso_PS(18:4)
960,PS,518.3 -> 333.2,Lyso_PS(18:4)
967,PS,526.3 -> 341.3,Lyso_PS(18:0) | PS (18:0)
968,PS,526.3 -> 341.3,Lyso_PS(18:0) | PS (18:0)
1003,PS,678.4 -> 493.4,PS (28:1)
1004,PS,680.4 -> 495.4,PS (28:0)
1010,PS,704.4 -> 519.4,PS (30:2)
1017,PS,728.4 -> 543.4,PS (32:4)
1028,PS,752.4 -> 567.4,PS (34:6)
1078,PS,834.5 -> 649.5,PS (40:7)
1085,PS,846.6 -> 661.6,PS (40:1)
1086,PS,848.6 -> 663.6,PS (40:0) | PSp (42:6)
1087,PS,848.6 -> 663.6,PS (40:0) | PSp (42:6)
1094,PS,858.5 -> 673.5,PS (42:9)
1096,PS,860.5 -> 675.5,PS (42:8)
1098,PS,862.6 -> 677.6,PS (42:7)
1106,PS,888.6 -> 703.6,PS (44:8)
1107,PS,890.6 -> 705.6,PS (44:7)
1114,TAG,818.8 -> 517.8,TAG(48:3)_FA 18:0
1115,TAG,818.8 -> 519.8,TAG(48:3)_FA 18:1
1116,TAG,818.8 -> 545.8,TAG(48:3)_FA 16:0
1117,TAG,818.8 -> 547.8,TAG(48:3)_FA 16:1
1118,TAG,820.8 -> 519.8,TAG(48:2)_F A18:0
1119,TAG,820.8 -> 521.8,TAG(48:2)_FA 18:1
1120,TAG,820.8 -> 547.8,TAG(48:2)_FA 16:0
1121,TAG,820.8 -> 549.8,TAG(48:2)_FA 16:1
1122,TAG,822.8 -> 521.8,TAG(48:1)_FA18:0
1123,TAG,822.8 -> 523.8,TAG(48:1)_FA 18:1
1124,TAG,822.8 -> 549.8,TAG(48:1)_FA 16:0
1125,TAG,822.8 -> 551.8,TAG(48:1)_FA 16:1
1126,TAG,824.8 -> 523.8,TAG(48:0)_FA 18:0
1127,TAG,824.8 -> 525.8,TAG(48:0)_FA 18:1
1128,TAG,824.8 -> 551.8,TAG(48:0)_FA 16:0
1129,TAG,824.8 -> 553.8,TAG(48:0)_FA 16:1
1130,TAG,846.8 -> 545.8,TAG(50:4)_FA 18:0
1131,TAG,846.8 -> 547.8,TAG(50:4)_FA 18:1
1132,TAG,846.8 -> 573.8,TAG(50:4)_FA 16:0
1133,TAG,846.8 -> 575.8,TAG(50:4)_FA 16:1
1134,TAG,848.8 -> 547.8,TAG(50:3)_FA 18:0
1135,TAG,848.8 -> 549.8,TAG(50:3)_FA 18:1
1136,TAG,848.8 -> 575.8,TAG(50:3)_FA 16:0
1137,TAG,848.8 -> 577.8,TAG(50:3)_FA 16:1
1138,TAG,850.8 -> 549.8,TAG(50:2)_FA 18:0
1139,TAG,850.8 -> 551.8,TAG(50:2)_FA 18:1
1140,TAG,850.8 -> 577.8,TAG(50:2)_FA 16:0
1141,TAG,850.8 -> 579.8,TAG(50:2)_FA 16:1
1142,TAG,852.8 -> 551.8,TAG(50:1)_FA 18:0
1143,TAG,852.8 -> 553.8,TAG(50:1)_FA 18:1
1144,TAG,852.8 -> 579.8,TAG(50:0)_FA 16:0
1145,TAG,852.8 -> 581.8,TAG(50:0)_FA 16:1
1146,TAG,868.7 -> 567.7,TAG(52:6)_FA 18:0
1147,TAG,868.7 -> 569.7,TAG(52:6)_FA 18:1
1148,TAG,868.7 -> 595.7,TAG(52:6)_FA 16:0
1149,TAG,868.7 -> 597.7,TAG(52:6)_FA 16:1
1150,TAG,870.8 -> 569.8,TAG(52:5)_FA 18:0
1151,TAG,870.8 -> 571.8,TAG(52:5)_FA 18:1
1152,TAG,870.8 -> 597.8,TAG(52:5)_FA 16:0
1153,TAG,870.8 -> 599.8,TAG(52:5)_FA 16:1
1154,TAG,872.8 -> 571.8,TAG(52:4)_FA 18:0
1155,TAG,872.8 -> 573.8,TAG(52:4)_FA 18:1
1156,TAG,872.8 -> 599.8,TAG(52:4)_FA 16:0
1157,TAG,872.8 -> 601.8,TAG(52:4)_FA 16:1
1158,TAG,874.8 -> 573.8,TAG(52:3)_FA 18:0
1159,TAG,874.8 -> 575.8,TAG(52:3)_FA 18:1
1160,TAG,874.8 -> 601.8,TAG(52:3)_FA 16:0
1161,TAG,874.8 -> 603.8,TAG(52:3)_FA 16:1
1162,TAG,876.8 -> 575.8,TAG(52:2)_FA 18:0
1163,TAG,876.8 -> 577.8,TAG(52:2)_FA 18:1
1164,TAG,876.8 -> 603.8,TAG(52:2)_FA 16:0
1165,TAG,876.8 -> 605.8,TAG(52:2)_FA 16:1
1166,TAG,878.8 -> 577.8,TAG(52:1)_FA 18:0
1167,TAG,878.8 -> 579.8,TAG(52:1)_FA 18:1
1168,TAG,878.8 -> 605.8,TAG(52:1)_FA 16:0
1169,TAG,878.8 -> 607.8,TAG(52:1)_FA 16:1
1170,TAG,880.8 -> 579.8,TAG(52:0)_FA 18:0
1171,TAG,880.8 -> 581.8,TAG(52:0)_FA 18:1
1172,TAG,880.8 -> 607.8,TAG(52:0)_FA 16:0
1173,TAG,880.8 -> 609.8,TAG(52:0)_FA 16:1
1174,TAG,892.7 -> 591.7,TAG(54:8)_FA 18:0
1175,TAG,892.7 -> 593.7,TAG(54:8)_FA 18:1
1176,TAG,892.7 -> 619.7,TAG(54:8)_FA 16:0
1177,TAG,892.7 -> 621.7,TAG(54:8)_FA 16:1
1178,TAG,894.8 -> 593.8,TAG(54:7)_FA 18:0
1179,TAG,894.8 -> 595.8,TAG(54:7)_FA 18:1
1180,TAG,894.8 -> 621.8,TAG(54:7)_FA 16:0
1181,TAG,894.8 -> 623.8,TAG(54:7)_FA 16:1
1182,TAG,896.8 -> 595.8,TAG(54:6)_FA 18:0
1183,TAG,896.8 -> 597.8,TAG(54:6)_FA 18:1
1184,TAG,896.8 -> 623.8,TAG(54:6)_FA 16:0
1185,TAG,896.8 -> 625.8,TAG(54:6)_FA 16:1
1186,TAG,898.8 -> 597.8,TAG(54:5)_FA 18:0
1187,TAG,898.8 -> 599.8,TAG(54:5)_FA 18:1
1188,TAG,898.8 -> 625.8,TAG(54:5)_FA 16:0
