lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Hippo10x_01192023,10xBlank_01202023
"(5Z,8Z)-tetradecadienoylcarnitine",-1.5687706654611744,16.401432996788195,10.117872850767608,0.0014683837160935028,0.16909003253784413,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CAR,24583201.19921875,20847168.3828125,28155528.892578125,22671427.51611328,34723637.06933594,30582186.538085938,28337082.129882812,139608184.45239258,26376597.729492188,25367756.57104492,1785924.2541503906
22:5 Cholesteryl ester,1.5907565519739657,11.087983545160974,10.390388307539979,0.0012667298130522745,0.16909003253784413,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,4551026.404541016,2730467.060913086,1502246.861694336,666926.9046630859,385240.2494506836,732844.8115234375,586350.77685546875,696990.0095214844,195039.9539489746,201413.27459716797,343852.4637451172
22:6 Cholesteryl ester,1.573582677883477,11.06698527250093,10.177218423115846,0.0014218651969179512,0.16909003253784413,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,4458070.431640625,2715212.2209472656,1491101.0864257812,645550.1623535156,377736.9682617187,724647.8146972656,589545.1394042969,698972.4873046875,192804.07348632812,194199.51263427737,318345.9444580078
Cholesteryl nitrolinoleate,1.5521799340087943,11.046230890160322,9.914237339726242,0.001640050843930867,0.17536829381175056,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,4343857.308349609,2643083.231811523,1497477.1091308594,648281.0699462891,371760.6458129883,706709.7972412109,587135.15966796875,709355.73291015625,189059.81372070312,186714.47326660156,321258.66369628906
20:1 Campesteryl ester,1.5374724106072053,11.007288713081778,9.735255951338331,0.0018076684153933485,0.1804053078562562,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,4235422.83215332,2598765.4096679688,1407519.564819336,627173.1862182617,362508.36560058594,711627.2513427734,574620.6032714844,681386.88427734375,190459.41339111328,188184.5531616211,310572.0031738281
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",1.5223808403828658,11.117317144180232,9.553081807054696,0.0019961399809512565,0.18676384696775195,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,4550953.7470703125,2741932.9650878906,1526239.79296875,680709.7716064453,397991.8699951172,761836.2901611328,625923.0830078125,729867.6760253906,213621.0160522461,221255.75579833984,370215.2233886719
Lyso_PI(18:3) | PI (18:3)_2,1.2785303562459678,13.319837921992915,6.823205309221578,0.008998092971897102,0.7923614811135272,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,PI,10262036.209655762,7198681.598144531,9584171.07055664,10543160.662719728,6396502.955978394,155264.61316299438,7210440.148864746,16847.700981140137,7149942.082290649,3382115.435218811,72475.46408081055
Lyso_PI(18:3) | PI (18:3),1.2656426704669987,13.333433999511929,6.690439995476993,0.009693127876980111,0.8061451351021793,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,PI,10354794.567565918,7085729.344970703,9609994.51916504,10714701.921875,6500267.43334198,158652.03149414062,7375118.41418457,10136.16060256958,7252704.404907227,3408904.908050537,70834.02569580078
"(11Z,14Z)-eicosadienoylcarnitine",-0.28304249418365834,11.589552203699478,0.3445825039261763,0.557195981616015,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CAR,1490627.2612304688,1620460.4702148438,1434255.701171875,1426995.7827148438,1442118.8286132812,1322329.38671875,1437470.2348632812,1481437.8369140625,1510009.1274414062,1611557.333984375,1833013.6752929688
(11Z)-eicoseneoylcarnitine,-0.2593041134476084,11.600973629971753,0.2892812808859162,0.5906814708580913,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CAR,1498962.5366210938,1640511.7080078125,1468215.3647460938,1455302.6083984375,1517652.2963867188,1324620.29296875,1469218.4106445312,1479341.6264648438,1496397.3359375,1650848.89453125,1770335.1005859375
"(13Z,16Z)-docosadienoylcarnitine",-0.2134548857123981,11.603022021462966,0.19611088387682685,0.6578785134410794,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CAR,1468592.0839233398,1801727.1483154297,1494908.485961914,1415503.9500732422,1514023.7989501953,1265010.6803588867,1427897.3614501953,1472655.911315918,1561466.8793945312,1541192.444946289,1846519.2565917969
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",-0.23607519256244214,12.23700371099058,0.23982937834807672,0.6243293738640145,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CAR,2392796.6845703125,2414485.858154297,2782494.2834472656,2515677.2600097656,2177589.061767578,2194784.690185547,2492220.4825439453,2412503.1643066406,2579735.21484375,2093678.0153808591,2077579.7651367188
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",-0.1888800846609589,11.431019885550441,0.15358454229044582,0.6951331095407101,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CAR,1291661.7513427734,1585961.4837646484,1354965.4031982422,1177180.6912841797,1447871.6550292969,1110796.737915039,1253343.1610107422,1276397.7185058594,1314163.553955078,1433375.403076172,1684194.2908935547
"(7Z,10Z)-hexadecadienoylcarnitine",-0.3088902845038118,11.928818330811623,0.4102665633909053,0.5218342393202084,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CAR,1929676.493652344,1850445.7600097656,1793115.135986328,1852051.1657714844,1707312.4143066406,1606353.2426757812,1873921.4216308591,1902876.1496582031,2005393.249267578,1818268.425048828,2578376.0740966797
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",-0.10411778984731868,15.01718846213883,0.04669190857677785,0.8289229683249882,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CAR,15425044.841796877,17616816.35986328,15560660.842773438,23578611.47607422,23004359.768066406,22132601.1640625,12139073.696289062,18102972.64501953,15758916.81298828,14440797.770507812,2155070.9477539062
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",-0.1603775387989344,13.772378261333554,0.11075143531079767,0.7392902539392169,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CAR,6473824.611083984,7022553.862060547,6461878.519042969,9142425.646728516,9132833.381347656,8245887.214111328,5412256.6162109375,7534727.410644531,6695696.98828125,6682941.8681640625,2817110.0759277344
(9Z)-3-hydroxyoctadecenoylcarnitine,-0.10186004555184403,15.100034580027994,0.04468929832460766,0.8325763778319508,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CAR,16167813.693847656,18424387.296875,16605329.997558594,25047980.522460938,24543649.78955078,23314671.77001953,12741658.96826172,19088064.09716797,16634745.890625,15611679.19482422,2395006.220703125
1-O-behenoyl-Cer(d18:1/16:0),0.008752874497444309,6.116575325309057,3.300232801848324e-4,0.9855059931444556,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,Cer,34723.00240325928,36657.50228881836,39095.64287948608,48923.5634727478,37555.882331848145,42416.122787475586,30153.32243347168,25673.94190979004,38013.282623291016,29481.562602996823,22294.401321411133
1-O-carboceroyl-Cer(d18:1/18:0),-0.33696596175787236,5.479586098190152,0.48797893212508825,0.4848302443067143,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,Cer,22350.521404266357,19638.42140197754,19103.36149597168,21265.18152618408,19184.941383361816,23518.86159515381,24620.98153686523,18542.74126815796,20872.98154449463,19351.66135406494,32565.38228225708
1-O-cerotoyl-Cer(d18:1/16:0),-0.28575253535664696,7.400964074326877,0.35118817005695746,0.5534413052602853,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,Cer,77170.1263885498,71760.08392715454,66176.30462646484,109173.28615570068,77536.20505905151,71531.56502151489,94600.40604019164,48290.72343444824,129686.40884780884,90206.18699645996,104272.36771011353
1-O-cerotoyl-Cer(d18:1/18:0),-0.40063804912955525,9.107688521281515,0.6892771763268684,0.4064103486873035,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,Cer,260292.91549301147,226606.41647338867,224349.4774131775,218882.65203475952,217872.79592895508,242689.6378440857,319763.26332473755,188144.5944366455,290259.72340393066,254315.69579315183,544596.580368042
1-O-eicosanoyl-Cer(d18:1/16:0),0.42491609310058615,6.288536062957239,0.7749792484494267,0.378681076037368,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,Cer,40271.942752838135,48901.74348449707,79985.14546966553,45007.06316757202,38794.08239746094,38312.82266235352,32873.5220451355,24691.961532592773,32300.022270202637,30083.80215072632,28402.641986846924
1-O-lignoceroyl-Cer(d18:1/16:0),0.1269097249327126,7.21621227299881,0.06936130514145589,0.792268998380893,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,Cer,88004.54573059082,67973.50408935547,83376.7452545166,147981.1301498413,69986.14563369751,61918.36474227905,70929.20533752441,51119.96410369873,132110.53005218506,46688.28359603882,19274.341342926025
1-O-myristoyl-Cer(d18:1/16:0),-0.03288089752449061,6.544847354539793,0.004657278990748637,0.945591194875818,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,Cer,48533.30375289917,53109.183780670166,59416.14421081543,49433.40335083008,43722.223094940186,52282.40361404419,51031.74311065674,29999.60227203369,47704.262954711914,41838.42319107056,43334.30277252197
1-O-palmitoyl-Cer(d18:1/16:0),0.06958850614214057,6.417400739993726,0.020858467761513566,0.8851651851393535,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,Cer,42280.12342071533,51340.90389251709,57042.14367675781,44925.50315475464,38691.3226890564,37671.40256881714,41503.562911987305,30627.382152557373,38626.942794799805,38395.3628578186,50665.82361602783
1-O-stearoyl-Cer(d18:1/16:0),0.5728516003075079,6.551488795222854,1.404447631049976,0.2359803094231904,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,Cer,45861.98350524902,60920.96372222901,108743.84694671632,58732.24412536621,43761.362968444824,39907.92282104492,41409.22291183472,24739.361751556396,39577.362842559814,37099.262493133545,32940.40257644653
1-O-tricosanoyl-Cer(d18:1/16:0),0.10031382967637877,6.490780097176625,0.04334000871108401,0.8350863683250931,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,Cer,42481.76253890991,46389.883586883545,47993.662883758545,85672.64553451538,45309.76321029663,46462.44305038452,36770.78251647949,26529.861740112305,74690.7049446106,34747.30205154419,21537.66153717041
1-O-tricosanoyl-Cer(d18:1/18:0),-0.2993956577072989,4.456911363795409,0.3853514187802318,0.5347530710869529,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,Cer,9886.160655975342,11597.380840301514,10146.580741882324,12243.720832824709,8869.920574188232,12337.640785217283,10196.060813903809,9660.040676116943,10959.840721130371,10466.840755462646,12759.900817871094
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",-0.19517806034516527,13.181812489710998,0.16398985083797601,0.6855094101258945,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CAR,4456442.3203125,4906805.72265625,4376553.2001953125,5851287.732910156,5240845.183105469,5415979.7744140625,3846312.868652344,4968330.218261719,4577722.708984375,4138307.3325195312,2428656.8916015625
12:0 Cholesteryl ester,-0.44285313466117165,8.182206719450035,0.8415827759017702,0.3589444881746397,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,197889.75340270996,192208.85467529297,196251.07221984863,46403.643058776855,45492.56311035156,200241.51499938965,196464.39416503903,191143.31437683103,48828.74309921265,50371.44329452515,158999.98956298828
12:0 Cholesteryl ester_2,-0.42441631755017667,8.132755162916027,0.773212599742692,0.3792250400921514,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,188985.39365386963,191529.11226654053,181537.25415039065,43779.26319885254,49127.3635559082,185237.65446472168,194796.03422546387,182998.5949554443,46823.283615112305,44904.20314788818,163044.15301513672
14:0 Cholesteryl ester,-0.7417544700475381,7.526487152966546,2.344565498308839,0.1257206115411667,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,107592.74710083008,111948.30752563477,95863.90637207033,37085.942611694336,34170.76250457764,105610.56730651855,107985.74781799316,168315.25177001953,36109.662437438965,35977.82231903076,85346.74568939209
14:1 Cholesteryl ester,-0.7359950407338092,7.515350671058262,2.3086806371284183,0.12865321001011373,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,105616.70771789552,114755.32794189452,89815.826416015625,36128.2225151062,35097.92267227173,109536.30744934082,108556.44799804688,160008.3309020996,36776.74267196655,35528.5424118042,91728.62675476074
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,-0.3532929021318869,8.91179271142461,0.5363733535996289,0.46393962478657236,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,344296.18408203125,322049.3430175781,282733.9587402344,111289.70825195312,97976.74700927734,306373.8005371094,299731.0216064453,295858.30310058594,112840.5672302246,105376.86743164062,268696.0985107422
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,-0.40071508924795224,8.91096195197703,0.6895404973911354,0.40632071855840773,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,339298.6618652344,310006.2232055664,279367.6589355469,109775.18774414062,90888.4663696289,303455.8826904297,299659.14196777344,302988.9415283203,112044.8677368164,106071.48748779295,281328.5203857422
15:0 Cholesteryl ester,-0.48539750079881144,8.743036234558039,1.0102664005735278,0.3148390261439199,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,266142.63873291016,262806.1593017578,247914.3380126953,100862.94711303712,93542.90643310548,266860.19885253906,267613.71813964844,272503.86083984375,114434.50775146484,111157.34732055664,248100.27880859375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,-0.40639210042562823,8.928265952754467,0.7091521611073404,0.39972541760798946,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,325613.7829589844,314207.48400878906,285182.6004638672,111228.06823730467,104504.52752685548,297769.2003173828,290351.58154296875,308943.9620361328,124084.7282409668,119824.3484802246,282264.8193359375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,-0.37865492463565653,8.941823867404372,0.6159198691075289,0.43256754158263155,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,332167.22412109375,320285.1428222656,290290.8615722656,109240.58813476562,110252.7873840332,301401.74060058594,287615.060546875,309998.6005859375,119055.92895507812,120952.50833129884,287922.24072265625
15:1 Cholesteryl ester,-0.5135187015321995,8.790946644132973,1.1300874294529422,0.2877566907969087,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,268890.8377685547,271941.56005859375,254635.35803222656,99233.0864868164,98567.5069580078,284971.76025390625,274811.8981933594,285592.7198486328,114059.18821716309,115133.86862182616,255572.7781982422
16:0 Campesteryl ester | 17:0 Cholesteryl ester,-0.1414467173242947,9.166342937164414,0.08615755256937518,0.7691200771778783,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,599021.1501617432,364204.10803222656,448713.8888244629,151944.7908821106,56299.903301239014,351679.80712890625,393651.0072021485,180673.55206298828,528545.7402648926,78532.206298828125,121273.30940246582
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,-0.09527770410241615,9.168246884337412,0.03910075306885119,0.8432491935349684,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,609993.4200134277,360084.2857208252,463799.4299316406,156451.45086669922,55858.1439781189,337068.3601837158,390498.6081542969,178450.37184143066,527734.0662574768,75855.20571899414,125768.08905029295
16:2 Campesteryl ester,-0.11043458333314544,9.138147670301011,0.052527359467603674,0.818722425761455,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,625300.3235015869,333241.1462402344,437722.5107727051,152684.90951156616,56317.044551849365,337974.6212387085,383311.68368530273,173929.8528137207,523835.7752380371,71962.5654296875,117353.56846618652
"16:2 Cholesteryl ester, zymosteryl palmitoleate",-0.41147481792895035,8.920224136680012,0.726941624912115,0.39387632673534967,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,318423.20361328125,314303.2229003906,291071.2001953125,108236.02865600586,103669.7276916504,297905.1613769531,287947.70153808594,311092.66162109375,121413.6282043457,118804.1879272461,274790.7999267578
16:3 Campesteryl ester,-0.08597340509521344,9.127961223054713,0.03183796857422294,0.858383742271461,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,615577.74658203125,344850.82232666016,433388.474029541,157380.9925956726,58418.86434555054,331275.62284851074,373961.9270172119,172677.89218139648,515711.15589141846,74763.10524368286,114802.70822143556
16:3 Cholesteryl ester,-0.4293480505209157,8.869506645080152,0.79122885099423,0.37372880644086126,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,310266.3620605469,293686.3809814453,270211.9997558594,109016.26788330078,102616.72705078124,294535.90087890625,284794.66064453125,298385.6613769531,113194.88842773438,113224.94805908205,268572.4782714844
16:3 Stigmasteryl ester,-0.10013793808874595,9.4386669305239,0.04319090745229914,0.8353662187133462,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,727697.5627822876,427144.43183898926,529747.2166748047,192696.09077453613,87870.18571090698,411188.2872314453,460511.33279418945,242870.8171234131,562328.8849334717,103573.42597198486,174687.61349487305
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",-0.10813814895699239,9.645682390699406,0.05036617194491555,0.8224273279937444,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,855093.6213684082,510967.8601989746,612365.7075805664,204385.93420410156,84979.48628616333,499268.83602905273,530913.7354736328,301160.1184692383,602502.1294021606,107037.6085472107,197711.39486694336
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",-0.07979190129791093,9.62983736212233,0.02742489337833831,0.8684681036317045,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,852660.2135925293,521878.4792175293,601565.92333984375,199647.8141479492,89481.14645385742,479157.2927246094,521070.05615234375,297985.96279907227,599676.2238388062,98678.10720062256,197452.61389160156
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",-0.091784600467410965,9.608902381130832,0.0362868291704217,0.8489243783914932,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,842930.1578979492,510275.13067626953,586323.5788574219,197720.9366455078,81592.54598236084,485151.77462768555,520088.8929138184,296793.23989868164,562371.0579147339,102937.98823547363,201944.25617980957
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",-0.059507826065157934,9.619065258220079,0.015254571728291921,0.9017037316733576,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,862067.712310791,517304.1920166016,595576.9428405762,204358.05494308472,83035.78645706177,482734.01651000977,514852.2113342285,295495.2796020508,571522.3371124268,98115.54702758788,199674.9553833008
17:1 Cholesteryl ester; 16:1 Campesteryl ester,-0.1459743011272152,9.177585422792374,0.0917591004949827,0.7619526229143015,0.9972693009725494,5,5,Genotype_ 5xFAD | Brain Region_ diencephalon,Genotype_ 5xFAD | Brain Region_ hippo,CE,611723.5156555176,350131.3035583496,446275.3489227295,159345.89164733887,60428.163719177246,346586.8232803345,398959.0480499267,182229.13215637207,539455.1224517822,80697.56628417969,122837.10720825195
