lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,10xBlank_01202023
(11Z)-eicoseneoylcarnitine,-0.10565635287053658,11.4456056503709,0.05128544237231836,0.8208414158552874,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CAR,1461574.3852539062,1395572.740234375,1457662.7182617188,1408961.5532226562,1498962.5366210938,1640511.7080078125,1468215.3647460938,1455302.6083984375,1517652.2963867188,1770335.1005859375
"(13Z,16Z)-docosadienoylcarnitine",-0.16899790938169645,11.448323981593632,0.13095208844151787,0.7174469163962778,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CAR,1420361.1004638672,1281745.7750854492,1508125.2795410156,1349872.0334472656,1468592.0839233398,1801727.1483154297,1494908.485961914,1415503.9500732422,1514023.7989501953,1846519.2565917969
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",-0.16896895477341783,12.055373608351752,0.13090747832279703,0.7174929837410022,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CAR,2184246.087890625,2205746.576171875,2470854.001464844,2018780.289794922,2392796.6845703125,2414485.858154297,2782494.2834472656,2515677.2600097656,2177589.061767578,2077579.7651367188
"(5Z,8Z)-tetradecadienoylcarnitine",0.4004201914836806,15.595059178150672,0.744033690610447,0.3883717991250497,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CAR,29948597.337890625,26648913.84375,16632944.549316406,65346110.588378906,24583201.19921875,20847168.3828125,28155528.892578125,22671427.51611328,34723637.06933594,1785924.2541503906
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",-0.2129155201564287,11.27413723246972,0.20755512957657635,0.6486904544378048,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CAR,1260946.1431884766,1137990.1825561523,1271184.7647705078,1143505.6591796875,1291661.7513427734,1585961.4837646484,1354965.4031982422,1177180.6912841797,1447871.6550292969,1684194.2908935547
"(7Z,10Z)-hexadecadienoylcarnitine",-0.09040198845350211,11.761648489053403,0.03756249683647184,0.8463242915034186,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CAR,1770713.409423828,1717515.307861328,1811327.671875,1667394.3842773438,1929676.493652344,1850445.7600097656,1793115.135986328,1852051.1657714844,1707312.4143066406,2578376.0740966797
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",-0.06550029163908927,14.925025402201303,0.019733143230897143,0.8882849354250953,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CAR,16470506.173828123,19040901.25390625,19527801.967285156,19669121.095703125,15425044.841796877,17616816.35986328,15560660.842773438,23578611.47607422,23004359.768066406,2155070.9477539062
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",-0.0658651547674797,13.658561298820436,0.019953381802205294,0.8876673604458268,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CAR,6556788.756103516,7579394.700439453,7847061.452392578,7985043.280273437,6473824.611083984,7022553.862060547,6461878.519042969,9142425.646728516,9132833.381347656,2817110.0759277344
(9Z)-3-hydroxyoctadecenoylcarnitine,-0.06118375947402765,15.011099124083193,0.01722006893411221,0.8955971139307428,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CAR,17311510.770996094,20298427.107910156,20722991.56201172,21033323.51171875,16167813.693847656,18424387.296875,16605329.997558594,25047980.522460938,24543649.78955078,2395006.220703125
1-O-behenoyl-Cer(d18:1/16:0),-0.007601527935762572,6.109256240046485,2.661636685843405e-4,0.986983471212805,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,Cer,36692.462463378906,37616.98265457153,47163.46329879761,38684.44284820557,34723.00240325928,36657.50228881836,39095.64287948608,48923.5634727478,37555.882331848145,22294.401321411133
1-O-carboceroyl-Cer(d18:1/16:0),0.038036557118420515,7.4129655742465825,0.006672262188658351,0.9348980685156604,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,Cer,94097.04789352416,71634.02543640137,152652.411567688,90605.04538345335,95524.1658706665,72723.06428146362,87146.86511993408,155467.693359375,73221.06582641602,49086.90395736694
1-O-carboceroyl-Cer(d18:1/18:0),0.10955591364237618,5.3780003916865455,0.05543497910946371,0.8138623225116423,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,Cer,24564.40146255493,21907.801445007324,21279.241298675537,21167.64161300659,22350.521404266357,19638.42140197754,19103.36149597168,21265.18152618408,19184.941383361816,32565.38228225708
1-O-cerotoyl-Cer(d18:1/16:0),0.006991823105975319,7.278300659541897,2.2527526925841812e-4,0.9880248623414852,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,Cer,77182.18599319458,67614.68476867676,112079.00816345216,75406.60494613647,77170.1263885498,71760.08392715454,66176.30462646484,109173.28615570068,77536.20505905151,104272.36771011353
1-O-cerotoyl-Cer(d18:1/18:0),0.016683367474985087,8.96321218610225,0.0012829807765228907,0.971426905418254,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,Cer,261576.97959136963,228328.85834503177,223601.65310287476,227696.1364517212,260292.91549301147,226606.41647338867,224349.4774131775,218882.65203475952,217872.79592895508,544596.580368042
1-O-eicosanoyl-Cer(d18:1/16:0),-0.4290679329683302,6.2955935093573165,0.8359255929400433,0.3605646593116409,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,Cer,36027.762283325195,42948.363021850586,42736.36308288574,30331.58203125,40271.942752838135,48901.74348449707,79985.14546966553,45007.06316757202,38794.08239746094,28402.641986846924
1-O-lignoceroyl-Cer(d18:1/16:0),-6.108375046290782e-5,7.258077235118523,1.72312866197899e-8,0.999895263293433,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,Cer,84782.36605834961,66330.18539047241,144407.71041107178,81413.10648345947,88004.54573059082,67973.50408935547,83376.7452545166,147981.1301498413,69986.14563369751,19274.341342926025
1-O-myristoyl-Cer(d18:1/16:0),0.014814829185471917,6.530247857837609,0.001011576838379824,0.9746273233687793,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,Cer,54183.54351043701,53711.363929748535,49155.66358947754,50361.163749694824,48533.30375289917,53109.183780670166,59416.14421081543,49433.40335083008,43722.223094940186,43334.30277252197
1-O-palmitoyl-Cer(d18:1/16:0),-0.13551925544367782,6.395015365066531,0.08428939856855777,0.7715665702191759,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,Cer,42159.56315231323,46103.00323486328,43331.863063812256,40639.18308258057,42280.12342071533,51340.90389251709,57042.14367675781,44925.50315475464,38691.3226890564,50665.82361602783
1-O-stearoyl-Cer(d18:1/16:0),-0.5041672228957833,6.5877511985435975,1.1504252725299011,0.2834601428914499,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,Cer,41978.902713775635,47592.20374298096,53856.84366226196,37718.002490997314,45861.98350524902,60920.96372222901,108743.84694671632,58732.24412536621,43761.362968444824,32940.40257644653
1-O-tricosanoyl-Cer(d18:1/16:0),-0.01573822439669336,6.519377913431381,0.001140717149610282,0.9730569668591577,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,Cer,47917.14291381836,44551.783615112305,79700.04627227783,46306.862968444824,42481.76253890991,46389.883586883545,47993.662883758545,85672.64553451538,45309.76321029663,21537.66153717041
1-O-tricosanoyl-Cer(d18:1/18:0),0.061146516604099144,4.344964108005157,0.017246735698827287,0.8955167700641394,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,Cer,11874.98077774048,11112.440662384031,11614.500896453856,10037.64073562622,9886.160655975342,11597.380840301514,10146.580741882324,12243.720832824709,8869.920574188232,12759.900817871094
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",-0.06269421123778153,13.05355824404334,0.018080010096559573,0.8930373146578275,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CAR,4612804.606933594,5059683.297363281,5089087.544433594,4672021.863769531,4456442.3203125,4906805.72265625,4376553.2001953125,5851287.732910156,5240845.183105469,2428656.8916015625
12:0 Cholesteryl ester,-0.0803923029739259,7.933359962188907,0.029712620831560344,0.8631439103628344,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,206443.9545135498,187842.8329925537,54702.864181518555,53449.14390563965,197889.75340270996,192208.85467529297,196251.07221984863,46403.643058776855,45492.56311035156,158999.98956298828
12:0 Cholesteryl ester_2,-0.07052499890497946,7.901159586258513,0.022872856628964655,0.8797881736053514,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,198899.35383605957,189600.57427978516,50913.96357727051,49618.86361312866,188985.39365386963,191529.11226654053,181537.25415039065,43779.26319885254,49127.3635559082,163044.15301513672
14:0 Cholesteryl ester,-9.946886468171612e-5,7.146924076466939,4.559115041047335e-8,0.9998296350172271,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,107908.76762390137,103784.52690124512,43653.82319641113,49058.56335067749,107592.74710083008,111948.30752563477,95863.90637207033,37085.942611694336,34170.76250457764,85346.74568939209
14:1 Cholesteryl ester,-0.036294232089913094,7.131777719519422,0.00606334754411364,0.9379334521939049,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,101516.40711975098,103069.94741821288,42685.24269104004,45816.14336395264,105616.70771789552,114755.32794189452,89815.826416015625,36128.2225151062,35097.92267227173,91728.62675476074
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,-0.20508828797455353,8.665178647639257,0.19262314037769102,0.6607423092910439,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,289878.5213623047,287886.201171875,121756.2882385254,94190.34649658205,344296.18408203125,322049.3430175781,282733.9587402344,111289.70825195312,97976.74700927734,268696.0985107422
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,-0.16062451607443787,8.65948010033875,0.11832675155892503,0.7308563956763512,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,292477.3010253906,290238.64123535156,120988.00839233398,93845.26657104492,339298.6618652344,310006.2232055664,279367.6589355469,109775.18774414062,90888.4663696289,281328.5203857422
15:0 Cholesteryl ester,-0.07795195759103427,8.480909661524809,0.02793834604381118,0.8672538525500386,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,259193.8380126953,259023.73706054688,110598.20782470705,99013.02743530272,266142.63873291016,262806.1593017578,247914.3380126953,100862.94711303712,93542.90643310548,248100.27880859375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,-0.14265021845714948,8.68096958948562,0.09337931484333328,0.7599242278521474,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,296957.74169921875,290135.00103759766,120349.36853027344,108678.26788330078,325613.7829589844,314207.48400878906,285182.6004638672,111228.06823730467,104504.52752685548,282264.8193359375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,-0.1441796597678599,8.708060404453288,0.09538787759083789,0.7574361806058251,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,299675.64099121094,298718.8214111328,121086.38803100586,111295.56848144533,332167.22412109375,320285.1428222656,290290.8615722656,109240.58813476562,110252.7873840332,287922.24072265625
15:1 Cholesteryl ester,-0.07523362086939382,8.51606610679378,0.026025832281447947,0.8718372468805485,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,268055.0593261719,267581.09765625,112505.0086364746,97831.46688842772,268890.8377685547,271941.56005859375,254635.35803222656,99233.0864868164,98567.5069580078,255572.7781982422
16:0 Campesteryl ester | 17:0 Cholesteryl ester,-0.4802778919017022,8.882348705177916,1.0451531538437848,0.3066260058585609,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,482661.26905822754,230368.095413208,157669.31104660034,44475.38328170776,599021.1501617432,364204.10803222656,448713.8888244629,151944.7908821106,56299.903301239014,121273.30940246582
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,-0.5380173793399734,8.887674633139998,1.308163427082036,0.252727446263155,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,457017.1744232178,232697.2156829834,162404.1529197693,42214.92322540283,609993.4200134277,360084.2857208252,463799.4299316406,156451.45086669922,55858.1439781189,125768.08905029295
16:2 Campesteryl ester,-0.48194065362317196,8.867519361295969,1.052325593286696,0.3049720892087176,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,468778.7299804687,229844.91590881348,165206.61423492432,43435.38317108154,625300.3235015869,333241.1462402344,437722.5107727051,152684.90951156616,56317.044551849365,117353.56846618652
"16:2 Cholesteryl ester, zymosteryl palmitoleate",-0.17333705025683388,8.65833982163571,0.13774142596230377,0.7105367449011251,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,286850.72009277344,293157.0216064453,113731.94830322266,101456.2074584961,318423.20361328125,314303.2229003906,291071.2001953125,108236.02865600586,103669.7276916504,274790.7999267578
16:3 Campesteryl ester,-0.5381320734054803,8.850549021492284,1.3087139084613852,0.25262764129210746,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,456562.5186233521,217033.97341918945,160582.991481781,41053.32256317139,615577.74658203125,344850.82232666016,433388.474029541,157380.9925956726,58418.86434555054,114802.70822143556
16:3 Cholesteryl ester,-0.1448199287054464,8.609922414745865,0.09623489755904302,0.7563955631589974,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,273550.51916503906,280845.88049316406,118023.78784179688,104182.76788330078,310266.3620605469,293686.3809814453,270211.9997558594,109016.26788330078,102616.72705078124,268572.4782714844
16:3 Stigmasteryl ester,-0.5017983431769947,9.172523284841766,1.1398322146342252,0.28568778419740226,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,542890.2322692871,303466.01583862305,177535.57064819336,70479.92538833618,727697.5627822876,427144.43183898926,529747.2166748047,192696.09077453613,87870.18571090698,174687.61349487305
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",-0.5632633515294366,9.354232192055585,1.4321411920682294,0.23141531246851274,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,609582.4785461426,339927.88663482666,196164.55129241943,63067.42455291748,855093.6213684082,510967.8601989746,612365.7075805664,204385.93420410156,84979.48628616333,197711.39486694336
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",-0.5357685536118024,9.361780549690957,1.2973895587856532,0.25469060180222347,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,612892.9210205078,352186.2632141113,199214.2363128662,66339.54444122314,852660.2135925293,521878.4792175293,601565.92333984375,199647.8141479492,89481.14645385742,197452.61389160156
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",-0.5279195665152508,9.33840298871965,1.2601061611203477,0.261630996695064,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,604201.1010437012,344977.4267883301,195620.6760406494,66619.54499816895,842930.1578979492,510275.13067626953,586323.5788574219,197720.9366455078,81592.54598236084,201944.25617980957
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",-0.5736230032392156,9.348422903139847,1.4845831611310132,0.2230588187101819,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,601233.5832366943,331640.3845214844,200966.05520629883,63674.6642036438,862067.712310791,517304.1920166016,595576.9428405762,204358.05494308472,83035.78645706177,199674.9553833008
17:1 Cholesteryl ester; 16:1 Campesteryl ester,-0.5098263286302646,8.881202117491899,1.1761692674972437,0.27813723855956773,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,471428.01194763184,218880.09548187256,165967.61249160767,46261.54291534424,611723.5156555176,350131.3035583496,446275.3489227295,159345.89164733887,60428.163719177246,122837.10720825195
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,-0.49986381063850777,8.827542404342484,1.1311545856660814,0.2875291976429691,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,460792.76985168457,206078.07276916504,160566.41161346436,45343.343311309814,597038.2792663574,335558.16551208496,423873.5100250244,151612.76976776123,55816.66398239136,119584.48794555664
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",-0.7733568379614741,8.764762147214705,2.671261628616776,0.10217499939911731,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,278488.0610809326,250274.46084594727,88312.66635894775,66861.42481994629,579479.3815917969,415102.8081359863,312724.2644042969,103781.74765777588,79692.8857498169,232670.8377380371
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",-0.7421687985691058,8.773998029308908,2.464260880542497,0.1164624747749675,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,273423.89978027344,259398.0389404297,92443.26620483398,70337.48574829102,581549.4797363281,415805.8867492676,298301.0598449707,106387.14749145508,80918.7451248169,241449.8783721924
