lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Hippo10x_01192023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Hippo10x_01192023,10xBlank_01202023
1-O-behenoyl-Cer(d18:1/16:0),0.02139389404462305,6.114881847615329,0.0013056958305242006,0.971175182325306,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CER,42416.12278747559,30153.32243347168,25673.94190979004,38013.282623291016,29481.562602996823,31600.96230316162,38293.78224563599,37147.423122406006,22294.401321411133
1-O-carboceroyl-Cer(d18:1/16:0),-0.10045907048275292,7.454309848906274,0.028989781006202975,0.8648026341139811,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CER,63292.42442703247,81261.78657150269,59303.04391098023,157176.4503211975,59104.12437057495,61262.46444320679,92696.36716842651,134329.46858596802,49086.90395736694
1-O-carboceroyl-Cer(d18:1/18:0),0.10974752911527522,5.61450911570233,0.03417622670345111,0.8533324660884775,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CER,23518.86159515381,24620.98153686523,18542.74126815796,20872.98154449463,19351.66135406494,21668.40147781372,23203.34190750122,21004.281448364258,32565.38228225708
1-O-cerotoyl-Cer(d18:1/16:0),-0.06270002963180023,7.571249227314214,0.01126947417003521,0.9154571685926244,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CER,71531.56502151489,94600.40604019164,48290.72343444824,129686.40884780884,90206.18699645996,82006.22617340088,104129.10850906372,99503.34856796265,104272.36771011353
1-O-cerotoyl-Cer(d18:1/18:0),-4.405842691105119e-4,9.306942394429798,5.546371539821848e-7,0.9994057837822515,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CER,242689.6378440857,319763.26332473755,188144.5944366455,290259.72340393066,254315.69579315183,280969.05976486206,300359.0815124512,259670.5165176392,544596.580368042
1-O-eicosanoyl-Cer(d18:1/16:0),0.058625978367355905,6.0770428043722635,0.009783253112701118,0.9212094680503397,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CER,38312.82266235352,32873.5220451355,24691.961532592773,32300.02227020264,30083.80215072632,29833.582180023197,35027.162464141846,34894.54271697998,28402.641986846924
1-O-lignoceroyl-Cer(d18:1/16:0),-0.0985693499670963,7.184992186712159,0.027906389935083098,0.8673290883573891,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CER,61918.36474227905,70929.20533752441,51119.96410369873,132110.53005218506,46688.28359603882,54778.02419662476,81422.12617874146,112472.52647018433,19274.341342926025
1-O-myristoyl-Cer(d18:1/16:0),-0.02845299190814706,6.588645267091089,0.0023161985758648473,0.9616151073423705,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CER,52282.40361404419,51031.74311065674,29999.60227203369,47704.26295471192,41838.42319107056,46942.16307449341,50195.963748931885,49277.52336502075,43334.30277252197
1-O-palmitoyl-Cer(d18:1/16:0),-0.007986012964588595,6.420888846451478,1.8224982829906367e-4,0.9892288906762762,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CER,37671.40256881714,41503.562911987305,30627.382152557373,38626.942794799805,38395.3628578186,41863.74258804321,41158.282787323,40904.52328491211,50665.82361602783
1-O-stearoyl-Cer(d18:1/16:0),0.09255329127948518,6.2515700660203075,0.02433329364109227,0.8760398587432061,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CER,39907.92282104492,41409.22291183472,24739.3617515564,39577.36284255981,37099.262493133545,34317.60231781006,35969.52249908447,40138.9030418396,32940.40257644653
1-O-tricosanoyl-Cer(d18:1/16:0),0.12594561379074484,6.40393574387939,0.044967098786987236,0.8320645385610196,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CER,46462.44305038452,36770.78251647949,26529.861740112305,74690.7049446106,34747.30205154419,36280.562450408936,43573.80286026001,47277.84367752075,21537.66153717041
1-O-tricosanoyl-Cer(d18:1/18:0),0.09709331872397575,4.577259687462294,0.026766546551414194,0.8700422273518335,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CER,12337.640785217283,10196.060813903809,9660.040676116943,10959.840721130371,10466.840755462646,10864.320823669434,11811.08076095581,10880.9607963562,12759.900817871094
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",0.25605855761364793,13.192112621931372,0.18433003028369743,0.6676781884382731,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,AC,5415979.774414063,3846312.868652344,4968330.218261719,4577722.708984375,4138307.3325195312,4530618.3974609375,4468202.2490234375,4224210.512207031,2428656.8916015625
12:0 Cholesteryl ester,0.24610439644343116,8.298147476240272,0.17038628641603282,0.6797687306984483,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,200241.51499938965,196464.39416503903,191143.31437683103,48828.74309921265,50371.44329452515,186232.6936645508,183007.0717926025,49461.10324478149,158999.98956298828
12:0 Cholesteryl ester_2,0.16498178018854082,8.267013719634939,0.07697596733487444,0.7814381011336616,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,185237.65446472168,194796.03422546387,182998.59495544437,46823.28361511231,44904.20314788818,189840.2132263184,177894.63215637207,54207.28388977051,163044.15301513672
14:0 Cholesteryl ester,0.4129551569120441,7.701036544198059,0.4742358762841832,0.4910448945652801,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,105610.56730651855,107985.74781799316,168315.25177001953,36109.662437438965,35977.82231903076,104420.42792510986,109004.62704467772,49358.223373413086,85346.74568939209
14:1 Cholesteryl ester,0.38046889897051145,7.697478866418445,0.4034887911482201,0.5252929778776673,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,109536.30744934082,108556.44799804688,160008.3309020996,36776.74267196655,35528.5424118042,103682.6265411377,112287.36878967284,47979.98323059082,91728.62675476074
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,0.3173771217439817,8.976461910525295,0.2820082841462863,0.5953879273500792,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE | CE,306373.8005371094,299731.0216064453,295858.30310058594,112840.5672302246,105376.86743164062,274064.7186279297,268143.7779541016,100182.9266052246,268696.0985107422
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,0.32002977585974307,8.994250072046558,0.28668983635725453,0.5923496116348219,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE | CE,303455.8826904297,299659.14196777344,302988.9415283203,112044.8677368164,106071.48748779295,278048.1408691406,271687.5393066406,96428.72689819336,281328.5203857422
15:0 Cholesteryl ester,0.27525150466717535,8.871160585459878,0.21272226424662222,0.644642037180546,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,266860.19885253906,267613.71813964844,272503.8608398437,114434.50775146484,111157.34732055664,258305.59765625,248950.81713867188,102162.18740844728,248100.27880859372
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,0.27935040806414624,9.026165538503438,0.21904477728458005,0.639768715940299,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE | CE,297769.2003173828,290351.58154296875,308943.9620361328,124084.7282409668,119824.3484802246,286384.1994628906,276976.9796142578,111654.76879882812,282264.8193359375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,0.25769383497908493,9.035898548690811,0.18666931381267204,0.6657032977426129,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE | CE,301401.74060058594,287615.060546875,309998.6005859375,119055.92895507812,120952.50833129884,293948.66052246094,278041.7590332031,112872.2681274414,287922.24072265625
15:1 Cholesteryl ester,0.31791495270785397,8.916786516494904,0.2829542742606179,0.5947713863213447,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,284971.76025390625,274811.8981933594,285592.7198486328,114059.18821716309,115133.86862182616,261043.47790527344,247970.59814453125,107635.2876586914,255572.7781982422
16:0 Campesteryl ester | 17:0 Cholesteryl ester,1.0685112903067135,8.92421440777245,3.0105059089501083,0.08272646770868365,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE | CE,351679.80712890625,393651.0072021485,180673.55206298828,528545.7402648926,78532.206298828125,249489.0998535156,160506.25076293945,47949.46321105957,121273.30940246582
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,1.097279296874634,8.900634686490163,3.1665755837064467,0.07515988066849351,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE | CE,337068.3601837158,390498.6081542969,178450.37184143066,527734.0662574768,75855.20571899414,240007.47801208496,151672.46923828125,50140.58383560181,125768.08905029295
16:2 Campesteryl ester,1.107510391893452,8.873479655374386,3.222913857913454,0.0726142634996946,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,337974.6212387085,383311.68368530273,173929.8528137207,523835.7752380371,71962.5654296875,239180.9777069092,147526.39030456543,45947.08301925659,117353.56846618652
"16:2 Cholesteryl ester, zymosteryl palmitoleate",0.3247492007190543,9.00656940624081,0.29511190322045877,0.5869631716730023,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,297905.1613769531,287947.70153808594,311092.6616210937,121413.6282043457,118804.1879272461,276360.1994628906,269447.4189453125,107576.0082397461,274790.7999267578
16:3 Campesteryl ester,1.1113711363796162,8.851338260310941,3.2442859417233194,0.0716729150022164,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,331275.62284851074,373961.9270172119,172677.89218139648,515711.15589141846,74763.10524368286,234669.65798187256,144066.910446167,46587.88315200806,114802.70822143556
16:3 Cholesteryl ester,0.304923987835024,8.967984720066513,0.26053372684464193,0.609753714260816,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,294535.90087890625,284794.66064453125,298385.6613769531,113194.88842773438,113224.94805908205,274137.7209472656,262840.2385253906,104622.92736816406,268572.4782714844
16:3 Stigmasteryl ester,0.946067864801332,9.210671852987687,2.3857358932518764,0.12244721961339929,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,411188.2872314453,460511.3327941895,242870.8171234131,562328.8849334717,103573.42597198486,301400.6235656738,207753.87649536133,79884.74600219727,174687.61349487305
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",0.9467705432890996,9.419587305778661,2.389138852495307,0.12218091695315789,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE | CE,499268.83602905273,530913.7354736328,301160.1184692383,602502.1294021606,107037.6085472107,360051.7068176269,252912.35702514648,69250.00426864624,197711.39486694336
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",0.9029635201820391,9.400990019241583,2.1813918532097887,0.1396880831090259,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE | CE,479157.2927246094,521070.05615234375,297985.96279907227,599676.2238388062,98678.10720062256,372578.784576416,249793.495513916,65956.20474243164,197452.6138916016
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",0.8633999943531595,9.395674517747702,2.001158632832812,0.15717901998033001,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE | CE,485151.7746276856,520088.8929138184,296793.23989868164,562371.0579147339,102937.98823547363,372894.063873291,253252.07821655276,72498.68489837646,201944.2561798096
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",0.912708302601861,9.379366808060283,2.22686503962359,0.13562879186258944,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE | CE,482734.01651000977,514852.2113342285,295495.2796020508,571522.3371124268,98115.54702758788,350154.3428039551,255931.9373779297,67602.62491607666,199674.9553833008
17:1 Cholesteryl ester; 16:1 Campesteryl ester,1.1481682993744935,8.921641899932249,3.4510827172912286,0.06321035018382838,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,346586.8232803345,398959.0480499268,182229.13215637207,539455.1224517822,80697.56628417969,243419.6374053955,148317.23024749756,45423.58345794678,122837.10720825195
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,1.0833109072160958,8.85672440066064,3.090360519038086,0.0787573570645232,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,330769.7475128174,378362.88427734375,172700.15437316897,506378.6541099548,74885.58505630493,236172.8360900879,147790.75193023682,48443.423652648926,119584.48794555664
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",0.4304799826465543,8.698289473856285,0.5146991803158016,0.47311166208904465,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE | CE,265665.31997680664,250481.35647583008,273335.97845458984,62059.30449676514,64375.98403930664,222433.1926574707,217670.1551208496,58456.8840713501,232670.8377380371
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",0.417484454901632,8.715492681014219,0.48454598168063967,0.48637035745392215,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE | CE,278562.02059936523,251506.4744873047,265981.2977294922,66287.6245727539,65895.02463531494,230665.59564208984,212685.6136932373,61869.20440673828,241449.8783721924
18:1 Campesteryl ester,0.34487830672972336,8.715274272970106,0.332365411293722,0.5642695566694631,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,266465.2412109375,245670.0968322754,280101.3180847168,56779.70411682129,60489.72505187988,240928.99647521973,227796.5161743164,60167.68382263184,225617.7167816162
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",0.8429772201719979,9.447304787494124,1.910900818191294,0.16686322865124475,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,498600.83795166016,542809.4772644043,318725.1033630371,552400.2912902832,94015.80750274658,381474.1481933594,274696.0990600586,71782.84466552734,224405.7758178711
18:3 Campesteryl ester,0.3831723726361507,8.54195787224565,0.4091708881314844,0.5223906300078592,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,237615.17587280276,228000.55624389648,240460.916885376,57197.34386444092,61311.203605651855,206521.37365722656,195902.6728515625,58889.22416687012,197820.75631713867
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",0.8235142031342785,9.50786358334106,1.8266615452448605,0.17652237657520697,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,507301.7349853516,540377.458404541,337561.1262207031,573815.3596115112,101688.64781570436,400381.6452026367,283924.2213745117,76460.92622375488,254542.4615478516
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",0.31437920898003563,9.416227210780644,0.27676373506255914,0.5988302675555265,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE | CE,437464.8122558594,402255.1103515625,402006.4881591797,144071.72985839844,158509.9910888672,391348.7673339844,354341.3049316406,139586.21026611328,328716.4434814453
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",0.33167472515612023,9.40911932567876,0.30768705604350544,0.5791029803898499,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE | CE,431716.41259765625,397131.4901123047,402571.6882324219,148464.85083007812,160089.11193847656,382867.525756836,352302.1843261719,137866.00958251953,329537.4803466797
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",0.2280141562731562,11.495685725813507,0.14643545177023043,0.7019653107672166,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,AC,1083593.9168701172,1316100.0698242188,1280694.2133789062,1321934.1652832031,1328133.6027832031,1289018.3786621094,1210873.5478515625,1173183.5369873047,1930786.4631347656
20:0 Campesteryl ester,0.5588898475224426,9.92233853462941,0.8593368705296598,0.35392433018168457,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,726330.0109863281,579660.4241943359,684587.46630859375,186229.012878418,183809.9330444336,469695.3544921875,501893.65234375,197502.67498779297,317584.8635253906
20:1 Campesteryl ester,0.5560807509154949,9.912673022639018,0.8509021569225297,0.35629724719620726,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,711627.2513427734,574620.6032714844,681386.88427734375,190459.41339111328,188184.5531616211,461297.6511230469,503761.7349853516,199627.7740478516,310572.0031738281
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",0.3281958847693187,9.447059199663983,0.30133889394619473,0.5830442695442729,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,441135.7902832031,413777.4302978516,411261.06884765625,157066.20965576172,160391.5714111328,396489.7082519531,359091.7648925781,142767.74981689453,336350.2844238281
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",0.33731392842715985,9.427773111386532,0.3181145870748878,0.5727429181570983,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,427770.54821777344,412817.9084472656,404912.9471435547,156799.3109741211,164944.91046142578,380589.8077392578,355941.384765625,146173.73016357422,332064.9237060547
20:3 Campesteryl ester,0.39249799573729405,10.19776666291746,0.4290515444308767,0.5124547082510117,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,651394.2424316406,620419.22412109375,818735.2111816406,256280.87823486328,276048.0584716797,581533.5655517578,624555.2194824219,273740.8601074219,532591.3153076172
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",0.35588095428618116,9.206845171801337,0.35364099951448225,0.55205924981412835,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,364076.984375,342376.0046386719,346876.38415527344,141291.849609375,159077.29052734375,316081.24267578125,295324.5201416016,140183.13012695312,281844.6805419922
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",0.437266408442253,9.425201956641393,0.5307979529225122,0.46627157661239665,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,386609.8872833252,384790.6307067871,438562.8924407959,131670.3087234497,149449.1901550293,348575.3070983887,324714.06285095215,131112.8683166504,433173.9257125855
20:5 Cholesteryl ester,0.3321429382032332,10.457929586187701,0.3085478494858762,0.5785726528964851,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,736159.460723877,768196.9700622559,914103.2744140624,243411.83782958984,267082.9399795532,771799.6127319336,714395.755935669,235360.5344581604,911030.2897338868
22:0 Campesteryl ester,0.49166902983973243,9.129067947318179,0.6684204301664067,0.4136028595503377,0.999979992308429,5,3,Genotype_ 5xFAD | Brain Region_ hippo,Genotype_ WT | Brain Region_ hippo,CE,340675.8217391968,367210.848815918,477027.76877594,80513.78633880615,67158.64447784424,335009.5023803711,319311.84059143066,69838.88446426392,105651.5481300354
