lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M1-WT-cortex10x_01202023,DOD99-M2-WT-cortex10x_01202023,M5FAD173-WT-Cortex10x_01192023,DOD100-M1-WT-diencephalon10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,M5FAD173-WT-Diencephalon10x_01192023,10xBlank_01202023
"(5Z,8Z)-tetradecadienoylcarnitine",1.0921580651923641,15.948152800840184,3.0917099651452364,0.07869207349777277,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CAR,75825428.853515625,29749622.64453125,40969587.21484375,15439015.444335938,37982357.49316406,18655737.474609375,1785924.2541503906
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",0.09410191016137077,11.42091093920962,0.023488421351402167,0.8781937739355206,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CAR,1355693.1580810547,1244091.2459716797,1216621.2817382812,1148186.4895019531,1091271.1774902344,1370722.953857422,1684194.2908935547
"(7Z,10Z)-hexadecadienoylcarnitine",0.08791035225177793,11.969676122337592,0.02049968417850323,0.8861503089184505,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CAR,1808904.2744140625,1820135.4990234375,1873401.7072753904,1685194.9013671875,1660596.78125,1881966.813232422,2578376.0740966797
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",-0.2570305403138722,14.742725023698508,0.17503740544867696,0.675673167512004,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CAR,10508922.293945312,17918375.471679688,14634731.657226562,24808766.91748047,19723779.49658203,7436995.044921875,2155070.9477539062
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",-0.14129654226241942,13.541866531103443,0.05294492479429902,0.8180158972525552,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CAR,4689957.828857422,7210002.552490234,6411734.287353516,8561014.840332031,7636011.399658203,4199385.319580078,2817110.0759277344
(9Z)-3-hydroxyoctadecenoylcarnitine,-0.24948569618214247,14.82216076018917,0.1649247592694496,0.6846622966349432,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CAR,11026079.612304688,19093728.143554688,15453683.57763672,25626555.60546875,21029996.708984375,8047711.172851563,2395006.220703125
1-O-behenoyl-Cer(d18:1/16:0),0.01183531735208696,6.13365794362179,3.715805066804023e-4,0.9846205916786306,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,33323.14264297485,36546.822441101074,39283.802684783936,41078.122703552246,41187.70300292969,27728.001831054688,22294.401321411133
1-O-carboceroyl-Cer(d18:1/16:0),0.5195584378870359,7.453295576896527,0.7122861798761734,0.3986858987549058,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,119585.8681526184,86770.38639831543,115558.20627593994,63072.24443435669,96314.38687133788,71027.58568572998,49086.90395736694
1-O-carboceroyl-Cer(d18:1/18:0),0.25511396665983743,5.608123372950739,0.17241261185631626,0.6779764840924782,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,24480.881874084473,23461.22156906128,21810.941791534424,16931.921321868896,20784.1814994812,21460.881801605225,32565.38228225708
1-O-cerotoyl-Cer(d18:1/16:0),0.1771903876579217,7.582286491206238,0.08323882926015347,0.7729553036437066,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,100954.5672607422,83571.66579055786,98255.28512954712,63247.98458099365,78392.94470977783,111197.36640167236,104272.36771011353
1-O-cerotoyl-Cer(d18:1/18:0),0.26712470388067877,9.361790330781577,0.18903325711119123,0.6637224500182429,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,304801.284576416,276514.42039108276,285917.71657562256,157930.9115447998,228741.71733093265,339689.64263916016,544596.580368042
1-O-eicosanoyl-Cer(d18:1/16:0),-0.0720771482213657,6.295003186249891,0.013779959790895191,0.9065525347277796,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,38517.28271102905,40629.2631149292,37163.8623008728,40477.462688446045,47302.34348678589,36310.98204803467,28402.641986846924
1-O-lignoceroyl-Cer(d18:1/16:0),0.4404051844247887,7.207412647492577,0.5125576425675719,0.4740337633702457,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,104923.82834243774,79647.96742630005,97751.66666412354,70156.98491287231,90403.96683502196,53195.04327392578,19274.341342926025
1-O-myristoyl-Cer(d18:1/16:0),0.15242448901354186,6.6195665763407945,0.06160441801239358,0.8039778303242597,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,55029.08363342285,50479.26407623291,45911.8233833313,44181.50326156616,49011.963397979736,45070.7234954834,43334.30277252197
1-O-palmitoyl-Cer(d18:1/16:0),0.06271155165175513,6.510027619153086,0.010431841143997644,0.9186484209493211,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,41975.34289932251,43672.76354598999,43771.94339752197,39518.76318740845,44456.16331863403,41486.06307220459,50665.82361602783
1-O-stearoyl-Cer(d18:1/16:0),-0.10288082058533746,6.549377399694494,0.028072488999782763,0.8669385148249035,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,44340.323066711426,49289.16366195679,44351.12351226807,51899.823543548584,56296.36441421509,42019.50308609009,32940.40257644653
1-O-tricosanoyl-Cer(d18:1/16:0),0.20962152422132582,6.383812925776346,0.11646399924381967,0.7329016687531658,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,45042.482692718506,47179.88382720947,49861.92351913452,42341.26301193237,47969.623191833496,34593.72241592407,21537.66153717041
1-O-tricosanoyl-Cer(d18:1/18:0),0.22296160577074964,4.563046037829959,0.1317130009730363,0.7166625109125575,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,Cer,13229.820877075195,10774.420791625977,11459.260730743408,9018.440578460692,11086.620765686035,10810.2406539917,12759.900817871094
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",-0.15224388971251201,13.021112481308867,0.06146287767473324,0.8041985658195131,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CAR,3537992.9995117188,4869216.183105469,3993657.2543945312,5983760.49609375,5044906.811035156,2897261.4868164062,2428656.8916015625
12:0 Cholesteryl ester,0.12109596997307756,8.212257039890181,0.03889166186854709,0.843663447922664,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,184184.01274108887,194290.03338623047,57300.26417160034,169429.59413146973,191839.97328186035,48507.40311431885,158999.98956298828
12:0 Cholesteryl ester_2,0.18678189756438338,8.217983965307464,0.09248919740639394,0.7610361909363925,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,194223.2352294922,194121.27363967896,55628.72424697876,170046.1913909912,177208.31147766113,51444.80327987671,163044.15301513672
14:0 Cholesteryl ester,0.5332566531475109,7.562260949267551,0.7501263323465537,0.3864362361523199,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,174361.71353149414,103502.50770568848,44501.422870635986,99233.18690490724,90300.9059906006,40449.28260803223,85346.74568939209
14:1 Cholesteryl ester,0.5112921485952152,7.559411243757482,0.689917152036287,0.40619256180384533,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,167934.35008239746,103306.90727233888,43761.02275466919,93945.5266494751,94580.62687683104,39776.48303985596,91728.62675476074
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,0.10344744304316614,8.924552190208644,0.028384099816321395,0.8662089695311463,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,292253.8006591797,309868.7003173828,101925.20712280272,282307.53967285156,277162.119140625,107436.90838623048,268696.0985107422
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,0.0925145796070588,8.938696147176985,0.02270254705217667,0.8802331647355733,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,288007.4022216797,308109.24353027344,105516.18823242188,282309.6809082031,278571.67907714844,108698.96670532228,281328.5203857422
15:0 Cholesteryl ester,0.01719442225495129,8.786933103088254,7.843332277843729e-4,0.9776574057042579,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,253107.4787597656,264173.32067871094,101124.08694458008,257820.4782714844,246816.4970703125,116445.74822998048,248100.27880859375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,0.049026011810572964,8.958250841049532,0.006376185665430967,0.9363557444006305,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,278878.5386352539,308956.20349121094,115424.5080871582,295206.8620605469,267262.1589355469,126887.06896972656,282264.8193359375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,0.0762295800833822,8.953134302364804,0.01541434919636231,0.9011929174241967,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,286760.6004638672,295662.2412109375,118771.74865722656,280321.3400878906,274924.6597290039,121661.82904052734,287922.24072265625
15:1 Cholesteryl ester,0.09299584787085499,8.845235503448274,0.02293930039741099,0.8796150265645353,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,279110.23876953125,272599.61767578125,109607.08767700195,268707.93811035156,249741.7177734375,113070.3878173828,255572.7781982422
16:0 Campesteryl ester | 17:0 Cholesteryl ester,-0.09488062086080978,8.792771766597292,0.02387842706957599,0.877194649127754,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,181109.19328308103,438289.16777038574,77134.06510925293,336776.8264312744,328525.7266998291,76195.66496658325,121273.30940246582
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,-0.08418211421872294,8.818340145488053,0.018797802513290662,0.8909477384248439,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,187184.91275024417,443183.8342895508,79354.32606506348,347830.1068267822,326737.56340026855,75534.00523757935,125768.08905029295
16:2 Campesteryl ester,-0.13545318656524705,8.7382713339481,0.048657264313078485,0.8254164252108046,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,167781.59133911133,418315.46867370605,74919.82628250122,342955.9080352783,310051.0410308838,69768.96461868286,117353.56846618652
"16:2 Cholesteryl ester, zymosteryl palmitoleate",0.09711983388518276,8.929120261887919,0.025018569373060018,0.8743207989947802,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,292551.71875,297439.0616455078,110140.7073059082,280581.6188964844,265993.7189941406,119384.78771972656,274790.7999267578
16:3 Campesteryl ester,-0.09195812213554093,8.738661301430144,0.022430315948440693,0.8809480200209213,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,170507.59172058103,427672.8699798584,75315.50601577759,332875.0812988281,310477.7449951172,71218.46506500244,114802.70822143556
16:3 Cholesteryl ester,0.06829098412581261,8.860862563721994,0.012371274322504178,0.9114369518539723,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,270792.63830566406,275931.4796142578,110097.02749633788,259728.7784423828,258171.55993652344,119627.44903564452,268572.4782714844
16:3 Stigmasteryl ester,-0.07933301211917397,9.093949814230994,0.016694874488166533,0.8971925541632052,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,238233.19439697263,491452.9175415039,112134.6275253296,417130.1490478515,365903.52224731445,105826.8872909546,174687.61349487305
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",-0.027828748871748424,9.259882452458465,0.0020545240986393765,0.9638467794722918,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,269417.33947753906,589933.1188049316,103941.22734069824,472836.29583740234,411432.90814208984,95725.1279220581,197711.39486694336
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",-0.05087153630628093,9.267200762061647,0.006865272553113755,0.9339652929327659,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,275774.5595397949,578218.7215881348,105990.80756378174,467518.1094055176,432811.65029907227,94433.90701293944,197452.61389160156
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",-0.028166790876893742,9.254627070389219,0.00210473970946623,0.963407933700846,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,272276.99826049805,578229.0800170898,104960.36757659912,449361.2501220703,421981.7488708496,102442.5464553833,201944.25617980957
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",-0.027579979438408342,9.277046562341367,0.00201795699831564,0.9641697391233935,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,282595.2204284668,584872.5077514648,106163.54775619508,468996.0119934082,424691.0045776367,98708.50708389282,199674.9553833008
17:1 Cholesteryl ester; 16:1 Campesteryl ester,-0.12736038937440353,8.790705921072965,0.04301864177978132,0.8356901748869775,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,172803.25178527832,436325.72637939453,77847.66497421265,345805.9059753418,328314.5411529541,73089.96499633789,122837.10720825195
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,-0.14602119369536776,8.73522478475071,0.056542519057984464,0.8120465275953063,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,165014.77180480957,415234.27352905273,75341.58574676514,334849.38470458984,315089.0400085449,72327.7248840332,119584.48794555664
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",0.08050229353789963,8.659606573870285,0.017190456375828944,0.8956864073197276,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,238098.99700927737,265711.5782318115,72586.16502380371,251351.8338623047,233254.1951904297,69918.46492004395,232670.8377380371
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",0.04014734663524517,8.679733505041675,0.004275894534657709,0.9478632275455627,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,234472.71701049805,270909.55950927734,68150.66487884521,256823.51718139648,238287.11483764648,71601.82501220703,241449.8783721924
18:1 Campesteryl ester,0.04444177122739796,8.628968855589495,0.005239533813437447,0.9422958208446265,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,233450.53912353516,261731.28118896484,63951.22497558594,251414.53872680664,228142.67880249023,71419.0849647522,225617.7167816162
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",-0.12138975391204417,9.345192884570833,0.03908109717303887,0.8432880869833164,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,289138.4790649414,585151.3779449463,102739.50680541992,503344.5899963379,456015.0985107422,103999.52606201172,224405.7758178711
18:3 Campesteryl ester,0.05073910026665531,8.508079253351003,0.006829511439718772,0.9341371122471548,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,213127.35446166992,242607.49642944336,66174.2045288086,230115.6553955078,210156.63537597656,71416.26483917236,197820.75631713867
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",-0.06867005506005985,9.39642482489332,0.012509059015428647,0.9109471749856686,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,315847.1044616699,595870.3013763428,103495.5284690857,507221.6766357422,458659.0358581543,101501.9271697998,254542.46154785156
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",0.06582168190191044,9.383188262115791,0.011492931167595088,0.9146262780389431,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,419422.98986816406,415310.3869628906,146106.55047607422,410047.4875488281,395767.26806640625,149879.97039794922,328716.4434814453
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",0.10764097920269149,9.399830739398132,0.030731598671991378,0.860840530775267,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,427756.94885253906,430666.9284667969,150386.73071289062,410446.4294433594,389397.66931152344,154023.69094848633,329537.4803466797
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",0.05266609848663315,11.44931123902601,0.007358209302765317,0.9316413013723407,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CAR,1218044.2957763672,1240025.518798828,1244585.4881591797,1111581.3986816406,1121579.8967285156,1366424.7204589844,1930786.4631347656
20:0 Campesteryl ester,0.2175160942548845,10.194335813667406,0.12540204529068433,0.7232478210618206,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,944354.227294922,799106.8182373047,242206.25750732425,792573.4987792969,704186.2043457031,251567.6792602539,317584.8635253906
20:1 Campesteryl ester,0.20248715405974305,10.15472252056901,0.10868546878919005,0.7416457025511509,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,922340.90771484375,768436.0723876953,229859.89709472656,774650.533203125,688702.3489990234,246157.97802734375,310572.0031738281
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",0.07276782342078435,9.3992670803445,0.014046344003872946,0.9056578096607876,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,420065.7504882813,422728.80859375,149125.32971191406,414108.26794433594,387061.1658935547,159229.2709350586,336350.2844238281
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",0.0392137688912967,9.403246776069057,0.004079382109921426,0.9490737075455228,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,420005.08837890625,413933.3474121094,152263.0704345703,419701.06994628906,395618.7508544922,162763.43139648438,332064.9237060547
20:3 Campesteryl ester,0.25099286611834665,10.13326863201621,0.16691993501081015,0.6828637926772051,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,831691.5396728516,630418.0675048828,291385.0417480469,603714.2861328125,607590.48828125,299902.3406982422,532591.3153076172
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",0.07019393946527618,9.170117344213352,0.013070319284452125,0.9089797712537315,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,340624.28259277344,362469.4854736328,146808.49047851562,346226.2841796875,322671.5235595703,153372.83123779297,281844.6805419922
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",0.08497451659543889,9.353025873212898,0.01915334680234082,0.8899277608195396,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,348037.0646057129,402231.26961517334,144343.5308227539,355207.22428894043,350653.64825439453,149925.87145996094,433173.92571258545
20:5 Cholesteryl ester,0.035469483217954546,10.382327674453217,0.0033375778584741056,0.953930421787421,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,719790.7917480469,810821.262512207,246523.35818481445,768802.1929626465,717188.4313659668,274553.0383682251,911030.2897338868
22:0 Campesteryl ester,0.1544233230790533,9.161927281272423,0.06323375541978749,0.801455988160129,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,526033.4529647827,384554.50311279297,71315.94483184814,472356.95237731934,330720.66106414795,102224.66787719728,105651.5481300354
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",0.3388433227487516,9.411372730872543,0.3039019046091198,0.5814465542456723,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,636603.4621429443,524705.1521759033,114199.28704071043,491573.2315979004,408879.0844268799,132412.4898223877,79871.64535522461
22:0 Sitosteryl ester,0.16679247383444232,9.366397359664061,0.07376356974782539,0.7859338327103451,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,561003.0242385864,421927.34729003906,79683.76554870605,486894.434677124,369547.3709869385,114893.82941436768,228572.99380493164
22:1 Campesteryl ester,0.18966402596542323,9.087792765968237,0.0953646854904946,0.7574647446212169,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,479712.1131286621,395492.0505371094,70321.82493591309,438211.0646972656,309484.46377563477,99733.32707595824,102455.64757919312
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",0.316471706777512,9.396594012429414,0.26517474508000305,0.6065871168791833,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,631755.8412628174,508749.61309814453,112743.7882270813,483708.2539367676,420318.2272872925,128342.92868804932,78654.8657836914
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",0.189497809577669,9.356494030204495,0.09519786457713053,0.7576703179454923,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,568701.699710846,423679.4720993042,84803.34576416016,491484.9942550659,370056.0489387512,108360.74819946288,206498.9136428833
22:2 Campesteryl ester,-0.05264712232273827,8.82740159120037,0.007352828142757062,0.9316662405480941,0.9999394385425726,3,3,Genotype_ WT | Brain Region_ cortex,Genotype_ WT | Brain Region_ diencephalon,CE,289210.3822784424,381027.0474014282,70477.46474456787,366085.0646057129,299380.28102111816,109228.78860855104,80835.36569976807
